model,fold,rmse,mae,r2
mean_baseline,0,2.2396316313399485,1.7106331608635421,-0.004736623754441283
elasticnet,0,0.1696156301721481,0.13851706568295022,0.9942372366123617
random_forest,0,0.31178082679424607,0.24104596413284304,0.9805285695984962
lightgbm,0,0.27984602109639245,0.14912310814495283,0.9843130930425398
mean_baseline,1,2.5894894259018186,1.9757934527291718,-0.0035493545785674208
elasticnet,1,0.14225576556361147,0.11168404308746176,0.9969713421989363
random_forest,1,0.41326787370521406,0.30733470686675296,0.9744392411176507
lightgbm,1,0.22221661338535337,0.15468005094550144,0.9926096756166499
mean_baseline,2,2.0030101130185964,1.5987618948554683,-1.5887173377526764e-05
elasticnet,2,0.15855436277561893,0.12861647970205148,0.9937339045118947
random_forest,2,0.35756212923142794,0.2694794150580525,0.968132819139762
lightgbm,2,0.2156258922036014,0.14955722096657703,0.9884110941536957
mean_baseline,3,2.475391838766757,1.8918654163719624,-0.0034376800818494146
elasticnet,3,0.15314956689976722,0.12413500334409129,0.9961590907897659
random_forest,3,0.30852229187351027,0.244413002784646,0.9844125313355161
lightgbm,3,0.1974307180932845,0.12452488710409261,0.9936168956255295
mean_baseline,4,1.9731453051974133,1.5929188487264736,-0.0048214246681344
elasticnet,4,0.16871633612865497,0.129314721656377,0.9926534232383846
random_forest,4,0.35234577059077565,0.2717965601479842,0.9679587924581412
lightgbm,4,0.18101717029230538,0.12788700564338923,0.9915431175747904
