model,fold,rmse,mae,r2
elasticnet,0,0.16833100577173254,0.13337803472396673,0.994324197375505
random_forest,0,0.35316117289002735,0.2640988320581255,0.9750169792410929
lightgbm,0,0.22140176342728007,0.14543487989068904,0.9901811370305122
elasticnet,1,0.16618888798196813,0.13618863715814875,0.9958665335610218
random_forest,1,0.4749302342223835,0.31950065510426,0.9662425146622853
lightgbm,1,0.22311689007733027,0.15221353372614801,0.9925496727736928
elasticnet,2,0.16356267832870636,0.1311183421626172,0.9933317934681726
random_forest,2,0.34346853281628187,0.2527550497374806,0.970595450809647
lightgbm,2,0.3018132942064153,0.16869606424537467,0.9772952174566698
elasticnet,3,0.16350174899559183,0.1334075210730959,0.9956222868488995
random_forest,3,0.3500697175787055,0.2561382737612974,0.9799316538189091
lightgbm,3,0.26027305896359393,0.14804888583046422,0.9889066956476774
elasticnet,4,0.18249714368648784,0.1411132384526035,0.9914042674820565
random_forest,4,0.3279594010219941,0.25042582014401,0.9722405460730327
lightgbm,4,0.18856202851707868,0.13863879468979673,0.9908234542804817
