model,fold,rmse,mae,r2,tier
elasticnet,0,0.15858675342819223,0.13138406262942837,0.9949622934656126,T0_full_safe_1732
lightgbm,0,0.27984602109639245,0.14912310814495283,0.9843130930425398,T0_full_safe_1732
elasticnet,1,0.13661462764875154,0.10891986022384254,0.9972067818354787,T0_full_safe_1732
lightgbm,1,0.22221661338535337,0.15468005094550144,0.9926096756166499,T0_full_safe_1732
elasticnet,2,0.14212054610549202,0.11727864389384172,0.9949655231188698,T0_full_safe_1732
lightgbm,2,0.2156258922036014,0.14955722096657703,0.9884110941536957,T0_full_safe_1732
elasticnet,3,0.14888808116789107,0.11801203439503904,0.9963698684669418,T0_full_safe_1732
lightgbm,3,0.1974307180932845,0.12452488710409261,0.9936168956255295,T0_full_safe_1732
elasticnet,4,0.14914649702622856,0.11860164515177492,0.9942588768242945,T0_full_safe_1732
lightgbm,4,0.18101717029230538,0.12788700564338923,0.9915431175747904,T0_full_safe_1732
elasticnet,0,0.16969834623973434,0.13844835332474822,0.9942316146145019,T1_decollinearized_1314
lightgbm,0,0.21878172027698578,0.14071966113740147,0.9904121525917168,T1_decollinearized_1314
elasticnet,1,0.14226061865242642,0.1115688184761711,0.9969711355486687,T1_decollinearized_1314
lightgbm,1,0.24387878091984672,0.17424339672677794,0.9910985966032392,T1_decollinearized_1314
elasticnet,2,0.15805702287814558,0.1282894406080948,0.9937731527752136,T1_decollinearized_1314
lightgbm,2,0.2529834324076082,0.16128568492265505,0.9840476460580632,T1_decollinearized_1314
elasticnet,3,0.15283854647634687,0.12372102990328707,0.9961746754005262,T1_decollinearized_1314
lightgbm,3,0.23782794092020623,0.14348167234830295,0.9907374994384303,T1_decollinearized_1314
elasticnet,4,0.1685643587585322,0.12923505809878505,0.9926666526691703,T1_decollinearized_1314
lightgbm,4,0.2387845436493453,0.16645451472208586,0.9852842238440214,T1_decollinearized_1314
elasticnet,0,0.16833100577173254,0.13337803472396673,0.994324197375505,T2_moderate_90pct
lightgbm,0,0.22140176342728007,0.14543487989068904,0.9901811370305122,T2_moderate_90pct
elasticnet,1,0.16618888798196813,0.13618863715814875,0.9958665335610218,T2_moderate_90pct
lightgbm,1,0.22311689007733027,0.15221353372614801,0.9925496727736928,T2_moderate_90pct
elasticnet,2,0.16356267832870636,0.1311183421626172,0.9933317934681726,T2_moderate_90pct
lightgbm,2,0.3018132942064153,0.16869606424537467,0.9772952174566698,T2_moderate_90pct
elasticnet,3,0.16350174899559183,0.1334075210730959,0.9956222868488995,T2_moderate_90pct
lightgbm,3,0.26027305896359393,0.14804888583046422,0.9889066956476774,T2_moderate_90pct
elasticnet,4,0.18249714368648784,0.1411132384526035,0.9914042674820565,T2_moderate_90pct
lightgbm,4,0.18856202851707868,0.13863879468979673,0.9908234542804817,T2_moderate_90pct
elasticnet,0,0.34557329677991877,0.2747042217423913,0.9760789961892146,T3_aggressive_80pct
lightgbm,0,0.22008009712503682,0.13748264488598796,0.9902980152882706,T3_aggressive_80pct
elasticnet,1,0.3588724446218894,0.28341164960833926,0.9807251645886531,T3_aggressive_80pct
