,mean_abs_shap
MEASURE_ET_lkg_50_at20V,0.3461740632640202
MEASURE_ET_DC_Stress_Id_stress_before,0.15408574844205025
TOPSIN_ET_C100Cap1pf,0.1277463387245419
MEASURE_ET_ABVIETCH,0.11146816979031705
TOPSIN_ET_DC_PIV_Drain_Lag_0,0.09457011475528244
THIN_ET_lkg_10,0.09238531208967239
MEASURE_ET_DC_Big_S12dB_10GHz,0.09228528728986696
TOPSIN_ET_Rc_f_tn_23,0.06666087447813555
ANODE_ET_Rc_an_ct2_OW_CR,0.056372203875096595
OHMIC_ET_Rsh_an_ct2,0.054858552789613275
MEASURE_ET_DC_RF2_MAG_26GHz,0.04766691946238565
MEASURE_ET_DC_SMALL_Ids_m0p2,0.04740637723426689
CATHODE_ET_Rcat_cn_2,0.04397427333332839
TOPSIN_ET_lkg_C450pf,0.04175032603763308
MEASURE_ET_DC_RF_CF_S12_Mag_L1002,0.03803082491890282
SIN_ET_DC_RF_Vbin_gs,0.036891361805092844
FIC_ET_DC_RF_Vbgs_0p01,0.03476757830858863
MEASURE_ET_C200_0,0.03435121594715555
MEASURE_ET_DC_Big_Vg_optt2,0.03337174575829234
TOPSIN_ET_lkg_5,0.029348817269227365
STAGE_RANGE_sh_GA142,0.02806179490852239
MEASURE_ET_Rc_an_ct2_OW_CR,0.027668431403737214
MEASURE_ET_DC_RF_K_W,0.027210335102212598
TOPSIN_ET_C100Cap2pf,0.026705019159424477
MEASURE_ET_DC_RF2_S21ang_26GHz,0.02599401541738637
MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm,0.025545368378247696
THIN_ET_TF_AB_1,0.02475948227610042
MEASURE_ET_DC_RF2_S22dB_26GHz,0.02440975460154235
MEASURE_ET_LT_SEC_Ileak_m10p5V_mA_mm,0.023353926517122578
TOPSIN_ET_R_f_hr_3,0.022917088508576454
MaskSetSupplyChipsCount,0.02186537971148144
MEASURE_ET_RF_Modeling_S21_25G_Before,0.021282015032578507
TOPSIN_ET_Cap3pf_0,0.02106616685570809
TOPSIN_ET_Cap3pf,0.020040261770650786
THIN_ET_Rc_OG142,0.019964770531039035
MaskSetName_MS_A,0.018994706707960402
MEASURE_ET_CapPARCAP_0,0.01753177039518495
OHMIC_ET_Rc_an_ct2,0.017511305189311707
THIN_ET_lkg_100_at20V,0.01696861759286356
MEASURE_ET_VIA_KLV,0.016652201539113506
STAGE_STD_R_f_tn_1,0.01594251512287214
MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos,0.01500920937277066
FIC_ET_DC_RF_Vg_max_Vd_0p1mA,0.015000799787330462
MEASURE_ET_R414,0.014528356874033517
MEASURE_ET_DC_RF_Min_S21_Freq_L1018,0.014406736434084471
MEASURE_ET_DC_SEC_X_Ig_cut2_mAmm_neg,0.013989323877546124
STAGE_RANGE_DC_PIV_Drain_Lag_0,0.013598278389411958
OHMIC_ET_sh_GA142,0.013512410720231684
THIN_ET_Rcat_cn_1_OW_ST,0.013006939504346556
MEASURE_ET_DC_Diode_Rs_9p5,0.012901431677880175
ANODE_ET_Ran_con_1,0.012696909992139037
TOPSIN_ET_Load_Pull_PhL_meas,0.012528287963540054
MEASURE_ET_DC_RF_Min_S21_Ph_L1002,0.012474978321711717
MEASURE_ET_DC_RF_Vbgs_0p01,0.012468934065391079
MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos_FPSD3p2,0.012393563133988018
MEASURE_ET_Rc_cat_ct2,0.01156011036172033
TOPSIN_ET_DC_RF_Vds_max,0.011298729420151834
FIC_ET_Probe_Number,0.011049691730783963
TOPSIN_ET_DC_SMALL_Vds_max,0.010786652460039929
MEASURE_ET_Rc_cat_ct2_OW_ST,0.01077232150561635
MEASURE_ET_USV_Cappf,0.010763733932833874
SIN_GATE_ET_RGAN2,0.010733713065706219
MEASURE_ET_RF_Modeling_S12ang_10GHz,0.01071076313133162
MEASURE_ET_RGAN1,0.010703752140953478
MEASURE_ET_RF_Modeling_Ft,0.010542384995540588
TOPSIN_ET_DC_SMALL_Vbgd_0p1,0.010482921301858072
MEASURE_ET_Cap3pf_0,0.01047224345972856
MEASURE_ET_Rcat_cn_2,0.010199057120449656
FIC_ET_G_per_25,0.009700587811073285
MEASURE_ET_DC_SEC_X_Ig_mAmm_at_Vg_cond_neg,0.00967430706589042
THIN_ET_C_AN_2,0.009547636707828237
MEASURE_ET_C_AN_2_OW_CR,0.009500219440097449
SIN_GATE_ET_lkg_SY8_80,0.009499854172974507
MEASURE_ET_DC_SEC_X_Id_at_Vboff_mA_mm_SD3p5,0.009070921030061204
MEASURE_ET_RF_Modeling_Tau,0.009029958124102256
TFRP_ET_Rsh_TFR2,0.008970104017065172
TOPSIN_ET_Cap1pf_0,0.00881306524647058
MEASURE_ET_R_f_hr_3,0.008544058338548762
MEASURE_ET_C300,0.008466646415997096
FIC_ET_Bad_Gates,0.008407958192258869
