feature_name,source_type,present_in_original_csv,source_columns,modeling_status,exclusion_reason,feature_family,correlation_cluster_id,correlation_cluster_size
Sorting Date,metadata / identifier,yes,,excluded,"non-physical bookkeeping column (date/lot/wafer id/constant), not a process parameter",,,
Process,metadata / identifier,yes,,excluded,"non-physical bookkeeping column (date/lot/wafer id/constant), not a process parameter",,,
MaskSetName,categorical predictor,yes,,included,,,,
FinishLineDate,metadata / identifier,yes,,excluded,"non-physical bookkeeping column (date/lot/wafer id/constant), not a process parameter",,,
FinishLineYear,metadata / identifier,yes,,excluded,"non-physical bookkeeping column (date/lot/wafer id/constant), not a process parameter",,,
Actual Sorting Yield (%),leakage / forbidden predictor,yes,,excluded,yield-family metric (same/near-same measurement as target),,,
LotName,metadata / identifier,yes,,excluded,"non-physical bookkeeping column (date/lot/wafer id/constant), not a process parameter",,,
WaferNum,metadata / identifier,yes,,excluded,"non-physical bookkeeping column (date/lot/wafer id/constant), not a process parameter",,,
VendorName,categorical predictor,yes,,included,,,,
Version,categorical predictor,yes,,included,,,,
Lot_type,categorical predictor,yes,,included,,,,
Sort_WW,metadata / identifier,yes,,excluded,"non-physical bookkeeping column (date/lot/wafer id/constant), not a process parameter",,,
Year_WW,metadata / identifier,yes,,excluded,"non-physical bookkeeping column (date/lot/wafer id/constant), not a process parameter",,,
Exception,metadata / identifier,yes,,excluded,"non-physical bookkeeping column (date/lot/wafer id/constant), not a process parameter",,,
Customer,categorical predictor,yes,,included,,,,
Technology,categorical predictor,yes,,included,,,,
LineYield,leakage / forbidden predictor,yes,,excluded,yield-family metric (same/near-same measurement as target),,,
BackEndYield,leakage / forbidden predictor,yes,,excluded,yield-family metric (same/near-same measurement as target),,,
SortingYield,target,yes,,excluded,this IS the modeling target,,,
VIYield,leakage / forbidden predictor,yes,,excluded,yield-family metric (same/near-same measurement as target),,,
LTYield,leakage / forbidden predictor,yes,,excluded,yield-family metric (same/near-same measurement as target),,,
TotalYield,leakage / forbidden predictor,yes,,excluded,yield-family metric (same/near-same measurement as target),,,
MaskSetSupplyChipsCount,original raw CSV column (numeric predictor),yes,,included,,MaskSetSupplyChipsCount,9,1
EstimatedSupplyChipsCount,leakage / forbidden predictor,yes,,excluded,derived from actual yield outcome -- ratio to MaskSetSupplyChipsCount correlates r=0.92 with target,,,
Sort_Yield_target[%],categorical predictor,yes,,included,,,,
MaskSetName_group,duplicate / redundant column,yes,,excluded,exact duplicate of ['MaskSetName'],,,
ANODE_ET_C_AN_2,original raw CSV column (numeric predictor),yes,,included,,ANODE,426,1
ANODE_ET_C_AN_2_OW_CR,original raw CSV column (numeric predictor),yes,,included,,ANODE,892,1
ANODE_ET_Probe_Number,original raw CSV column (numeric predictor),yes,,included,,ANODE,131,1
ANODE_ET_Ran_con_1,original raw CSV column (numeric predictor),yes,,included,,ANODE,477,1
ANODE_ET_Ran_con_1_OW_CR,original raw CSV column (numeric predictor),yes,,included,,ANODE,681,1
ANODE_ET_Ran_con_2,original raw CSV column (numeric predictor),yes,,included,,ANODE,742,1
ANODE_ET_Ran_con_2_OW_CR,original raw CSV column (numeric predictor),yes,,included,,ANODE,391,1
ANODE_ET_Ran_con_3,original raw CSV column (numeric predictor),yes,,included,,ANODE,692,1
ANODE_ET_Ran_con_3_OW_CR,original raw CSV column (numeric predictor),yes,,included,,ANODE,606,1
ANODE_ET_Rc_an_ct2,original raw CSV column (numeric predictor),yes,,included,,ANODE,520,52
ANODE_ET_Rc_an_ct2_OW_CR,original raw CSV column (numeric predictor),yes,,included,,ANODE,520,52
ANODE_ET_Rsh_an_ct2,original raw CSV column (numeric predictor),yes,,included,,ANODE,515,1
ANODE_ET_Rsh_an_ct2_OW_CR,original raw CSV column (numeric predictor),yes,,included,,ANODE,530,1
BRGM_ET_ABVIETCH,original raw CSV column (numeric predictor),yes,,included,,BRGM,557,199
BRGM_ET_C100,original raw CSV column (numeric predictor),yes,,included,,BRGM,557,199
BRGM_ET_C200,original raw CSV column (numeric predictor),yes,,included,,BRGM,557,199
BRGM_ET_C200_0,original raw CSV column (numeric predictor),yes,,included,,BRGM,557,199
BRGM_ET_C300,original raw CSV column (numeric predictor),yes,,included,,BRGM,557,199
BRGM_ET_C300_0,original raw CSV column (numeric predictor),yes,,included,,BRGM,557,199
BRGM_ET_Cap_C300,original raw CSV column (numeric predictor),yes,,included,,BRGM,557,199
BRGM_ET_F_AB,original raw CSV column (numeric predictor),yes,,included,,BRGM,557,199
BRGM_ET_i5021_1,original raw CSV column (numeric predictor),yes,,included,,BRGM,557,199
BRGM_ET_i5021_2,original raw CSV column (numeric predictor),yes,,included,,BRGM,557,199
BRGM_ET_i5021_3,original raw CSV column (numeric predictor),yes,,included,,BRGM,557,199
BRGM_ET_KLV_F_AB_4u,original raw CSV column (numeric predictor),yes,,included,,BRGM,557,199
BRGM_ET_KLV_F_M1_4u,original raw CSV column (numeric predictor),yes,,included,,BRGM,557,199
BRGM_ET_lkg_C200,original raw CSV column (numeric predictor),yes,,included,,BRGM,557,199
BRGM_ET_lkg_C300,original raw CSV column (numeric predictor),yes,,included,,BRGM,557,199
BRGM_ET_lkg_SY07_10,original raw CSV column (numeric predictor),yes,,included,,BRGM,557,199
BRGM_ET_lkg_SY8_80,original raw CSV column (numeric predictor),yes,,included,,BRGM,557,199
BRGM_ET_Probe_Number,original raw CSV column (numeric predictor),yes,,included,,BRGM,12,1
BRGM_ET_Rc_F_AB_2,original raw CSV column (numeric predictor),yes,,included,,BRGM,557,199
BRGM_ET_Rsh_F_AB_2,original raw CSV column (numeric predictor),yes,,included,,BRGM,557,199
BRGM_ET_TR_1F,original raw CSV column (numeric predictor),yes,,included,,BRGM,557,199
CATHODE_ET_C_CAT_2,original raw CSV column (numeric predictor),yes,,included,,CATHODE,373,1
CATHODE_ET_C_CAT_2_OW_ST,original raw CSV column (numeric predictor),yes,,included,,CATHODE,904,1
CATHODE_ET_Probe_Number,original raw CSV column (numeric predictor),yes,,included,,CATHODE,14,1
CATHODE_ET_Rc_cat_ct2,original raw CSV column (numeric predictor),yes,,included,,CATHODE,519,2
CATHODE_ET_Rc_cat_ct2_OW_ST,original raw CSV column (numeric predictor),yes,,included,,CATHODE,520,52
CATHODE_ET_Rcat_cn_1,original raw CSV column (numeric predictor),yes,,included,,CATHODE,520,52
CATHODE_ET_Rcat_cn_1_OW_ST,original raw CSV column (numeric predictor),yes,,included,,CATHODE,520,52
CATHODE_ET_Rcat_cn_2,original raw CSV column (numeric predictor),yes,,included,,CATHODE,520,52
CATHODE_ET_Rcat_cn_2_OW_ST,original raw CSV column (numeric predictor),yes,,included,,CATHODE,520,52
CATHODE_ET_Rcat_cn_3,original raw CSV column (numeric predictor),yes,,included,,CATHODE,520,52
CATHODE_ET_Rcat_cn_3_OW_ST,original raw CSV column (numeric predictor),yes,,included,,CATHODE,520,52
CATHODE_ET_Rsh_cat_c2,original raw CSV column (numeric predictor),yes,,included,,CATHODE,531,1
CATHODE_ET_Rsh_cat_c2_OW_ST,original raw CSV column (numeric predictor),yes,,included,,CATHODE,534,1
