feature,classification,rationale,pearson_abs,spearman_abs,permutation_importance,shap_importance,pearson_rank,spearman_rank,permutation_rank,shap_rank,cluster_rank,cooccurrence_rank,fold_stability_cv,fold_top20_count
MaskSetSupplyChipsCount,nonlinear_predictor,high SHAP/permutation importance despite weak linear/monotonic correlation -- signal is not capturable by Pearson/Spearman alone (e.g. process-window/threshold shape),0.06647667675036277,0.04601770621567218,0.04003377768707479,0.02186537971148144,1148.0,1354.0,17.0,31.0,436.0,1223.0,0.2972937706327795,0
ANODE_ET_C_AN_2,currently_inconclusive,does not cleanly satisfy any strong/nonlinear/interaction/cluster/weak criterion -- insufficient evidence either way,0.12198121778043453,0.10100733103015563,3.3944681138148304e-05,0.00022740564619168392,632.0,824.0,796.0,762.0,946.0,886.0,1.2009686872062537,0
ANODE_ET_C_AN_2_OW_CR,interaction_dependent_predictor,weak individual importance but frequently co-occurs with important features in the same trees,0.15800989452636885,0.14966478799373498,-5.5742162416300145e-06,0.001968956991348954,427.0,465.0,1536.0,323.0,636.0,27.0,1.4383714389861837,0
ANODE_ET_Probe_Number,interaction_dependent_predictor,weak individual importance but frequently co-occurs with important features in the same trees,0.04466413890150569,0.02904419958019115,0.0009523362697816756,0.0016662402670543546,1343.0,1494.0,291.0,351.0,655.0,133.0,0.9812025637417364,0
ANODE_ET_Ran_con_1,nonlinear_predictor,high SHAP/permutation importance despite weak linear/monotonic correlation -- signal is not capturable by Pearson/Spearman alone (e.g. process-window/threshold shape),0.1027955569982206,0.14562013007772268,0.005999118717230076,0.012696909992139037,782.0,499.0,75.0,50.0,448.0,1223.0,0.46231861463801105,0
ANODE_ET_Ran_con_1_OW_CR,interaction_dependent_predictor,weak individual importance but frequently co-occurs with important features in the same trees,0.11551088594273426,0.14729644077335352,3.480765804627084e-05,0.0004091669230052252,677.0,482.0,791.0,615.0,848.0,191.0,1.8729045409865541,0
ANODE_ET_Ran_con_2,currently_inconclusive,does not cleanly satisfy any strong/nonlinear/interaction/cluster/weak criterion -- insufficient evidence either way,0.004021557754397713,0.015132576454671717,1.1862806333509668e-05,0.00012038269657426652,1681.0,1605.0,974.0,964.0,1082.0,609.0,1.0546210834756857,0
ANODE_ET_Ran_con_2_OW_CR,currently_inconclusive,does not cleanly satisfy any strong/nonlinear/interaction/cluster/weak criterion -- insufficient evidence either way,0.12935991807842145,0.16288126331918373,0.003816029723690209,0.006068586349606256,585.0,386.0,113.0,114.0,499.0,1223.0,0.27310210907785926,0
ANODE_ET_Ran_con_3,currently_inconclusive,does not cleanly satisfy any strong/nonlinear/interaction/cluster/weak criterion -- insufficient evidence either way,0.15788542845102926,0.1988500505919588,-1.0467943025727067e-06,3.420234548431517e-05,428.0,245.0,1471.0,1313.0,1294.0,609.0,1.0321614897746365,0
ANODE_ET_Ran_con_3_OW_CR,currently_inconclusive,does not cleanly satisfy any strong/nonlinear/interaction/cluster/weak criterion -- insufficient evidence either way,0.06433435857498163,0.06691975415622915,2.1926288787765812e-05,0.00019961764084896132,1171.0,1153.0,867.0,801.0,970.0,411.0,1.5381044921780278,0
ANODE_ET_Rc_an_ct2,cluster_family_supported_predictor,weak individual importance but belongs to a correlation cluster with high aggregate importance,0.15676344955916688,0.14354313156766493,1.0302273146978181e-05,0.0003598194268079514,432.0,508.0,993.0,645.0,155.0,411.0,0.6556865450149522,0
ANODE_ET_Rc_an_ct2_OW_CR,nonlinear_predictor,high SHAP/permutation importance despite weak linear/monotonic correlation -- signal is not capturable by Pearson/Spearman alone (e.g. process-window/threshold shape),0.2050138490044569,0.1548526173558993,0.08813186614474619,0.056372203875096595,265.0,426.0,9.0,9.0,155.0,1223.0,0.44084677370084174,3
ANODE_ET_Rsh_an_ct2,currently_inconclusive,does not cleanly satisfy any strong/nonlinear/interaction/cluster/weak criterion -- insufficient evidence either way,0.07435120957850241,0.09883743872840045,0.0014595077173129357,0.0021964684838839178,1054.0,848.0,225.0,297.0,620.0,411.0,1.0908840894201657,0
ANODE_ET_Rsh_an_ct2_OW_CR,interaction_dependent_predictor,weak individual importance but frequently co-occurs with important features in the same trees,0.05074288429648689,0.09475966795362523,6.179030010597664e-05,0.0006421066283586851,1304.0,887.0,678.0,529.0,782.0,96.0,0.7329045209451237,0
BRGM_ET_ABVIETCH,cluster_family_supported_predictor,weak individual importance but belongs to a correlation cluster with high aggregate importance,0.0941355048056614,0.10327922871561682,0.00031490008639676047,0.0008868376536066327,854.0,800.0,432.0,472.0,221.0,886.0,1.969783044513061,0
BRGM_ET_C100,cluster_family_supported_predictor,weak individual importance but belongs to a correlation cluster with high aggregate importance,0.06587424232710545,0.06890897025547232,4.8688553460179974e-05,6.0763576602488494e-05,1155.0,1123.0,722.0,1190.0,221.0,886.0,inf,0
BRGM_ET_C200,cluster_family_supported_predictor,weak individual importance but belongs to a correlation cluster with high aggregate importance,0.07922286818585704,0.09086679582643908,0.0,0.0,989.0,915.0,1210.0,1471.0,221.0,1223.0,0.732446684946332,0
BRGM_ET_C200_0,cluster_family_supported_predictor,weak individual importance but belongs to a correlation cluster with high aggregate importance,0.15170809105789088,0.1467928586394148,2.0489012947136344e-05,5.330044775238761e-05,458.0,493.0,882.0,1217.0,221.0,886.0,1.4549497359187629,0
BRGM_ET_C300,cluster_family_supported_predictor,weak individual importance but belongs to a correlation cluster with high aggregate importance,0.15517954916138674,0.16396043138732416,3.6359420624298977e-07,1.3499733315183784e-05,440.0,380.0,1203.0,1429.0,221.0,1223.0,1.3693100871707562,0
