unit,unit_type,cluster_size,oof_importance,cumulative_fraction
TOPSIN_ET_lkg_C385pf,numeric_cluster,72,0.6956634500463337,0.177550397195872
MEASURE_ET_Cap1pf_0,numeric_cluster,82,0.3509804442202849,0.2671292262620601
OHMIC_ET_Rc_an_ct2,numeric_cluster,52,0.2824260418832236,0.33921128822964586
MEASURE_ET_DC_Stress_Id_stress_before,numeric_cluster,1,0.16123133789463356,0.38036148532812414
TOPSIN_ET_DC_PIV_Drain_Lag_1,numeric_cluster,11,0.09641001973001972,0.4049676900893298
MEASURE_ET_ABVIETCH,numeric_cluster,1,0.08539493662275113,0.42676257512299937
MEASURE_ET_DC_Big_S12dB_10GHz,numeric_cluster,1,0.0751662576666489,0.44594685008174834
MEASURE_ET_Gm_m2,numeric_cluster,199,0.07387259092067458,0.4648009495158646
OHMIC_ET_Rsh_an_ct2,numeric_cluster,1,0.0565101358957632,0.47922372402445373
MEASURE_ET_DC_SMALL_Ids_m0p2,numeric_cluster,1,0.05032407062828444,0.4920676627536911
THIN_ET_Rcat_cn_3,numeric_cluster,4,0.046719722792538,0.5039916833963506
MEASURE_ET_DC_RF2_MAG_26GHz,numeric_cluster,1,0.03699429444482002,0.5134335358786412
MEASURE_ET_DC_RF2_S22dB_26GHz,numeric_cluster,1,0.034892039383529236,0.5223388412401734
SIN_ET_DC_RF_Vbin_gs,numeric_cluster,1,0.031663568105232326,0.5304201614437115
STAGE_RANGE_sh_GA142,engineered,1,0.030627795518790385,0.5382371270457321
FIC_ET_DC_RF_Vbgs_0p01,numeric_cluster,1,0.030561540755127414,0.5460371828049204
MEASURE_ET_DC_Big_Vg_optt2,numeric_cluster,1,0.029474856745563244,0.5535598901170807
MEASURE_ET_RF_Modeling_S21_25G_Before,numeric_cluster,1,0.029034062388534697,0.5609700958838932
MEASURE_ET_DC_RF_CF_S12_Mag_L1002,numeric_cluster,1,0.029029831599831253,0.568379221849525
MEASURE_ET_DC_RF_Min_S21_Freq_L1018,numeric_cluster,1,0.028492395660739987,0.5756511809646538
MEASURE_ET_VIA_KLV,numeric_cluster,1,0.02209823648102405,0.5812911936234658
MEASURE_ET_DC_RF_K_W,numeric_cluster,1,0.02128468353960002,0.5867235675916437
FIC_ET_DC_RF_Vg_max_Vd_0p1mA,numeric_cluster,1,0.01996348539342937,0.591818739345717
THIN_ET_TF_AB_1,numeric_cluster,1,0.019040049904549015,0.5966782276844486
MaskSetSupplyChipsCount,numeric_cluster,1,0.017511793969379335,0.6011476675762073
MEASURE_ET_DC_RF2_S21ang_26GHz,numeric_cluster,1,0.017169944489140575,0.6055298590851546
STAGE_STD_R_f_tn_1,engineered,1,0.016984622484406367,0.6098647518671851
TOPSIN_ET_R_f_hr_3,numeric_cluster,1,0.016205489418448328,0.6140007907561152
MEASURE_ET_DC_RD_K,numeric_cluster,1,0.014931873405542912,0.6178117715599164
MEASURE_ET_R414,numeric_cluster,1,0.014568903096787277,0.6215301134267637
ANODE_ET_Ran_con_1,numeric_cluster,1,0.01396868755108226,0.6250952655457006
MEASURE_ET_DC_RF_Min_S21_Freq_L1002,numeric_cluster,1,0.013621848991450202,0.6285718959462385
MEASURE_ET_DC_SEC_X_Ids_max_norm_FPSD3p2,numeric_cluster,1,0.012799187178221252,0.6318385628483535
MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos_FPSD3p2,numeric_cluster,1,0.01239241171614405,0.6350014106625798
FIC_ET_DC_RF_Vbgs_0p1,numeric_cluster,1,0.012323136475834568,0.6381465777341538
MEASURE_ET_DC_SEC_Ids_min_ON,numeric_cluster,1,0.012147504393413716,0.6412469191849597
THIN_ET_DC_RF_Vg_optt3,numeric_cluster,1,0.011434670535904131,0.6441653279288982
MEASURE_ET_RGAN1,numeric_cluster,1,0.011327569867817164,0.6470564019520642
MEASURE_ET_DC_SEC_X_Ig_mAmm_at_Vg_cond_neg,numeric_cluster,1,0.011229516308375825,0.6499224502987709
MEASURE_ET_DC_SEC_X_Ig_cut2_mAmm_neg,numeric_cluster,1,0.010930114385281414,0.6527120839217156
TOPSIN_ET_DC_SMALL_Vbin_gd,numeric_cluster,1,0.01086842168191345,0.6554859720516547
MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos,numeric_cluster,1,0.010788477532869432,0.6582394564714156
STAGE_RANGE_DC_PIV_Drain_Lag_0,engineered,1,0.009909128616762231,0.660768509451925
MEASURE_ET_RF_Modeling_Mag_i,numeric_cluster,1,0.009731302531716592,0.6632521768483138
FIC_ET_Probe_Number,numeric_cluster,1,0.009081296262534387,0.6655699466813544
FIC_ET_G_per_25,numeric_cluster,1,0.009012691288007,0.6678702068400315
TOPSIN_ET_R414,numeric_cluster,1,0.008688879362346918,0.6700878222428084
MEASURE_ET_RF_Modeling_S21_19G_After,numeric_cluster,1,0.008661696865354777,0.6722985000047802
MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_neg,numeric_cluster,1,0.008469340850318061,0.6744600837876583
MEASURE_ET_DC_RF_Vg_max_Vd,numeric_cluster,1,0.00843403004752619,0.6766126553864686
TOPSIN_ET_DC_SMALL_Vbgd_0p1,numeric_cluster,1,0.008356674095502569,0.6787454838465439
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,numeric_cluster,1,0.008290490891916516,0.6808614207276759
MEASURE_ET_Load_Pull_P.A.E_Last,numeric_cluster,2,0.008242736353638215,0.6829651694778391
MEASURE_ET_RF_Modeling_Mag_m,numeric_cluster,1,0.007931720965734891,0.6849895394628072
MEASURE_ET_Rc_f_hr_23,numeric_cluster,2,0.007784871269063129,0.6869764297987143
MEASURE_ET_DC_Diode_Rs_9p5,numeric_cluster,1,0.007494180787244935,0.6888891287846167
MEASURE_ET_DC_SMALL_Vbgs_0p01,numeric_cluster,1,0.0072376468586996005,0.6907363540117578
MEASURE_ET_DC_SEC_Vgs_0p1V,numeric_cluster,1,0.0071972481292201535,0.6925732684909864
MEASURE_ET_DC_RF2_S11dB_26GHz,numeric_cluster,1,0.007133849083525483,0.6943940019767415
MEASURE_ET_DC_SEC_Vboff_2_1,numeric_cluster,1,0.0070510381501378925,0.696193600078549
MEASURE_ET_DC_SEC_S_Id_mA_mm_at_Vg3_FPSD3p2,numeric_cluster,1,0.006988801418390031,0.6979773138379475
MEASURE_ET_DC_RF_S21ang_26GHz_W,numeric_cluster,1,0.0069322553670098305,0.6997465956563236
MEASURE_ET_LT_SEC_Vbgd1_Vd8,numeric_cluster,1,0.006814027169392181,0.7014857027351108
TOPSIN_ET_Load_Pull_PhL_meas,numeric_cluster,1,0.006810855787874023,0.7032240003994488
MEASURE_ET_RGAN2,numeric_cluster,1,0.006497508557210782,0.7048823241550515
STAGE_RANGE_DC_RF_Vbgs_0p1,engineered,1,0.006479629715164558,0.7065360847910789
MEASURE_ET_LT_SEC_Id_min_mA_mm,numeric_cluster,1,0.0064367922953583135,0.7081789122655309
MEASURE_ET_Load_Pull_ID_comp_Last_mA,numeric_cluster,1,0.006371815078167839,0.7098051559583854
MEASURE_ET_R_f_hr_3,numeric_cluster,1,0.006328495119707625,0.7114203433339497
MEASURE_ET_Load_Pull_Pout_W_mm_last,numeric_cluster,2,0.006283709243644778,0.7130241002540497
