,permutation_rmse_increase
MEASURE_ET_lkg_50_at20V,1.0090572455310864
MEASURE_ET_DC_Stress_Id_stress_before,0.296715351129387
TOPSIN_ET_Rc_f_tn_23,0.18607667267685685
THIN_ET_lkg_10,0.1857701163646736
TOPSIN_ET_C100Cap1pf,0.1718575683448496
TOPSIN_ET_DC_PIV_Drain_Lag_0,0.16112298838694838
MEASURE_ET_ABVIETCH,0.1576234320477343
MEASURE_ET_DC_Big_S12dB_10GHz,0.15265847362158522
ANODE_ET_Rc_an_ct2_OW_CR,0.08813186614474619
MEASURE_ET_C200_0,0.06422317588892566
OHMIC_ET_Rsh_an_ct2,0.05708163632663822
MEASURE_ET_DC_SMALL_Ids_m0p2,0.05295962550782361
CATHODE_ET_Rcat_cn_2,0.050362079073638065
SIN_ET_DC_RF_Vbin_gs,0.04905076855031867
TOPSIN_ET_lkg_C450pf,0.049050388212471784
MEASURE_ET_DC_RF2_MAG_26GHz,0.04366330921624524
MaskSetSupplyChipsCount,0.04003377768707479
FIC_ET_DC_RF_Vbgs_0p01,0.03859271659639144
TOPSIN_ET_R_f_hr_3,0.03757934834806668
MEASURE_ET_LT_SEC_Ileak_m10p5V_mA_mm,0.03480027897191111
MEASURE_ET_DC_Big_Vg_optt2,0.034566783833526474
MEASURE_ET_DC_RF_CF_S12_Mag_L1002,0.029206945335846113
TOPSIN_ET_lkg_5,0.028314720656612957
MEASURE_ET_DC_RF_K_W,0.025801902676234823
MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm,0.025442393076525915
MEASURE_ET_Rc_an_ct2_OW_CR,0.0244330677771801
MEASURE_ET_DC_RF2_S22dB_26GHz,0.024059094510571567
STAGE_RANGE_sh_GA142,0.023868938403780477
THIN_ET_TF_AB_1,0.02155106689360072
TOPSIN_ET_C100Cap2pf,0.020239037454009384
MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos,0.02022531264220142
MEASURE_ET_DC_RF2_S21ang_26GHz,0.01907853989568875
TOPSIN_ET_Cap3pf_0,0.017717769906747532
MEASURE_ET_RF_Modeling_S21_25G_Before,0.016758420178320053
TOPSIN_ET_Cap3pf,0.014762248155117192
THIN_ET_Rc_OG142,0.014429768507170385
MEASURE_ET_DC_SEC_X_Ig_cut2_mAmm_neg,0.013786648033907906
MEASURE_ET_VIA_KLV,0.012553687397428579
OHMIC_ET_Rc_an_ct2,0.012489858684469352
THIN_ET_lkg_100_at20V,0.012322399365410117
MEASURE_ET_DC_RF_Vbgs_0p01,0.012286904533916057
MaskSetName_MS_A,0.0121946477854971
FIC_ET_G_per_25,0.011990507021199377
MEASURE_ET_RF_Modeling_S12ang_10GHz,0.011842821100096924
FIC_ET_DC_RF_Vg_max_Vd_0p1mA,0.011259677503971586
OHMIC_ET_sh_GA142,0.01008232521504524
MEASURE_ET_DC_SEC_X_Id_plus_Ig_at_Vboff_mA_mm_FPSD3p2,0.009991872592296575
TOPSIN_ET_DC_SMALL_Vds_max,0.009730123832367491
MEASURE_ET_DC_RF_Min_S21_Freq_L1018,0.009489932136476458
STAGE_RANGE_DC_PIV_Drain_Lag_0,0.009370905717990641
MEASURE_ET_CapPARCAP_0,0.009314523723381285
STAGE_STD_R_f_tn_1,0.008818063396508266
MEASURE_ET_DC_RF_Min_S21_Ph_L1002,0.008734468315467755
MEASURE_ET_Cap3pf_0,0.0083817338343485
MEASURE_ET_R414,0.008353027058925424
FIC_ET_Probe_Number,0.00830279887725644
MEASURE_ET_USV_Cappf,0.007918527854660674
MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos_FPSD3p2,0.00764870598003721
TOPSIN_ET_Load_Pull_PhL_meas,0.0074732229593365476
MEASURE_ET_Rcat_cn_2,0.007182951164826407
MEASURE_ET_Rc_cat_ct2_OW_ST,0.007164252208634131
MEASURE_ET_DC_SEC_Ids_min_ON,0.007069576236796532
MEASURE_ET_DC_RF2_S11dB_26GHz,0.0070157587819120295
MaskSetName_MS_D,0.006876654097162327
MEASURE_ET_RGAN2,0.0067535139623777826
MEASURE_ET_RGAN1,0.006690603257672348
THIN_ET_C_AN_2,0.006546102378572577
MEASURE_ET_DC_RF_CF_S22_Mag_L2180,0.006500570072726752
FIC_ET_Bad_Gates,0.006489863730571352
TOPSIN_ET_R414,0.006399820982651699
TFRP_ET_Rsh_TFR2,0.006299576484215363
