,fold_0,fold_1,fold_2,fold_3,fold_4
ABVIA_CD_AB_VIA_litho,0.00013020124681225407,0.0004880353428505953,0.00039972642461497116,8.203390673558055e-05,0.000688961401745733
ANODE_CD_Anode_CD_litho,0.00014960103433800704,0.00019784169371832045,9.172485325070711e-05,0.0005722474165873104,0.00034252788489544665
ANODE_ET_C_AN_2,6.744005692036044e-05,0.00030689603733007645,0.0003482678321313832,0.0011015091428116367,0.0
ANODE_ET_C_AN_2_OW_CR,0.00024368770708125154,1.559415178777909e-05,2.8557626945925162e-05,2.742222422551934e-05,2.6088090609122315e-05
ANODE_ET_Probe_Number,0.004358249505589032,0.0001541750162885571,0.008074307872514373,2.923263797979463e-05,0.004751886203176762
ANODE_ET_Ran_con_1,0.021439410442692937,0.004415750528122033,0.013162683271752369,0.019374728771905412,0.013436112973563681
ANODE_ET_Ran_con_1_OW_CR,5.810093120419461e-05,0.005072802359870083,6.780732679513826e-05,2.5931402856505e-05,0.0006359925110703015
ANODE_ET_Ran_con_2,0.0,0.0004598497109850714,0.00031474696143540327,7.142689235131974e-05,7.61731628722068e-05
ANODE_ET_Ran_con_2_OW_CR,0.0027789395151364494,0.004379244797024808,0.0020645917091482962,0.0033611005881224562,0.0037841338943779934
ANODE_ET_Ran_con_3,0.0022641816871062617,0.00011647491325392303,0.0004347332282414001,0.002047853557634412,0.00021964068913043634
ANODE_ET_Ran_con_3_OW_CR,4.047888653212069e-05,2.835142196712791e-05,0.00035865216224721826,0.00017676555946571427,0.001726017933020745
ANODE_ET_Rc_an_ct2,0.006591211822243234,0.008900471001257933,0.009290862986253036,0.00012505465986755373,0.004051413994039764
ANODE_ET_Rc_an_ct2_OW_CR,0.03586969143784147,0.046103598915531493,0.013889729122806541,0.04322457325334049,0.02074971256042295
ANODE_ET_Rsh_an_ct2,5.0822107418575034e-05,0.000228783998110492,0.0022807954925982816,0.0003579616725608848,0.0022063518324526707
ANODE_ET_Rsh_an_ct2_OW_CR,0.0003017937334751974,0.00024128905682121389,0.00031258338754557144,3.8194986468192655e-05,4.153746828669182e-05
BFIC_Height_FIC_metal_thickness,4.0999442030119625e-05,1.097386883156039e-05,0.0029966709849118234,4.92998890848983e-05,0.0013386152595740739
BMETAL1_Height_Metal1_metal_thickness,0.0002729343559796956,6.294947047376088e-05,0.0001768558750620572,1.2268620128708089e-05,7.89886152921136e-05
BPLATE_Height_BPLATE_metal_thickness,0.0,1.906704325779454e-05,4.688412173057071e-05,4.40525828797519e-05,2.7209566946579097e-05
BRGM_Cd_Litho_BRGM_litho_CD,0.0017822554082177421,9.21141780052439e-05,0.00012327214072786353,0.00012148761353890818,9.94624339895952e-05
BRGM_Cd_Metal_BRGM_Final_metal_CD,0.0001821736307598765,6.896587528227964e-05,3.7953931207024245e-05,9.687541679746751e-05,0.00010983030589271715
BRGM_ET_ABVIETCH,0.0,8.711270775847999e-06,7.884289072522265e-05,0.0,0.0
BRGM_ET_C100,0.0,0.0,0.0,0.0,0.0
BRGM_ET_C200,5.1663240063476235e-05,0.0010767101609604397,0.0009879862617047073,0.002240199144904102,0.0009589163394190327
BRGM_ET_C200_0,0.0,5.383305644830855e-05,0.0,0.0,9.533251478630629e-05
BRGM_ET_C300,2.0337114920507208e-05,0.010975864544589176,0.01005052547911951,0.0,0.0
BRGM_ET_C300_0,2.472578871782719e-05,0.0009043540996554414,0.0,0.0,4.9164298528045856e-05
BRGM_ET_Cap_C300,0.0001621619820111568,6.458738680887268e-05,0.0,5.70434410173134e-05,0.0008828967905848817
BRGM_ET_F_AB,1.0596147372220096e-05,0.00010794235285677867,0.0,0.0,0.00031169250383814473
BRGM_ET_KLV_F_AB_4u,7.555133806333612e-05,0.0,1.980340371451187e-05,0.0,6.462137556025925e-05
BRGM_ET_KLV_F_M1_4u,0.0,5.34642247825824e-06,0.00031405689478194396,0.0007694206751466387,6.53062209441013e-05
BRGM_ET_Probe_Number,3.9206606106537766e-05,0.0002297597135446486,0.00046731390705116195,0.0001748232032142745,0.0007503016447413591
BRGM_ET_Rc_F_AB_2,0.00018831726117820316,0.0,0.00032653345115722583,1.399193364251123e-05,5.718311819396171e-05
BRGM_ET_Rsh_F_AB_2,0.0,0.0,0.0,0.0,0.0
BRGM_ET_TR_1F,3.164544769729537e-05,0.0,0.00010519842147498324,0.0,0.0
BRGM_ET_i5021_1,0.00032626198845023366,8.982154240914327e-05,2.580302083602968e-05,0.0,0.001292533568009061
BRGM_ET_i5021_2,8.71296953758468e-06,0.0,2.7336414028352022e-05,0.0,7.38420739728723e-05
BRGM_ET_i5021_3,0.0,0.0016403285541403303,5.8369057001349566e-05,0.0,6.027042501461659e-06
BRGM_ET_lkg_C200,0.0,0.00011229017847862994,0.0002659710120004272,0.0,5.5895730255503954e-05
BRGM_ET_lkg_C300,0.0001908178167611938,0.0,0.0,0.0,0.0
BRGM_ET_lkg_SY07_10,0.00011820731428841853,0.0,0.0,0.0006519844803343391,1.622927800813999e-05
BRGM_ET_lkg_SY8_80,0.0,8.006075771144226e-06,0.002017132844659297,0.0012048822406333863,0.0
