model,fold,rmse,mae,r2,tier
elasticnet,0,0.15425484394625474,0.12190921054502883,0.9952337516348254,S1_full_original_1425
lightgbm,0,0.2598941061167372,0.1518185531292954,0.9864701834146831,S1_full_original_1425
elasticnet,1,0.13872944080579724,0.10958303185159503,0.9971196336837288,S1_full_original_1425
lightgbm,1,0.24066549277518504,0.15639107154698623,0.9913316168132303,S1_full_original_1425
elasticnet,2,0.14248797920960848,0.1174273784927881,0.994939457574321,S1_full_original_1425
lightgbm,2,0.2183771900026249,0.14431994767841594,0.9881134680422925,S1_full_original_1425
elasticnet,3,0.1477485500691735,0.11610658336408577,0.99642522303395,S1_full_original_1425
lightgbm,3,0.21028424950069205,0.1312617575414574,0.9927587092531647,S1_full_original_1425
elasticnet,4,0.14640581959113935,0.11673177507478906,0.9944679330192057,S1_full_original_1425
lightgbm,4,0.19093190481934644,0.13743538080874598,0.9905913403181688,S1_full_original_1425
elasticnet,0,0.1819771872924806,0.14275139160409556,0.993366649523093,S1_moderate_90pct
lightgbm,0,0.23663213847671574,0.13835626239302556,0.9887837803683309,S1_moderate_90pct
elasticnet,1,0.1897263138315567,0.1515545238840539,0.994612769100989,S1_moderate_90pct
lightgbm,1,0.2121051398065779,0.13965422983407152,0.9932669345311533,S1_moderate_90pct
elasticnet,2,0.18160313735307915,0.14138541091290163,0.9917797067695663,S1_moderate_90pct
lightgbm,2,0.2353985223407854,0.14856744482328565,0.9861882699876693,S1_moderate_90pct
elasticnet,3,0.19018880321671133,0.15389845139212496,0.9940765819165859,S1_moderate_90pct
lightgbm,3,0.2213253701072406,0.13316141463894612,0.9919783281129033,S1_moderate_90pct
elasticnet,4,0.1997961591508676,0.16041345099710783,0.989697443146379,S1_moderate_90pct
lightgbm,4,0.1941512632222329,0.14106200810912858,0.990271381109649,S1_moderate_90pct
elasticnet,0,0.4446469243036562,0.3520527572343404,0.9603968589096472,S1_aggressive_80pct
lightgbm,0,0.23166841797475093,0.14039020660368345,0.9892493997404479,S1_aggressive_80pct
elasticnet,1,0.4887937488191431,0.3836256058933813,0.9642429453497231,S1_aggressive_80pct
lightgbm,1,0.23904951717277179,0.14873660213852666,0.9914476356639851,S1_aggressive_80pct
elasticnet,2,0.515418433651727,0.40463862780325316,0.9337843709499811,S1_aggressive_80pct
lightgbm,2,0.2321187898585499,0.1371770801602175,0.9865704577124771,S1_aggressive_80pct
elasticnet,3,0.4504618412134078,0.34946582532653064,0.9667709051863114,S1_aggressive_80pct
lightgbm,3,0.25662095633491705,0.12990282294181288,0.9892158297895706,S1_aggressive_80pct
elasticnet,4,0.48864778785809637,0.3941625350110369,0.9383741924228167,S1_aggressive_80pct
lightgbm,4,0.2189077612620836,0.14766971022343736,0.9876321824889257,S1_aggressive_80pct
elasticnet,0,1.0480173997820372,0.8475250759664473,0.7799932355571464,S1_compact_70pct
lightgbm,0,0.23129263602054326,0.1376683471762224,0.9892842478663011,S1_compact_70pct
elasticnet,1,1.0756194018214404,0.8604504025269151,0.8268479224383971,S1_compact_70pct
lightgbm,1,0.2139896209284022,0.14869817064087756,0.9931467611065767,S1_compact_70pct
elasticnet,2,1.1956101928359852,0.9748616404175112,0.6436967093529093,S1_compact_70pct
lightgbm,2,0.32217023495979813,0.1625376925430769,0.9741291055981828,S1_compact_70pct
elasticnet,3,0.999110593673956,0.8234324369135346,0.8365331765256696,S1_compact_70pct
lightgbm,3,0.23321247298598258,0.12761947061681156,0.9910935210843753,S1_compact_70pct
elasticnet,4,1.1372300893720488,0.9228529315764294,0.6662145254926823,S1_compact_70pct
lightgbm,4,0.16374876072390868,0.12213583096771022,0.9930796701802939,S1_compact_70pct
elasticnet,0,1.5910570064110634,1.327166464972951,0.49292695070138304,S1_extreme_50pct_diagnostic
lightgbm,0,0.2600843686320188,0.17570415165750605,0.9864503664266344,S1_extreme_50pct_diagnostic
elasticnet,1,1.6393232505319686,1.3387901473010801,0.5978022384784156,S1_extreme_50pct_diagnostic
lightgbm,1,0.31684870750546257,0.18899689457263857,0.9849750051481618,S1_extreme_50pct_diagnostic
elasticnet,2,1.5887880540160861,1.2988486507954213,0.3708234218810925,S1_extreme_50pct_diagnostic
lightgbm,2,0.2766438547679416,0.19004127454987346,0.9809242039486347,S1_extreme_50pct_diagnostic
elasticnet,3,1.5835111819123966,1.3121239833292033,0.5893755883755198,S1_extreme_50pct_diagnostic
lightgbm,3,0.2939490684765785,0.16633829710533649,0.9858503182434573,S1_extreme_50pct_diagnostic
elasticnet,4,1.6333065878523207,1.3554640269396567,0.31149646083933935,S1_extreme_50pct_diagnostic
lightgbm,4,0.25438894725648886,0.17808881638027993,0.9832980482152688,S1_extreme_50pct_diagnostic
