model,fold,rmse,mae,r2
elasticnet,0,0.1819771872924806,0.14275139160409556,0.993366649523093
random_forest,0,0.3257359144537992,0.23465008385146113,0.9787465059529687
lightgbm,0,0.23663213847671574,0.13835626239302556,0.9887837803683309
elasticnet,1,0.1897263138315567,0.1515545238840539,0.994612769100989
random_forest,1,0.47443208208354104,0.3166344798143035,0.9663132936652151
lightgbm,1,0.2121051398065779,0.13965422983407152,0.9932669345311533
elasticnet,2,0.18160313735307915,0.14138541091290163,0.9917797067695663
random_forest,2,0.3190766448856347,0.2354046330289707,0.9746235627309976
lightgbm,2,0.2353985223407854,0.14856744482328565,0.9861882699876693
elasticnet,3,0.19018880321671133,0.15389845139212496,0.9940765819165859
random_forest,3,0.31907041705710065,0.23890189856638286,0.9833284654932829
lightgbm,3,0.2213253701072406,0.13316141463894612,0.9919783281129033
elasticnet,4,0.1997961591508676,0.16041345099710783,0.989697443146379
random_forest,4,0.31003033058645846,0.23870694964378233,0.9751927218448636
lightgbm,4,0.1941512632222329,0.14106200810912858,0.990271381109649
