unit,cluster_size,oof_importance,cumulative_fraction
TOPSIN_ET_lkg_C385pf,72,0.6876126362916732,0.17637182976682347
MEASURE_ET_Cap1pf_0,82,0.3665947825781944,0.27040295888478894
OHMIC_ET_Rc_an_ct2,52,0.29982903071799283,0.3473087514399365
MEASURE_ET_DC_Stress_Id_stress_before,1,0.15186955990604611,0.3862631143367079
MEASURE_ET_Gm_m2,199,0.10224951897812143,0.41248999529137836
TOPSIN_ET_DC_PIV_Drain_Lag_1,11,0.0997859107188621,0.4380849636348182
MEASURE_ET_ABVIETCH,1,0.08251290136275088,0.4592494254620506
MEASURE_ET_DC_Big_S12dB_10GHz,1,0.07326136976129968,0.47804088035111303
THIN_ET_Rcat_cn_3,4,0.06956637753303843,0.49588457409403475
OHMIC_ET_Rsh_an_ct2,1,0.05879368653826601,0.5109650853094982
MEASURE_ET_DC_RF2_MAG_26GHz,1,0.04413463814702863,0.522285567911546
MEASURE_ET_DC_SMALL_Ids_m0p2,1,0.04327467549105625,0.5333854711071667
MEASURE_ET_DC_RF_CF_S12_Mag_L1002,1,0.04026807231352439,0.5437141841358005
MEASURE_ET_DC_RF2_S22dB_26GHz,1,0.03701022675994799,0.5532072636244797
SIN_ET_DC_RF_Vbin_gs,1,0.035296794310679946,0.5622608497119191
MEASURE_ET_DC_RF2_S21ang_26GHz,1,0.03300326234908734,0.5707261475577747
MEASURE_ET_DC_RF_K_W,1,0.03167733410837613,0.5788513463745973
MEASURE_ET_DC_Big_Vg_optt2,1,0.030872619977808692,0.5867701369665611
MEASURE_ET_DC_RF_Min_S21_Freq_L1018,1,0.027435932065524797,0.593807421164611
FIC_ET_DC_RF_Vbgs_0p01,1,0.027295835545293114,0.6008087707705475
MEASURE_ET_RF_Modeling_S21_25G_Before,1,0.023883291893183573,0.6069348069568126
MEASURE_ET_VIA_KLV,1,0.023735199471516883,0.613022857611682
ANODE_ET_Ran_con_1,1,0.019266022180121613,0.6179645695653216
THIN_ET_TF_AB_1,1,0.017310593794010558,0.6224047164454973
MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos_FPSD3p2,1,0.014757158884449085,0.6261899102846431
TOPSIN_ET_R_f_hr_3,1,0.014097990721003751,0.6298060282677402
MaskSetSupplyChipsCount,1,0.01368961487642838,0.6333173983286223
FIC_ET_DC_RF_Vg_max_Vd_0p1mA,1,0.013027394245313881,0.6366589095791009
MEASURE_ET_R414,1,0.012851320292744712,0.6399552580685277
MEASURE_ET_DC_Diode_Rs_9p5,1,0.01246905127802811,0.6431535550067901
FIC_ET_G_per_25,1,0.011744442197517128,0.6461659905710023
MEASURE_ET_HIRS,1,0.01102499402375175,0.6489938885276544
FIC_ET_Probe_Number,1,0.010969585351931346,0.6518075742253715
MEASURE_ET_DC_SEC_S_Id_mA_mm_at_Vg3_FPSD3p2,1,0.010930597502894717,0.6546112595858198
TOPSIN_ET_DC_SMALL_Vbgd_0p1,1,0.010856863232841386,0.6573960321930121
MEASURE_ET_DC_RF2_S11dB_26GHz,1,0.010572199569560056,0.6601077889065005
FIC_ET_DC_RF_Vbgs_0p1,1,0.010500355052170743,0.6628011175860611
MEASURE_ET_DC_RF_Vg_Vbon_min,1,0.01038984658501579,0.665466100974206
