,0
MEASURE_ET_lkg_50_at20V,21429.862350463867
THIN_ET_lkg_10,8557.324890136719
MEASURE_ET_DC_Stress_Id_stress_before,5881.160371958045
TOPSIN_ET_Rc_f_tn_23,5663.102020263672
TOPSIN_ET_C100Cap1pf,3385.8662674819934
MEASURE_ET_DC_Big_S12dB_10GHz,2074.5007832422853
MEASURE_ET_ABVIETCH,1927.01656139642
SIN_ET_lkg_SY07_10,1715.3687782287598
MEASURE_ET_C200_0,1486.23678758787
MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm,1475.265597083373
TOPSIN_ET_C100Cap2pf,1196.5694064730778
MEASURE_ET_DC_RF2_S22dB_26GHz,1185.3651977013797
THIN_ET_TF_AB_1,1130.1199901811779
FIC_ET_G_per_25,1096.3992538666353
MEASURE_ET_DC_SMALL_Ids_m0p2,1092.049982279539
TOPSIN_ET_DC_PIV_Drain_Lag_0,1077.669793566689
FIC_ET_DC_RF_Vbgs_0p01,1008.1351828672923
MaskSetSupplyChipsCount,928.9286332130432
SIN_ET_DC_RF_Vbin_gs,878.0236044377089
ANODE_ET_Rc_an_ct2_OW_CR,856.2410054774955
MEASURE_ET_DC_RF2_MAG_26GHz,813.3995632808656
MEASURE_ET_CapPARCAP_0,751.5845497939736
MEASURE_ET_DC_RF_K_W,720.7943872734904
TOPSIN_ET_R_f_hr_3,683.4845132883638
OHMIC_ET_Rsh_an_ct2,681.534886331181
TOPSIN_ET_R414,616.2335720062256
MEASURE_ET_DC_RF_CF_S12_Mag_L1002,582.4796697981656
MEASURE_ET_RF_Modeling_S21_25G_Before,527.6885372898541
MEASURE_ET_Rc_an_ct2_OW_CR,520.3350376309827
MEASURE_ET_VIA_KLV,489.86329939961433
MEASURE_ET_DC_Stress_Id_max_Ig_after,477.24562903726473
MEASURE_ET_DC_Big_Vg_optt2,467.87044282397255
MEASURE_ET_DC_RF_Min_S21_Freq_L1018,466.6376290633343
TOPSIN_ET_DC_RF_Vds_max,447.374156370759
MEASURE_ET_CapPARCAP,430.78822815418243
MEASURE_ET_DC_RF_CF_S21_Mag_L1018,420.26967218960635
THIN_ET_lkg_100_at20V,414.8154878616333
FIC_ET_Gm_max,406.2402342145797
TOPSIN_ET_DC_SMALL_Vbgd_0p1,401.2993725449778
MEASURE_ET_Vbkdn_Cap100_Long,386.4580993652344
CATHODE_ET_Rcat_cn_2,376.1106827259064
THIN_ET_i5021_2,364.7655557990074
MEASURE_ET_DC_SEC_X_Id_plus_Ig_at_Vboff_mA_mm_FPSD3p2,346.43402833957225
MEASURE_ET_DC_RF_Vg_Vbon_min,335.12492979038507
BackEndYield,331.53957380354404
MEASURE_ET_DC_PIV_Idss_QP1,312.2330017089844
MEASURE_ET_LT_SEC_Vbgd1_Vd7,300.7768853548914
TOPSIN_ET_lkg_C450pf,293.03149081766605
MEASURE_ET_DC_Diode_Rs_9p5,287.2263937704265
MEASURE_ET_Rc_cat_ct2,284.9720993041992
TOPSIN_ET_Cap3pf,284.50175535678864
MEASURE_ET_LT_SEC_Ileak_m10p5V_mA_mm,264.8908361196518
THIN_ET_DC_RF_Vbgs_0p01,262.11804186506197
THIN_ET_Rc_an_ct2_OW_CR,254.51666282117367
TOPSIN_ET_Cap3pf_0,254.31474122405052
MEASURE_ET_DC_RF_Vbin_gs,250.29496241360903
