feature_a,feature_b,strength
MEASURE_ET_ABVIETCH,MEASURE_ET_DC_Big_S12dB_10GHz,0.03698344932516692
TOPSIN_ET_DC_PIV_Drain_Lag_0,TOPSIN_ET_R_f_hr_3,0.023991165053719704
TOPSIN_ET_C100Cap1pf,MEASURE_ET_RF_Modeling_S21_25G_Before,0.01785520845810018
MEASURE_ET_DC_Stress_Id_stress_before,MEASURE_ET_ABVIETCH,0.01783858064128657
TOPSIN_ET_C100Cap1pf,THIN_ET_TF_AB_1,0.01617974121439213
TOPSIN_ET_DC_PIV_Drain_Lag_0,THIN_ET_lkg_100_at20V,0.014893127149612674
MEASURE_ET_DC_Big_S12dB_10GHz,THIN_ET_lkg_100_at20V,0.014608183990505164
TOPSIN_ET_C100Cap1pf,MEASURE_ET_ABVIETCH,0.014184665343914625
MEASURE_ET_DC_RF_K_W,MEASURE_ET_DC_RF2_MAG_26GHz,0.013979061635345454
THIN_ET_lkg_10,SIN_ET_DC_RF_Vbin_gs,0.013851435017732816
TOPSIN_ET_C100Cap1pf,MEASURE_ET_CapPARCAP_0,0.013570256079684524
MEASURE_ET_lkg_50_at20V,MEASURE_ET_VIA_KLV,0.013393267510739543
ANODE_ET_Rc_an_ct2_OW_CR,TOPSIN_ET_R_f_hr_3,0.013341227037903055
MEASURE_ET_ABVIETCH,MEASURE_ET_DC_RF2_S22dB_26GHz,0.013066014244637285
TOPSIN_ET_C100Cap1pf,MEASURE_ET_DC_RF_CF_S12_Mag_L1002,0.011633495125330164
TOPSIN_ET_C100Cap1pf,MEASURE_ET_DC_RF2_S22dB_26GHz,0.011567625794842006
MEASURE_ET_DC_Big_S12dB_10GHz,SIN_ET_DC_RF_Vbin_gs,0.011547128881338176
TOPSIN_ET_lkg_5,MaskSetSupplyChipsCount,0.01135077942844952
MEASURE_ET_lkg_50_at20V,SIN_ET_lkg_SY07_10,0.011156491701413977
MEASURE_ET_ABVIETCH,MEASURE_ET_DC_RF_Min_S21_Freq_L1018,0.01055425630793268
