condition,n_wafers_matching,pct_of_train_set,mean_yield_in_condition,baseline_mean_yield,estimated_yield_effect,based_on
TOPSIN_ET_C100Cap1pf <= 0.7166 (bottom quartile) AND MEASURE_ET_CapPARCAP_0 <= 0.1886 (bottom quartile),71,5.9,93.598,91.992,1.606,"STRONG single-parameter/interaction findings, TRAIN portion only (not holdout-validated)"
MEASURE_ET_ABVIETCH >= 26.01 (top quartile) AND MEASURE_ET_DC_Big_S12dB_10GHz >= -23.24 (top quartile),98,8.2,93.041,91.992,1.049,"STRONG single-parameter/interaction findings, TRAIN portion only (not holdout-validated)"
MEASURE_ET_ABVIETCH >= 26.01 (top quartile) AND MEASURE_ET_DC_RF2_S22dB_26GHz >= -10.95 (top quartile),95,7.9,92.946,91.992,0.953,"STRONG single-parameter/interaction findings, TRAIN portion only (not holdout-validated)"
MEASURE_ET_R_f_hr_3 <= 49.89 (bottom quartile) AND MEASURE_ET_lkg_50_at20V <= 0.05001 (bottom quartile),84,7.0,92.793,91.992,0.801,"STRONG single-parameter/interaction findings, TRAIN portion only (not holdout-validated)"
TOPSIN_ET_lkg_5 <= 0.05138 (bottom quartile) AND MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos_FPSD3p2 <= 23.99 (bottom quartile),49,4.1,92.776,91.992,0.784,"STRONG single-parameter/interaction findings, TRAIN portion only (not holdout-validated)"
TOPSIN_ET_DC_PIV_Drain_Lag_0 <= 5.445 (bottom quartile) AND TOPSIN_ET_R_f_hr_3 <= 4.954 (bottom quartile),61,5.1,92.402,91.992,0.41,"STRONG single-parameter/interaction findings, TRAIN portion only (not holdout-validated)"
MEASURE_ET_lkg_50_at20V <= 0.05001 (bottom quartile) AND MEASURE_ET_DC_SEC_Ids_min_ON <= 40.56 (bottom quartile),85,7.1,92.269,91.992,0.277,"STRONG single-parameter/interaction findings, TRAIN portion only (not holdout-validated)"
TOPSIN_ET_lkg_5 >= 0.1193 (top quartile) AND MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos_FPSD3p2 >= 26.58 (top quartile),64,5.3,92.26,91.992,0.268,"STRONG single-parameter/interaction findings, TRAIN portion only (not holdout-validated)"
TOPSIN_ET_C100Cap1pf <= 0.7166 (bottom quartile) AND MEASURE_ET_DC_RF_CF_S12_Mag_L1002 <= 14.27 (bottom quartile),45,3.8,92.248,91.992,0.256,"STRONG single-parameter/interaction findings, TRAIN portion only (not holdout-validated)"
TOPSIN_ET_C100Cap1pf >= 0.8749 (top quartile) AND MEASURE_ET_CapPARCAP_0 >= 0.2406 (top quartile),45,3.8,92.186,91.992,0.194,"STRONG single-parameter/interaction findings, TRAIN portion only (not holdout-validated)"
TOPSIN_ET_C100Cap1pf >= 0.8749 (top quartile) AND MEASURE_ET_DC_RF_CF_S12_Mag_L1002 >= 15.69 (top quartile),78,6.5,92.095,91.992,0.103,"STRONG single-parameter/interaction findings, TRAIN portion only (not holdout-validated)"
TOPSIN_ET_DC_PIV_Drain_Lag_0 <= 5.445 (bottom quartile) AND MEASURE_ET_RF_Modeling_S12ang_10GHz <= -26.17 (bottom quartile),81,6.8,92.041,91.992,0.049,"STRONG single-parameter/interaction findings, TRAIN portion only (not holdout-validated)"
