parameter_A,parameter_B,interaction_strength,rank,high_yield_region,low_yield_region,conditional_pattern,fold_selection_reproducibility,confidence
ANODE_ET_Rsh_an_ct2,SIN_CAPACITOR_ThicknessGN1_RefractiveIndex,0.000415,1,"ANODE_ET_Rsh_an_ct2~110.2, SIN_CAPACITOR_ThicknessGN1_RefractiveIndex~1.873","ANODE_ET_Rsh_an_ct2~101.3, SIN_CAPACITOR_ThicknessGN1_RefractiveIndex~1.873",low SIN_CAPACITOR_ThicknessGN1_RefractiveIndex: ANODE_ET_Rsh_an_ct2 range effect=0.002; mid SIN_CAPACITOR_ThicknessGN1_RefractiveIndex: ANODE_ET_Rsh_an_ct2 range effect=0.001; high SIN_CAPACITOR_ThicknessGN1_RefractiveIndex: ANODE_ET_Rsh_an_ct2 range effect=0.000,0/5,INCONCLUSIVE
MEASURE_ET_DC_SEC_X_Vp_1_mA_mm_second,SIN_Thickness_RefractiveIndex,0.000365,2,"MEASURE_ET_DC_SEC_X_Vp_1_mA_mm_second~-1.333, SIN_Thickness_RefractiveIndex~1.886","MEASURE_ET_DC_SEC_X_Vp_1_mA_mm_second~-1.21, SIN_Thickness_RefractiveIndex~1.886",low SIN_Thickness_RefractiveIndex: MEASURE_ET_DC_SEC_X_Vp_1_mA_mm_second range effect=0.003; mid SIN_Thickness_RefractiveIndex: MEASURE_ET_DC_SEC_X_Vp_1_mA_mm_second range effect=0.000; high SIN_Thickness_RefractiveIndex: MEASURE_ET_DC_SEC_X_Vp_1_mA_mm_second range effect=0.000,0/5,INCONCLUSIVE
FIC_ET_DC_PIV_Ids0_QP1,SIN_GATE_ET_Ran_con_2,0.000355,3,"FIC_ET_DC_PIV_Ids0_QP1~93.87, SIN_GATE_ET_Ran_con_2~90.56","FIC_ET_DC_PIV_Ids0_QP1~90.54, SIN_GATE_ET_Ran_con_2~91.06",low SIN_GATE_ET_Ran_con_2: FIC_ET_DC_PIV_Ids0_QP1 range effect=0.002; mid SIN_GATE_ET_Ran_con_2: FIC_ET_DC_PIV_Ids0_QP1 range effect=0.001; high SIN_GATE_ET_Ran_con_2: FIC_ET_DC_PIV_Ids0_QP1 range effect=0.000,0/5,INCONCLUSIVE
MEASURE_ET_DC_SEC_S_Vg_at_I2_pos_SD3p5,TOPSIN_ET_CapFICBRGM,0.000352,4,"MEASURE_ET_DC_SEC_S_Vg_at_I2_pos_SD3p5~92.18, TOPSIN_ET_CapFICBRGM~412","MEASURE_ET_DC_SEC_S_Vg_at_I2_pos_SD3p5~92.43, TOPSIN_ET_CapFICBRGM~422.4",low TOPSIN_ET_CapFICBRGM: MEASURE_ET_DC_SEC_S_Vg_at_I2_pos_SD3p5 range effect=0.003; mid TOPSIN_ET_CapFICBRGM: MEASURE_ET_DC_SEC_S_Vg_at_I2_pos_SD3p5 range effect=0.001; high TOPSIN_ET_CapFICBRGM: MEASURE_ET_DC_SEC_S_Vg_at_I2_pos_SD3p5 range effect=0.000,0/5,INCONCLUSIVE
SIN_ET_DC_RF_Vg_max_Vd_0p1mA,TOPSIN_ThicknessGN_SiN_Thickness,0.000342,5,"SIN_ET_DC_RF_Vg_max_Vd_0p1mA~60.67, TOPSIN_ThicknessGN_SiN_Thickness~0.1413","SIN_ET_DC_RF_Vg_max_Vd_0p1mA~60.33, TOPSIN_ThicknessGN_SiN_Thickness~0.1354",low TOPSIN_ThicknessGN_SiN_Thickness: SIN_ET_DC_RF_Vg_max_Vd_0p1mA range effect=0.002; mid TOPSIN_ThicknessGN_SiN_Thickness: SIN_ET_DC_RF_Vg_max_Vd_0p1mA range effect=0.001; high TOPSIN_ThicknessGN_SiN_Thickness: SIN_ET_DC_RF_Vg_max_Vd_0p1mA range effect=0.000,0/5,INCONCLUSIVE
SIN_ET_DC_RF_Vdg_max,THIN_ET_Ran_con_1,0.000338,6,"SIN_ET_DC_RF_Vdg_max~82.95, THIN_ET_Ran_con_1~44.09","SIN_ET_DC_RF_Vdg_max~80.43, THIN_ET_Ran_con_1~44.09",low THIN_ET_Ran_con_1: SIN_ET_DC_RF_Vdg_max range effect=0.002; mid THIN_ET_Ran_con_1: SIN_ET_DC_RF_Vdg_max range effect=0.001; high THIN_ET_Ran_con_1: SIN_ET_DC_RF_Vdg_max range effect=0.000,0/5,INCONCLUSIVE
FIC_ET_Ig_mAmm_at_Vd_cond,MEASURE_ET_R_f_tn_2,0.000334,7,"FIC_ET_Ig_mAmm_at_Vd_cond~80.29, MEASURE_ET_R_f_tn_2~63.25","FIC_ET_Ig_mAmm_at_Vd_cond~76.49, MEASURE_ET_R_f_tn_2~62.42",low MEASURE_ET_R_f_tn_2: FIC_ET_Ig_mAmm_at_Vd_cond range effect=0.003; mid MEASURE_ET_R_f_tn_2: FIC_ET_Ig_mAmm_at_Vd_cond range effect=0.000; high MEASURE_ET_R_f_tn_2: FIC_ET_Ig_mAmm_at_Vd_cond range effect=0.000,0/5,INCONCLUSIVE
TOPSIN_ET_Load_Pull_Id_SS,BRGM_Cd_Metal_BRGM_Final_metal_CD,0.00033,8,"TOPSIN_ET_Load_Pull_Id_SS~75.73, BRGM_Cd_Metal_BRGM_Final_metal_CD~0.8334","TOPSIN_ET_Load_Pull_Id_SS~71.34, BRGM_Cd_Metal_BRGM_Final_metal_CD~0.8108",low BRGM_Cd_Metal_BRGM_Final_metal_CD: TOPSIN_ET_Load_Pull_Id_SS range effect=0.002; mid BRGM_Cd_Metal_BRGM_Final_metal_CD: TOPSIN_ET_Load_Pull_Id_SS range effect=0.001; high BRGM_Cd_Metal_BRGM_Final_metal_CD: TOPSIN_ET_Load_Pull_Id_SS range effect=0.000,0/5,INCONCLUSIVE
FIC_ET_Ig_mAmm_at_Vd_cond,BMETAL1_Height_Metal1_metal_thickness,0.000313,9,"FIC_ET_Ig_mAmm_at_Vd_cond~76.49, BMETAL1_Height_Metal1_metal_thickness~2.04","FIC_ET_Ig_mAmm_at_Vd_cond~80.48, BMETAL1_Height_Metal1_metal_thickness~1.913",low BMETAL1_Height_Metal1_metal_thickness: FIC_ET_Ig_mAmm_at_Vd_cond range effect=0.002; mid BMETAL1_Height_Metal1_metal_thickness: FIC_ET_Ig_mAmm_at_Vd_cond range effect=0.001; high BMETAL1_Height_Metal1_metal_thickness: FIC_ET_Ig_mAmm_at_Vd_cond range effect=0.000,0/5,INCONCLUSIVE
MEASURE_ET_Ran_con_3,MEASURE_ET_TR_1F,0.000308,10,"MEASURE_ET_Ran_con_3~90.16, MEASURE_ET_TR_1F~96.55","MEASURE_ET_Ran_con_3~88.21, MEASURE_ET_TR_1F~93.08",low MEASURE_ET_TR_1F: MEASURE_ET_Ran_con_3 range effect=0.002; mid MEASURE_ET_TR_1F: MEASURE_ET_Ran_con_3 range effect=0.002; high MEASURE_ET_TR_1F: MEASURE_ET_Ran_con_3 range effect=0.000,0/5,INCONCLUSIVE
