raw_csv_parameter_name,ebm_importance,relationship_class,direction,turning_point_1,turning_point_2,beneficial_range,harmful_range,effect_size_yield_pct,shape_fold_consistency,evidence_label
Customer_Customer_A,0.047496,MONOTONIC_NEGATIVE,negative,,,-0.5 to -0.5,1.5 to 1.5,0.106867,5/5,STRONG
MaskSetName_MS_D,0.034915,MONOTONIC_POSITIVE,positive,,,1.5 to 1.5,-0.5 to -0.5,0.111211,5/5,STRONG
Customer_Internal,0.029269,MONOTONIC_POSITIVE,positive,,,1.5 to 1.5,-0.5 to -0.5,0.065856,5/5,STRONG
MaskSetName_MS_A,0.02385,MONOTONIC_NEGATIVE,negative,,,-0.5 to -0.5,1.5 to 1.5,0.054578,5/5,STRONG
Customer_Customer_B,0.017249,MONOTONIC_POSITIVE,positive,,,1.5 to 1.5,-0.5 to -0.5,0.03881,5/5,STRONG
Technology_PHEMT_0_25um,0.010827,MONOTONIC_POSITIVE,positive,,,1.5 to 1.5,-0.5 to -0.5,0.024879,5/5,STRONG
VendorName_EPI_B,0.010811,MONOTONIC_POSITIVE,positive,,,1.5 to 1.5,-0.5 to -0.5,0.024841,5/5,STRONG
VendorName_EPI_A,0.010286,MONOTONIC_NEGATIVE,negative,,,-0.5 to -0.5,1.5 to 1.5,0.021385,5/5,STRONG
Sort_Yield_target____88,0.009802,MONOTONIC_NEGATIVE,negative,,,-0.5 to -0.5,1.5 to 1.5,0.020378,5/5,STRONG
Technology_PHEMT_0_15um,0.009531,MONOTONIC_NEGATIVE,negative,,,-0.5 to -0.5,1.5 to 1.5,0.019816,5/5,STRONG
Sort_Yield_target____90,0.009481,MONOTONIC_POSITIVE,positive,,,1.5 to 1.5,-0.5 to -0.5,0.019712,5/5,STRONG
Lot_type_ENG,0.009074,MONOTONIC_POSITIVE,positive,,,1.5 to 1.5,-0.5 to -0.5,0.039264,5/5,STRONG
Lot_type_PROD,0.008873,MONOTONIC_NEGATIVE,negative,,,-0.5 to -0.5,1.5 to 1.5,0.038394,5/5,STRONG
MaskSetName_MS_B,0.005956,MONOTONIC_NEGATIVE,negative,,,-0.5 to -0.5,1.5 to 1.5,0.014464,5/5,STRONG
MaskSetName_MS_C,0.004798,MONOTONIC_NEGATIVE,negative,,,-0.5 to -0.5,1.5 to 1.5,0.015434,5/5,STRONG
Version_V1_0,0.003664,MONOTONIC_POSITIVE,positive,,,1.5 to 1.5,-0.5 to -0.5,0.007475,4/5,STRONG
VendorName_EPI_C,0.001866,MONOTONIC_NEGATIVE,negative,,,-0.5 to -0.5,1.5 to 1.5,0.004654,2/5,WEAK
MEASURE_ET_DC_SEC_X_Vg_at_I1_pos_FPSD3p2,0.026459,FLAT,n/a,,,,,0.079447,5/5,INCONCLUSIVE
MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos_FPSD3p2,0.025678,FLAT,n/a,,,,,0.117134,5/5,INCONCLUSIVE
MEASURE_ET_RF_Modeling_Ft,0.025668,FLAT,n/a,,,,,0.079941,5/5,INCONCLUSIVE
THIN_ET_Rc_OG142,0.025554,FLAT,n/a,,,,,0.082405,5/5,INCONCLUSIVE
MEASURE_ET_DC_SEC_S_Vg_at_I2_pos,0.025098,FLAT,n/a,,,,,0.07604,5/5,INCONCLUSIVE
MEASURE_ET_DC_RF_Max_S11_Ph_L2180,0.024756,FLAT,n/a,,,,,0.075026,5/5,INCONCLUSIVE
MEASURE_ET_DC_Big_S12dB_10GHz,0.024544,FLAT,n/a,,,,,0.094653,5/5,INCONCLUSIVE
MEASURE_ET_DC_RF_Vg_max_Vd_0p1,0.024156,FLAT,n/a,,,,,0.10824,5/5,INCONCLUSIVE
EBCR2_ET_Ids_EBCR_recess_current,0.023998,FLAT,n/a,,,,,0.082647,5/5,INCONCLUSIVE
MEASURE_ET_DC_SEC_S_Id_mA_mm_at_Vg1_FPSD3p2,0.023978,FLAT,n/a,,,,,0.086395,5/5,INCONCLUSIVE
TOPSIN_ET_DC_SMALL_Vdg_max,0.023924,FLAT,n/a,,,,,0.092084,5/5,INCONCLUSIVE
MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos,0.023674,FLAT,n/a,,,,,0.078874,5/5,INCONCLUSIVE
MEASURE_ET_DC_SMALL_Ids_m0p2,0.022554,FLAT,n/a,,,,,0.077864,5/5,INCONCLUSIVE
OHMIC_ET_Rsh_an_ct2,0.022438,FLAT,n/a,,,,,0.080441,5/5,INCONCLUSIVE
MEASURE_ET_DC_SEC_X_Ig_cut3_mAmm_pos_FPSD3p2,0.022076,FLAT,n/a,,,,,0.070054,5/5,INCONCLUSIVE
MEASURE_ET_DC_RF2_S21ang_26GHz,0.021971,FLAT,n/a,,,,,0.092685,5/5,INCONCLUSIVE
MEASURE_ET_DC_SEC_X_Bin,0.021628,FLAT,n/a,,,,,0.11856,5/5,INCONCLUSIVE
MEASURE_ET_DC_SEC_S_Ig_cut2_mAmm_pos_SD3p5,0.021326,FLAT,n/a,,,,,0.071056,5/5,INCONCLUSIVE
TOPSIN_ET_Load_Pull_IG_comp_Last_uA,0.0211,FLAT,n/a,,,,,0.093786,5/5,INCONCLUSIVE
THIN_ET_DC_RF_Vds_max_0p1mA,0.021022,FLAT,n/a,,,,,0.086883,5/5,INCONCLUSIVE
MEASURE_ET_C385pf,0.020605,FLAT,n/a,,,,,0.086316,5/5,INCONCLUSIVE
MEASURE_ET_DC_RF_Vbgs_0p01,0.020594,FLAT,n/a,,,,,0.071035,5/5,INCONCLUSIVE
SIN_ET_DC_RF_Vg_max_Vd_0p1,0.020483,FLAT,n/a,,,,,0.09287,5/5,INCONCLUSIVE
MEASURE_ET_DC_SEC_X_Ig_mAmm_at_Vg_cond_neg,0.020081,FLAT,n/a,,,,,0.077427,5/5,INCONCLUSIVE
MEASURE_ET_RF_Modeling_Delta_S21_19G,0.02006,FLAT,n/a,,,,,0.078757,5/5,INCONCLUSIVE
MEASURE_ET_DC_SEC_Ids_min_ON,0.019785,FLAT,n/a,,,,,0.05986,5/5,INCONCLUSIVE
MEASURE_ET_DC_Stress_Id_stress_before,0.019773,FLAT,n/a,,,,,0.097171,5/5,INCONCLUSIVE
