relationship_type,parameter_A,parameter_B,ebm_evidence_label,ebm_shape,existing_spline_label,existing_v2_label,status
single_parameter,Customer_Customer_A,,STRONG,MONOTONIC_NEGATIVE,not_tested,not_tested,EBM_ONLY
single_parameter,MaskSetName_MS_D,,STRONG,MONOTONIC_POSITIVE,not_tested,not_tested,EBM_ONLY
single_parameter,Customer_Internal,,STRONG,MONOTONIC_POSITIVE,not_tested,not_tested,EBM_ONLY
single_parameter,MaskSetName_MS_A,,STRONG,MONOTONIC_NEGATIVE,not_tested,not_tested,EBM_ONLY
single_parameter,Customer_Customer_B,,STRONG,MONOTONIC_POSITIVE,not_tested,not_tested,EBM_ONLY
single_parameter,Technology_PHEMT_0_25um,,STRONG,MONOTONIC_POSITIVE,not_tested,not_tested,EBM_ONLY
single_parameter,VendorName_EPI_B,,STRONG,MONOTONIC_POSITIVE,not_tested,not_tested,EBM_ONLY
single_parameter,VendorName_EPI_A,,STRONG,MONOTONIC_NEGATIVE,not_tested,not_tested,EBM_ONLY
single_parameter,Sort_Yield_target____88,,STRONG,MONOTONIC_NEGATIVE,not_tested,not_tested,EBM_ONLY
single_parameter,Technology_PHEMT_0_15um,,STRONG,MONOTONIC_NEGATIVE,not_tested,not_tested,EBM_ONLY
single_parameter,Sort_Yield_target____90,,STRONG,MONOTONIC_POSITIVE,not_tested,not_tested,EBM_ONLY
single_parameter,Lot_type_ENG,,STRONG,MONOTONIC_POSITIVE,not_tested,not_tested,EBM_ONLY
single_parameter,Lot_type_PROD,,STRONG,MONOTONIC_NEGATIVE,not_tested,not_tested,EBM_ONLY
single_parameter,MaskSetName_MS_B,,STRONG,MONOTONIC_NEGATIVE,not_tested,not_tested,EBM_ONLY
single_parameter,MaskSetName_MS_C,,STRONG,MONOTONIC_NEGATIVE,not_tested,not_tested,EBM_ONLY
single_parameter,Version_V1_0,,STRONG,MONOTONIC_POSITIVE,not_tested,not_tested,EBM_ONLY
single_parameter,VendorName_EPI_C,,WEAK,MONOTONIC_NEGATIVE,not_tested,not_tested,INCONCLUSIVE_BOTH
single_parameter,MEASURE_ET_DC_SEC_X_Vg_at_I1_pos_FPSD3p2,,INCONCLUSIVE,FLAT,STRONG,INCONCLUSIVE,EXISTING_ONLY
single_parameter,MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos_FPSD3p2,,INCONCLUSIVE,FLAT,STRONG,WEAK,EXISTING_ONLY
single_parameter,MEASURE_ET_RF_Modeling_Ft,,INCONCLUSIVE,FLAT,STRONG,INCONCLUSIVE,EXISTING_ONLY
single_parameter,THIN_ET_Rc_OG142,,INCONCLUSIVE,FLAT,STRONG,INCONCLUSIVE,EXISTING_ONLY
single_parameter,MEASURE_ET_DC_SEC_S_Vg_at_I2_pos,,INCONCLUSIVE,FLAT,MODERATE,INCONCLUSIVE,EXISTING_ONLY
single_parameter,MEASURE_ET_DC_RF_Max_S11_Ph_L2180,,INCONCLUSIVE,FLAT,WEAK,INCONCLUSIVE,INCONCLUSIVE_BOTH
single_parameter,MEASURE_ET_DC_Big_S12dB_10GHz,,INCONCLUSIVE,FLAT,MODERATE,WEAK,EXISTING_ONLY
single_parameter,MEASURE_ET_DC_RF_Vg_max_Vd_0p1,,INCONCLUSIVE,FLAT,STRONG,STRONG,EXISTING_ONLY
single_parameter,EBCR2_ET_Ids_EBCR_recess_current,,INCONCLUSIVE,FLAT,STRONG,MODERATE,EXISTING_ONLY
single_parameter,MEASURE_ET_DC_SEC_S_Id_mA_mm_at_Vg1_FPSD3p2,,INCONCLUSIVE,FLAT,STRONG,MODERATE,EXISTING_ONLY
single_parameter,TOPSIN_ET_DC_SMALL_Vdg_max,,INCONCLUSIVE,FLAT,MODERATE,WEAK,EXISTING_ONLY
single_parameter,MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos,,INCONCLUSIVE,FLAT,INCONCLUSIVE,WEAK,INCONCLUSIVE_BOTH
single_parameter,MEASURE_ET_DC_SMALL_Ids_m0p2,,INCONCLUSIVE,FLAT,STRONG,INCONCLUSIVE,EXISTING_ONLY
