,0
MEASURE_ET_lkg_50_at20V,16336.802742958069
THIN_ET_lkg_10,10044.15697529912
MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm,5437.752337677404
MEASURE_ET_DC_Stress_Id_stress_before,5088.21239510295
TOPSIN_ET_Rc_f_tn_23,4515.182514190674
TOPSIN_ET_C100Cap1pf,2976.0492626712658
MEASURE_ET_DC_Big_S12dB_10GHz,2213.5661956071854
MEASURE_ET_ABVIETCH,2153.8434967808425
MEASURE_ET_C200_0,1819.6230697631836
MEASURE_ET_Rc_an_ct2_OW_CR,1746.5578130427748
SIN_ET_lkg_SY07_10,1394.6356340646744
FIC_ET_G_per_25,1107.0983757451177
FIC_ET_DC_RF_Vbgs_0p01,1014.5986879453994
MEASURE_ET_DC_RF2_S22dB_26GHz,1004.329426586628
TOPSIN_ET_DC_PIV_Drain_Lag_0,994.4292937517166
MaskSetSupplyChipsCount,974.5776760131121
ANODE_ET_Rc_an_ct2_OW_CR,956.129500414012
MEASURE_ET_CapPARCAP_0,951.8922111131251
MEASURE_ET_DC_SMALL_Ids_m0p2,938.9502329230309
TOPSIN_ET_C100Cap2pf,870.2120211571455
FIC_ET_Gm_max,742.3915553037077
MEASURE_ET_DC_RF2_MAG_26GHz,708.0588943908224
SIN_ET_DC_RF_Vbin_gs,652.4994018217549
MEASURE_ET_LT_SEC_Ileak_m10p5V_mA_mm,641.8707096576691
TOPSIN_ET_sh_f_tn_23,637.1021835147403
TOPSIN_ET_R_f_hr_3,618.5068105692044
MEASURE_ET_VIA_KLV,617.9740306586027
TOPSIN_ET_Cap3pf,589.1757863424718
TOPSIN_ET_Cap3pf_0,551.5279976876918
MEASURE_ET_C300,534.5589382541366
MEASURE_ET_DC_RF2_S21ang_26GHz,514.112112481147
MEASURE_ET_DC_Big_Vg_optt2,507.27167695760727
MEASURE_ET_R_f_hr_3,485.9765173497144
MEASURE_ET_Vbkdn_Cap100_Long,442.9930114746094
MEASURE_ET_DC_RF_CF_S12_Mag_L1002,438.148019248154
TOPSIN_ET_R414,432.0143377701752
THIN_ET_lkg_100_at20V,428.1331046130508
THIN_ET_TF_AB_1,425.55396750569344
MEASURE_ET_DC_RF_K_W,423.9522243067622
MEASURE_ET_DC_RF2_S11dB_26GHz,392.6519273389131
MEASURE_ET_DC_SEC_Ids_min_ON,364.7627715638373
FIC_ET_DC_PIV_Drain_Lag_1,354.59881257265806
MEASURE_ET_DC_RF_Min_S21_Freq_L1018,349.0839923109161
MEASURE_ET_DC_Stress_Id_max_Ig_after,346.1006689071655
CATHODE_ET_Rcat_cn_2,344.9686164758168
FIC_ET_lkg_SY8_80,334.49976912140846
MEASURE_ET_DC_SEC_S_Id_mA_mm_at_Vg3_FPSD3p2,329.21470832824707
MEASURE_ET_DC_SEC_X_Vg_at_I1_pos_SD3p5,328.8368298858404
MEASURE_ET_DC_SEC_X_Id_plus_Ig_at_Vboff_mA_mm_FPSD3p2,327.7109655290842
MEASURE_ET_Vbpin,319.89887691661716
TOPSIN_ET_CapUSV_0,308.43208738428075
OHMIC_ET_Rsh_an_ct2,305.0406645173207
TOPSIN_ET_DC_RF_Vds_max,295.01334571652114
THIN_ET_Rcat_cn_1,285.21732393768616
MEASURE_ET_C100CapPARCAP,278.3622055053711
MEASURE_ET_LT_SEC_Vbgd1_Vd7,275.8045537327416
ANODE_ET_Ran_con_1,269.1309053786099
ANODE_ET_Probe_Number,267.89592000097036
MEASURE_ET_DC_SEC_S_Ig_mAmm_at_Vg_cond_pos_SD3p5,267.51880916696973
MEASURE_ET_DC_RF_Max_S11_Ph_L2180,264.1783226286061
MEASURE_ET_DC_RF_Vbgs_0p1,261.43173167062923
MEASURE_ET_RGAN1,260.84601982310414
TOPSIN_ET_DC_SMALL_Vbgd_0p1,255.40399932861328
THIN_ET_i5021_2,252.353830806911
MEASURE_ET_DC_PIV_Ids0_QP1,248.72643120586872
MEASURE_ET_RF_Modeling_S21_25G_Before,243.90799552435055
SIN_GATE_ET_Ran_con_2,235.0016587721766
MEASURE_ET_DC_SEC_X_Id_at_Vboff_mA_mm_SD3p5,229.4307551998645
ANODE_ET_Rc_an_ct2,228.89849553164095
MEASURE_ET_Rc_OG142_GN,226.98169875028543
MEASURE_ET_RF_Modeling_Fmax,224.82319730520248
MEASURE_ET_DC_SEC_X_Ig_cut2_mAmm_neg,223.909806933254
FIC_ET_DC_RF_Vg_max_Vd,223.62944987043738
MEASURE_ET_Cap3pf_0,222.81459876243025
MEASURE_ET_DC_RF_Max_S11_Ph_L1018,219.45612689107656
ANODE_ET_Ran_con_3,207.3318967819214
