raw_csv_parameter_name,shap_importance,gain_importance,permutation_importance,shap_rank,gain_rank,permutation_rank,shap_percentile,gain_percentile,permutation_percentile,percentile_spread,method_agreement
MEASURE_ET_lkg_50_at20V,0.2615197568609086,16336.802742958069,0.7440567600028656,1,1,1,100.0,100.0,100.0,0.0,high_agreement
MEASURE_ET_DC_Stress_Id_stress_before,0.1585621716690072,5088.21239510295,0.2910232402260632,2,4,2,99.9298245614035,99.78947368421053,99.9298245614035,0.14035087719297223,high_agreement
TOPSIN_ET_C100Cap1pf,0.1390522866148446,2976.0492626712658,0.1943713327176678,3,6,5,99.85964912280701,99.64912280701755,99.71929824561403,0.21052631578946546,high_agreement
THIN_ET_lkg_10,0.1345743044673854,10044.15697529912,0.2864239835065382,4,2,3,99.78947368421053,99.9298245614035,99.85964912280701,0.14035087719297223,high_agreement
TOPSIN_ET_DC_PIV_Drain_Lag_0,0.0999630234708172,994.4292937517166,0.1737315894614662,5,15,7,99.71929824561403,99.01754385964912,99.57894736842105,0.7017543859649038,high_agreement
MEASURE_ET_ABVIETCH,0.0974542682911811,2153.8434967808425,0.1313808375208693,6,8,8,99.64912280701755,99.50877192982456,99.50877192982456,0.14035087719298645,high_agreement
MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm,0.0946471979831895,5437.752337677404,0.1802907854287458,7,3,6,99.57894736842105,99.85964912280701,99.64912280701755,0.2807017543859587,high_agreement
MEASURE_ET_DC_Big_S12dB_10GHz,0.0768284453008101,2213.5661956071854,0.122253215991886,8,7,9,99.50877192982456,99.57894736842105,99.43859649122807,0.14035087719298645,high_agreement
TOPSIN_ET_Rc_f_tn_23,0.0729809720484013,4515.182514190674,0.2114709691162854,9,5,4,99.43859649122807,99.71929824561403,99.78947368421053,0.3508771929824661,high_agreement
MEASURE_ET_DC_RF2_MAG_26GHz,0.0526877329719272,708.0588943908224,0.0440309702563574,10,22,16,99.36842105263159,98.52631578947368,98.94736842105263,0.8421052631579045,high_agreement
FIC_ET_DC_RF_Vbgs_0p01,0.0520211938235182,1014.5986879453994,0.067175130868786,11,13,11,99.29824561403508,99.1578947368421,99.29824561403508,0.14035087719298645,high_agreement
MEASURE_ET_DC_RF2_S22dB_26GHz,0.0469256020554259,1004.329426586628,0.0642859153294075,12,14,12,99.2280701754386,99.08771929824562,99.2280701754386,0.14035087719298645,high_agreement
ANODE_ET_Rc_an_ct2_OW_CR,0.044774010089927,956.129500414012,0.0740633294242345,13,17,10,99.1578947368421,98.87719298245614,99.36842105263159,0.49122807017545256,high_agreement
MEASURE_ET_DC_SMALL_Ids_m0p2,0.0434136205779195,938.9502329230309,0.0539573280617991,14,19,14,99.08771929824562,98.73684210526315,99.08771929824562,0.3508771929824661,high_agreement
OHMIC_ET_Rsh_an_ct2,0.0416941990627304,305.0406645173207,0.0390623563630009,15,52,18,99.01754385964912,96.42105263157895,98.80701754385966,2.596491228070178,high_agreement
MEASURE_ET_CapPARCAP_0,0.0401043061047139,951.8922111131252,0.0386978070349159,16,18,19,98.94736842105263,98.80701754385966,98.73684210526315,0.21052631578947967,high_agreement
MEASURE_ET_Rc_an_ct2_OW_CR,0.0379951414446535,1746.5578130427748,0.0518546026516508,17,10,15,98.87719298245614,99.36842105263159,99.01754385964912,0.49122807017545256,high_agreement
TOPSIN_ET_C100Cap2pf,0.0357591351477172,870.2120211571455,0.0336496232262775,18,20,24,98.80701754385966,98.66666666666667,98.3859649122807,0.42105263157895934,high_agreement
MEASURE_ET_C200_0,0.0346205883640293,1819.623069763184,0.0622206547701581,19,9,13,98.73684210526315,99.43859649122807,99.1578947368421,0.701754385964918,high_agreement
TOPSIN_ET_lkg_5,0.032482316801222,178.01288544619456,0.0343319413410057,20,91,22,98.66666666666667,93.6842105263158,98.52631578947368,4.982456140350877,high_agreement
MEASURE_ET_DC_RF_K_W,0.0323394855862418,423.9522243067622,0.0296780163110369,21,39,25,98.59649122807016,97.33333333333334,98.3157894736842,1.2631578947368212,high_agreement
SIN_ET_DC_RF_Vbin_gs,0.0310815301341377,652.4994018217549,0.0372174133243241,22,23,21,98.52631578947368,98.45614035087719,98.59649122807016,0.14035087719297223,high_agreement
MEASURE_ET_DC_RF_CF_S12_Mag_L1002,0.0301200053062158,438.148019248154,0.0209929318688444,23,35,31,98.45614035087719,97.6140350877193,97.89473684210527,0.8421052631578902,high_agreement
MEASURE_ET_LT_SEC_Ileak_m10p5V_mA_mm,0.0299435689211054,641.8707096576691,0.0381963200177022,24,24,20,98.3859649122807,98.3859649122807,98.66666666666667,0.2807017543859729,high_agreement
TOPSIN_ET_Cap3pf_0,0.0269594399492433,551.5279976876918,0.0224615770171833,25,29,30,98.3157894736842,98.03508771929825,97.96491228070175,0.3508771929824519,high_agreement
MEASURE_ET_DC_Big_Vg_optt2,0.0258978250514711,507.27167695760727,0.0284085902661707,26,32,26,98.24561403508771,97.82456140350877,98.24561403508771,0.4210526315789451,high_agreement
MEASURE_ET_DC_RF2_S21ang_26GHz,0.0255234005326018,514.112112481147,0.0240500420195967,27,31,29,98.17543859649123,97.89473684210527,98.03508771929825,0.2807017543859587,high_agreement
