parameter_A,parameter_B,shap_interaction_strength,h_statistic_strength,n_methods_agreeing,fold_reproducibility,evidence_label,reason
MEASURE_ET_ABVIETCH,MEASURE_ET_DC_Big_S12dB_10GHz,0.040853020094036616,0.36837755195083277,2,5/5,STRONG,Appeared in top-40 out-of-fold SHAP-interaction ranking in 5/5 folds; corroborated by both SHAP-interaction and H-statistic on the held-out set.
TOPSIN_ET_DC_PIV_Drain_Lag_0,MEASURE_ET_RF_Modeling_S12ang_10GHz,0.02140673236110594,0.47638770704403444,2,5/5,STRONG,Appeared in top-40 out-of-fold SHAP-interaction ranking in 5/5 folds; corroborated by both SHAP-interaction and H-statistic on the held-out set.
TOPSIN_ET_DC_PIV_Drain_Lag_0,TOPSIN_ET_R_f_hr_3,0.017215623697698475,0.3694707016414354,2,3/5,STRONG,Appeared in top-40 out-of-fold SHAP-interaction ranking in 3/5 folds; corroborated by both SHAP-interaction and H-statistic on the held-out set.
TOPSIN_ET_C100Cap1pf,MEASURE_ET_DC_RF_CF_S12_Mag_L1002,0.016395862669057428,0.21100666164908907,2,5/5,STRONG,Appeared in top-40 out-of-fold SHAP-interaction ranking in 5/5 folds; corroborated by both SHAP-interaction and H-statistic on the held-out set.
MEASURE_ET_ABVIETCH,MEASURE_ET_DC_RF2_S22dB_26GHz,0.015293894850590795,0.16617812535880075,2,3/5,STRONG,Appeared in top-40 out-of-fold SHAP-interaction ranking in 3/5 folds; corroborated by both SHAP-interaction and H-statistic on the held-out set.
MEASURE_ET_lkg_50_at20V,MEASURE_ET_DC_SEC_Ids_min_ON,0.014638917135589452,,1,5/5,STRONG,Appeared in top-40 out-of-fold SHAP-interaction ranking in 5/5 folds; found by only one of the two interaction-detection methods on the held-out set.
TOPSIN_ET_lkg_5,MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos_FPSD3p2,0.013439805401948189,0.2929014334494116,2,5/5,STRONG,Appeared in top-40 out-of-fold SHAP-interaction ranking in 5/5 folds; corroborated by both SHAP-interaction and H-statistic on the held-out set.
MEASURE_ET_DC_RF_CF_S12_Mag_L1002,MEASURE_ET_Rc_an_ct2_OW_CR,0.0123274440602905,0.17573373045731408,2,3/5,STRONG,Appeared in top-40 out-of-fold SHAP-interaction ranking in 3/5 folds; corroborated by both SHAP-interaction and H-statistic on the held-out set.
MEASURE_ET_R_f_hr_3,MEASURE_ET_lkg_50_at20V,0.011036204636259128,,1,5/5,STRONG,Appeared in top-40 out-of-fold SHAP-interaction ranking in 5/5 folds; found by only one of the two interaction-detection methods on the held-out set.
TOPSIN_ET_C100Cap1pf,MEASURE_ET_CapPARCAP_0,0.008567839171724597,,1,5/5,STRONG,Appeared in top-40 out-of-fold SHAP-interaction ranking in 5/5 folds; found by only one of the two interaction-detection methods on the held-out set.
