parameter_A,parameter_B,mlp_h_statistic,mlp_rms_nonadditivity,fold_reproducibility,high_yield_region,low_yield_region,confidence
MEASURE_ET_DC_RF_Vp_1_W,TFRP_ET_Rc_TF_AB_2,0.0177,0.00233,4/5,"MEASURE_ET_DC_RF_Vp_1_W~-0.8363, TFRP_ET_Rc_TF_AB_2~0.1388","MEASURE_ET_DC_RF_Vp_1_W~-1.234, TFRP_ET_Rc_TF_AB_2~0.2615",STRONG
FIC_ET_Bad_Gates,TOPSIN_ET_C100Cap2pf,0.0159,0.00241,4/5,"FIC_ET_Bad_Gates~17.97, TOPSIN_ET_C100Cap2pf~0.9812","FIC_ET_Bad_Gates~12.62, TOPSIN_ET_C100Cap2pf~0.6201",STRONG
TOPSIN_ET_C100Cap1pf,TOPSIN_ET_C100Cap2pf,0.0155,0.00344,4/5,"TOPSIN_ET_C100Cap1pf~0.9908, TOPSIN_ET_C100Cap2pf~0.9812","TOPSIN_ET_C100Cap1pf~0.596, TOPSIN_ET_C100Cap2pf~0.6201",STRONG
FIC_ET_Bad_Gates,FIC_ET_Gate_res,0.0141,0.00336,4/5,"FIC_ET_Bad_Gates~17.97, FIC_ET_Gate_res~0.004824","FIC_ET_Bad_Gates~12.62, FIC_ET_Gate_res~6.597",STRONG
FIC_ET_Bad_Gates,FIC_ET_R_f_tn_2,0.0137,0.00121,4/5,"FIC_ET_Bad_Gates~17.97, FIC_ET_R_f_tn_2~91.23","FIC_ET_Bad_Gates~12.62, FIC_ET_R_f_tn_2~82.97",STRONG
MEASURE_ET_DC_RF_CF_S12_Mag_L1002,THIN_ET_TF_AB_1,0.0133,0.00079,5/5,"MEASURE_ET_DC_RF_CF_S12_Mag_L1002~13.52, THIN_ET_TF_AB_1~8.011","MEASURE_ET_DC_RF_CF_S12_Mag_L1002~16.82, THIN_ET_TF_AB_1~0.8094",STRONG
FIC_ET_R_f_tn_2,MEASURE_ET_DC_RF_Vp_1_W,0.0123,0.00082,4/5,"FIC_ET_R_f_tn_2~91.23, MEASURE_ET_DC_RF_Vp_1_W~-0.8363","FIC_ET_R_f_tn_2~82.97, MEASURE_ET_DC_RF_Vp_1_W~-1.234",STRONG
ANODE_ET_Rc_an_ct2_OW_CR,MEASURE_ET_DC_RF_CF_S12_Mag_L1002,0.012,0.00149,4/5,"ANODE_ET_Rc_an_ct2_OW_CR~0.1574, MEASURE_ET_DC_RF_CF_S12_Mag_L1002~13.52","ANODE_ET_Rc_an_ct2_OW_CR~0.2672, MEASURE_ET_DC_RF_CF_S12_Mag_L1002~16.82",STRONG
MEASURE_ET_DC_RF_Vp_1_W,TOPSIN_ET_DC_PIV_Drain_Lag_0,0.0113,0.00083,4/5,"MEASURE_ET_DC_RF_Vp_1_W~-0.8363, TOPSIN_ET_DC_PIV_Drain_Lag_0~3.685","MEASURE_ET_DC_RF_Vp_1_W~-1.234, TOPSIN_ET_DC_PIV_Drain_Lag_0~10.11",STRONG
MEASURE_ET_lkg_50_at20V,TOPSIN_ET_C100Cap2pf,0.0105,0.00222,4/5,"MEASURE_ET_lkg_50_at20V~0.02393, TOPSIN_ET_C100Cap2pf~0.9812","MEASURE_ET_lkg_50_at20V~0.3181, TOPSIN_ET_C100Cap2pf~0.6201",STRONG
