parameter_A,parameter_B,parameter_C,contrast_3way,fold_sign_reproducibility,high_yield_joint_condition,low_yield_joint_condition,confidence
FIC_ET_Bad_Gates,FIC_ET_Ids_m2,MEASURE_ET_LT_SEC_Vbgd1_Vd7,-0.0009,4/5,"FIC_ET_Bad_Gates=high, FIC_ET_Ids_m2=low, MEASURE_ET_LT_SEC_Vbgd1_Vd7=low","FIC_ET_Bad_Gates=low, FIC_ET_Ids_m2=high, MEASURE_ET_LT_SEC_Vbgd1_Vd7=high",STRONG
ANODE_ET_Rc_an_ct2_OW_CR,FIC_ET_Bad_Gates,THIN_ET_TF_AB_1,0.0006,4/5,"ANODE_ET_Rc_an_ct2_OW_CR=low, FIC_ET_Bad_Gates=high, THIN_ET_TF_AB_1=high","ANODE_ET_Rc_an_ct2_OW_CR=high, FIC_ET_Bad_Gates=low, THIN_ET_TF_AB_1=low",STRONG
ANODE_ET_Rc_an_ct2_OW_CR,MEASURE_ET_lkg_50_at20V,TOPSIN_ET_C100Cap2pf,0.0006,4/5,"ANODE_ET_Rc_an_ct2_OW_CR=low, MEASURE_ET_lkg_50_at20V=low, TOPSIN_ET_C100Cap2pf=high","ANODE_ET_Rc_an_ct2_OW_CR=high, MEASURE_ET_lkg_50_at20V=high, TOPSIN_ET_C100Cap2pf=low",STRONG
ANODE_ET_Rc_an_ct2_OW_CR,MEASURE_ET_lkg_50_at20V,TOPSIN_ET_C100Cap1pf,0.0006,4/5,"ANODE_ET_Rc_an_ct2_OW_CR=low, MEASURE_ET_lkg_50_at20V=low, TOPSIN_ET_C100Cap1pf=high","ANODE_ET_Rc_an_ct2_OW_CR=high, MEASURE_ET_lkg_50_at20V=high, TOPSIN_ET_C100Cap1pf=low",STRONG
ANODE_ET_Rc_an_ct2_OW_CR,MEASURE_ET_DC_RF_Vp_1_W,TOPSIN_ET_C100Cap1pf,-0.0005,4/5,"ANODE_ET_Rc_an_ct2_OW_CR=low, MEASURE_ET_DC_RF_Vp_1_W=high, TOPSIN_ET_C100Cap1pf=high","ANODE_ET_Rc_an_ct2_OW_CR=high, MEASURE_ET_DC_RF_Vp_1_W=low, TOPSIN_ET_C100Cap1pf=low",STRONG
MEASURE_ET_DC_RF_CF_S12_Mag_L1002,TFRP_ET_Rc_TF_AB_2,THIN_ET_TF_AB_1,-0.0005,5/5,"MEASURE_ET_DC_RF_CF_S12_Mag_L1002=low, TFRP_ET_Rc_TF_AB_2=low, THIN_ET_TF_AB_1=high","MEASURE_ET_DC_RF_CF_S12_Mag_L1002=high, TFRP_ET_Rc_TF_AB_2=high, THIN_ET_TF_AB_1=low",STRONG
MEASURE_ET_DC_RF_Vp_1_W,MEASURE_ET_LT_SEC_Vbgd1_Vd7,TOPSIN_ET_DC_PIV_Drain_Lag_0,-0.0005,4/5,"MEASURE_ET_DC_RF_Vp_1_W=high, MEASURE_ET_LT_SEC_Vbgd1_Vd7=low, TOPSIN_ET_DC_PIV_Drain_Lag_0=low","MEASURE_ET_DC_RF_Vp_1_W=low, MEASURE_ET_LT_SEC_Vbgd1_Vd7=high, TOPSIN_ET_DC_PIV_Drain_Lag_0=high",STRONG
MEASURE_ET_DC_RF_CF_S12_Mag_L1002,MEASURE_ET_DC_RF_Vp_1_W,TOPSIN_ET_C100Cap2pf,-0.0004,4/5,"MEASURE_ET_DC_RF_CF_S12_Mag_L1002=low, MEASURE_ET_DC_RF_Vp_1_W=high, TOPSIN_ET_C100Cap2pf=high","MEASURE_ET_DC_RF_CF_S12_Mag_L1002=high, MEASURE_ET_DC_RF_Vp_1_W=low, TOPSIN_ET_C100Cap2pf=low",STRONG
ANODE_ET_Rc_an_ct2_OW_CR,FIC_ET_Bad_Gates,MEASURE_ET_lkg_50_at20V,-0.0004,4/5,"ANODE_ET_Rc_an_ct2_OW_CR=low, FIC_ET_Bad_Gates=high, MEASURE_ET_lkg_50_at20V=low","ANODE_ET_Rc_an_ct2_OW_CR=high, FIC_ET_Bad_Gates=low, MEASURE_ET_lkg_50_at20V=high",STRONG
ANODE_ET_Rc_an_ct2_OW_CR,MEASURE_ET_lkg_50_at20V,TOPSIN_ET_DC_RF_Vp_01,-0.0004,4/5,"ANODE_ET_Rc_an_ct2_OW_CR=low, MEASURE_ET_lkg_50_at20V=low, TOPSIN_ET_DC_RF_Vp_01=high","ANODE_ET_Rc_an_ct2_OW_CR=high, MEASURE_ET_lkg_50_at20V=high, TOPSIN_ET_DC_RF_Vp_01=low",STRONG
MEASURE_ET_DC_RF_CF_S12_Mag_L1002,MEASURE_ET_LT_SEC_Vbgd1_Vd7,TOPSIN_ET_DC_RF_Vp_01,0.0004,4/5,"MEASURE_ET_DC_RF_CF_S12_Mag_L1002=low, MEASURE_ET_LT_SEC_Vbgd1_Vd7=low, TOPSIN_ET_DC_RF_Vp_01=high","MEASURE_ET_DC_RF_CF_S12_Mag_L1002=high, MEASURE_ET_LT_SEC_Vbgd1_Vd7=high, TOPSIN_ET_DC_RF_Vp_01=low",STRONG
ANODE_ET_Rc_an_ct2_OW_CR,MEASURE_ET_DC_RF_Vp_1_W,THIN_ET_TF_AB_1,0.0004,4/5,"ANODE_ET_Rc_an_ct2_OW_CR=low, MEASURE_ET_DC_RF_Vp_1_W=high, THIN_ET_TF_AB_1=high","ANODE_ET_Rc_an_ct2_OW_CR=high, MEASURE_ET_DC_RF_Vp_1_W=low, THIN_ET_TF_AB_1=low",STRONG
ANODE_ET_Rc_an_ct2_OW_CR,MEASURE_ET_DC_RF_CF_S12_Mag_L1002,TOPSIN_ET_C100Cap2pf,0.0004,5/5,"ANODE_ET_Rc_an_ct2_OW_CR=low, MEASURE_ET_DC_RF_CF_S12_Mag_L1002=low, TOPSIN_ET_C100Cap2pf=high","ANODE_ET_Rc_an_ct2_OW_CR=high, MEASURE_ET_DC_RF_CF_S12_Mag_L1002=high, TOPSIN_ET_C100Cap2pf=low",STRONG
ANODE_ET_Rc_an_ct2_OW_CR,FIC_ET_Bad_Gates,TOPSIN_ET_DC_SMALL_Vbgs_0p01,0.0004,4/5,"ANODE_ET_Rc_an_ct2_OW_CR=low, FIC_ET_Bad_Gates=high, TOPSIN_ET_DC_SMALL_Vbgs_0p01=low","ANODE_ET_Rc_an_ct2_OW_CR=high, FIC_ET_Bad_Gates=low, TOPSIN_ET_DC_SMALL_Vbgs_0p01=high",STRONG
ANODE_ET_Rc_an_ct2_OW_CR,MEASURE_ET_DC_RF_CF_S12_Mag_L1002,THIN_ET_TF_AB_1,-0.0004,4/5,"ANODE_ET_Rc_an_ct2_OW_CR=low, MEASURE_ET_DC_RF_CF_S12_Mag_L1002=low, THIN_ET_TF_AB_1=high","ANODE_ET_Rc_an_ct2_OW_CR=high, MEASURE_ET_DC_RF_CF_S12_Mag_L1002=high, THIN_ET_TF_AB_1=low",STRONG
ANODE_ET_Rc_an_ct2_OW_CR,MEASURE_ET_LT_SEC_Vbgd1_Vd7,TOPSIN_ET_DC_RF_Vp_01,0.0003,4/5,"ANODE_ET_Rc_an_ct2_OW_CR=low, MEASURE_ET_LT_SEC_Vbgd1_Vd7=low, TOPSIN_ET_DC_RF_Vp_01=high","ANODE_ET_Rc_an_ct2_OW_CR=high, MEASURE_ET_LT_SEC_Vbgd1_Vd7=high, TOPSIN_ET_DC_RF_Vp_01=low",STRONG
OHMIC_ET_Rsh_an_ct2,TOPSIN_ET_DC_PIV_Drain_Lag_0,TOPSIN_ET_DC_RF_Vp_01,0.0003,4/5,"OHMIC_ET_Rsh_an_ct2=high, TOPSIN_ET_DC_PIV_Drain_Lag_0=low, TOPSIN_ET_DC_RF_Vp_01=high","OHMIC_ET_Rsh_an_ct2=low, TOPSIN_ET_DC_PIV_Drain_Lag_0=high, TOPSIN_ET_DC_RF_Vp_01=low",STRONG
FIC_ET_Bad_Gates,TOPSIN_ET_C100Cap2pf,TOPSIN_ET_DC_PIV_Drain_Lag_0,-0.0002,4/5,"FIC_ET_Bad_Gates=high, TOPSIN_ET_C100Cap2pf=high, TOPSIN_ET_DC_PIV_Drain_Lag_0=low","FIC_ET_Bad_Gates=low, TOPSIN_ET_C100Cap2pf=low, TOPSIN_ET_DC_PIV_Drain_Lag_0=high",STRONG
FIC_ET_Bad_Gates,FIC_ET_Ids_m2,MEASURE_ET_DC_RF_Vp_1_W,-0.0002,4/5,"FIC_ET_Bad_Gates=high, FIC_ET_Ids_m2=low, MEASURE_ET_DC_RF_Vp_1_W=high","FIC_ET_Bad_Gates=low, FIC_ET_Ids_m2=high, MEASURE_ET_DC_RF_Vp_1_W=low",STRONG
ANODE_ET_Rc_an_ct2_OW_CR,MEASURE_ET_DC_RF_CF_S12_Mag_L1002,TOPSIN_ET_DC_RF_Vp_01,-0.0002,4/5,"ANODE_ET_Rc_an_ct2_OW_CR=low, MEASURE_ET_DC_RF_CF_S12_Mag_L1002=low, TOPSIN_ET_DC_RF_Vp_01=high","ANODE_ET_Rc_an_ct2_OW_CR=high, MEASURE_ET_DC_RF_CF_S12_Mag_L1002=high, TOPSIN_ET_DC_RF_Vp_01=low",STRONG
TFRP_ET_Rc_TF_AB_2,TOPSIN_ET_C100Cap2pf,TOPSIN_ET_DC_PIV_Drain_Lag_0,0.0002,4/5,"TFRP_ET_Rc_TF_AB_2=low, TOPSIN_ET_C100Cap2pf=high, TOPSIN_ET_DC_PIV_Drain_Lag_0=low","TFRP_ET_Rc_TF_AB_2=high, TOPSIN_ET_C100Cap2pf=low, TOPSIN_ET_DC_PIV_Drain_Lag_0=high",STRONG
FIC_ET_Bad_Gates,FIC_ET_Gate_res,FIC_ET_R_f_tn_2,-0.0002,4/5,"FIC_ET_Bad_Gates=high, FIC_ET_Gate_res=low, FIC_ET_R_f_tn_2=high","FIC_ET_Bad_Gates=low, FIC_ET_Gate_res=high, FIC_ET_R_f_tn_2=low",STRONG
FIC_ET_Bad_Gates,MEASURE_ET_DC_RF_Vp_1_W,TOPSIN_ET_DC_SMALL_Vbgs_0p01,-0.0002,4/5,"FIC_ET_Bad_Gates=high, MEASURE_ET_DC_RF_Vp_1_W=high, TOPSIN_ET_DC_SMALL_Vbgs_0p01=low","FIC_ET_Bad_Gates=low, MEASURE_ET_DC_RF_Vp_1_W=low, TOPSIN_ET_DC_SMALL_Vbgs_0p01=high",STRONG
