raw_csv_parameter_name,permutation_importance,permutation_fold_consistency,ablation_effect,ablation_fold_consistency,evidence_label
VendorName_EPI_B,1.07575,5/5,0.7124,5/5,STRONG
Technology_PHEMT_0.25um,0.9939,5/5,0.7017,5/5,STRONG
Technology_PHEMT_0.15um,0.36505,5/5,0.20984,5/5,STRONG
Sort_Yield_target[%]_88,0.33867,5/5,0.20831,5/5,STRONG
Version_V2.0,0.33339,5/5,0.21447,5/5,STRONG
VendorName_EPI_A,0.32416,5/5,0.20223,5/5,STRONG
Sort_Yield_target[%]_90,0.32077,5/5,0.20995,5/5,STRONG
VendorName_EPI_C,0.30808,5/5,0.18446,5/5,STRONG
Technology_PHEMT_0.35um,0.29914,5/5,0.16717,5/5,STRONG
MEASURE_ET_DC_RD_MSG_18GHz,0.2265,5/5,0.15064,5/5,STRONG
Version_V1.1,0.22434,5/5,0.13476,4/5,STRONG
MEASURE_ET_DC_SEC_S_Id_mA_mm_at_Vg3_FPSD3p2,0.20481,5/5,0.13567,5/5,STRONG
SIN_ET_DC_RF_Vg_optt3,0.16812,5/5,0.11714,5/5,STRONG
MEASURE_ET_DC_RD_Ft,0.16027,5/5,0.09452,5/5,STRONG
FMESA_ET_Probe_Number,0.15654,5/5,0.09934,5/5,STRONG
MEASURE_ET_DC_SEC_X_Id_mA_mm_at_Vg3_SD3p5,0.15116,5/5,0.08371,5/5,STRONG
MEASURE_ET_LT_SEC_Vbgd1_Vd7,0.14865,5/5,0.11096,5/5,STRONG
MEASURE_ET_R414,0.1443,5/5,0.08846,4/5,STRONG
FIC_ET_Gate_res,0.14412,5/5,0.08168,5/5,STRONG
FIC_ET_Bad_Gates,0.14247,5/5,0.09494,5/5,STRONG
THIN_ET_R_f_tn_1,0.14004,5/5,0.08969,5/5,STRONG
MEASURE_ET_DC_SEC_S_Id_mA_mm_at_Vg2_SD3p5,0.13224,5/5,0.08467,5/5,STRONG
SIN_ET_DC_RF_Vp_1,0.12867,5/5,0.08251,5/5,STRONG
MEASURE_ET_LT_SEC_Id_min_mA_mm,0.12783,5/5,0.07925,5/5,STRONG
MEASURE_ET_DC_RF_Vbgs_0p1,0.12572,5/5,0.09069,5/5,STRONG
MEASURE_ET_LT_SEC_Vd_Id_min_Vd8,0.1228,5/5,0.07442,5/5,STRONG
THIN_ET_C_AN_2_OW_CR,0.11669,5/5,0.06682,5/5,STRONG
MEASURE_ET_i5021_1,0.11645,5/5,0.06997,5/5,STRONG
TOPSIN_ET_DC_RF_Vp_01,0.11477,5/5,0.07327,5/5,STRONG
FIC_ET_Ids_m2,0.11304,5/5,0.05971,5/5,STRONG
MEASURE_ET_DC_RF_Vp_1_W,0.11215,5/5,0.07425,5/5,STRONG
