raw_csv_parameter_name,relationship_class,direction,effect_range_yield_pct,shape_fold_consistency,direction_fold_consistency,evidence_label,observed_x_min,observed_x_max
VendorName_EPI_B,threshold,positive,2.9159,5/5,5/5,STRONG,0.0,1.0
Technology_PHEMT_0.25um,threshold,positive,2.8704,5/5,5/5,STRONG,0.0,1.0
MEASURE_ET_DC_SEC_S_Id_mA_mm_at_Vg3_FPSD3p2,direct,negative,2.0688,5/5,5/5,STRONG,14.188226,21.447024
THIN_ET_R_f_tn_1,direct,positive,1.7991,5/5,5/5,STRONG,10.228333,16.745816
MEASURE_ET_DC_RD_MSG_18GHz,direct,positive,1.7237,5/5,5/5,STRONG,12.799409,19.237818
VendorName_EPI_C,threshold,negative,1.7055,5/5,5/5,STRONG,0.0,1.0
Technology_PHEMT_0.35um,threshold,negative,1.6023,5/5,5/5,STRONG,0.0,1.0
THIN_ET_C_AN_2_OW_CR,direct,negative,1.5588,5/5,5/5,STRONG,10.011185,17.023444
MEASURE_ET_LT_SEC_Id_min_mA_mm,direct,positive,1.5137,5/5,5/5,STRONG,8.355456,14.698065
MEASURE_ET_R414,direct,positive,1.5129,5/5,5/5,STRONG,5.686694,13.079418
MEASURE_ET_DC_SEC_X_Id_mA_mm_at_Vg3_SD3p5,direct,negative,1.5128,5/5,5/5,STRONG,15.952124,23.19602
MEASURE_ET_DC_RF_S22ang_10GHz,direct,positive,1.3946,5/5,5/5,STRONG,-14.963615,-8.418854
Version_V2.0,threshold,negative,1.38,5/5,5/5,STRONG,0.0,1.0
MEASURE_ET_RF_Modeling_K,direct,negative,1.3548,5/5,5/5,STRONG,21.591411,28.040566
SIN_ET_DC_RF_Vg_optt3,direct,positive,1.3046,5/5,5/5,STRONG,4.296868,11.481375
MEASURE_ET_DC_RD_Ft,direct,positive,1.3032,5/5,5/5,STRONG,23.619617,31.607964
MEASURE_ET_DC_SEC_S_Id_mA_mm_at_Vg2_SD3p5,direct,positive,1.2948,5/5,5/5,STRONG,29.912951,36.864374
Sort_Yield_target[%]_90,threshold,positive,1.263,5/5,5/5,STRONG,0.0,1.0
FMESA_ET_Probe_Number,direct,negative,1.2588,5/5,5/5,STRONG,0.991456,5.028617
Technology_PHEMT_0.15um,threshold,negative,1.2462,5/5,5/5,STRONG,0.0,1.0
MEASURE_ET_DC_SEC_S_Ig_cut1_mAmm_pos,direct,negative,1.2319,5/5,5/5,STRONG,20.464721,27.373916
Sort_Yield_target[%]_88,threshold,negative,1.2021,5/5,5/5,STRONG,0.0,1.0
MEASURE_ET_RF_Modeling_Rgs,direct,positive,1.196,5/5,5/5,STRONG,65.246808,73.297417
VendorName_EPI_A,threshold,negative,1.1776,5/5,5/5,STRONG,0.0,1.0
MEASURE_ET_DC_SMALL_Vbgd1,direct,negative,1.1755,5/5,5/5,STRONG,20.656572,33.688874
FIC_ET_DC_PIV_Ids1_QP3,direct,negative,1.1224,5/5,5/5,STRONG,16.095206,22.555477
MEASURE_ET_DC_RF_CF_S22_Ph_L1002,direct,negative,1.0988,5/5,5/5,STRONG,-16.340663,-8.232996
MEASURE_ET_i5021_1,direct,positive,1.0917,5/5,5/5,STRONG,13.682137,20.306602
FIC_ET_DC_RF_Vds_max_0p1,direct,negative,1.0632,5/5,5/5,STRONG,29.005058,35.56378
MEASURE_ET_DC_SMALL_Vbgd_0p01,direct,negative,1.0534,5/5,5/5,STRONG,22.027498,32.588998
SIN_GATE_ET_Rsh_an_ct2,direct,positive,1.049,5/5,5/5,STRONG,107.624225,128.384003
MEASURE_ET_Ran_con_1,direct,positive,1.0466,5/5,5/5,STRONG,18.101243,24.956284
MEASURE_ET_DC_RD_S12dB_18GHz,direct,positive,1.0415,5/5,5/5,STRONG,-28.703415,-20.421199
SIN_ET_DC_RF_Vdg_max_0p1mA,direct,negative,1.0266,5/5,5/5,STRONG,74.986918,83.389762
MEASURE_ET_LT_SEC_Id_min_mA_mm_Vd8,direct,negative,1.017,5/5,5/5,STRONG,4.639363,10.355821
MEASURE_ET_Load_Pull_IG_comp_Last_uA,direct,negative,1.0005,5/5,5/5,STRONG,60.155043,69.238992
MEASURE_ET_DC_SEC_X_Vg_at_I2_pos,direct,negative,0.9848,5/5,5/5,STRONG,5.281104,11.541938
MEASURE_ET_DC_RF_S12dB_26GHz,direct,positive,0.9558,5/5,5/5,STRONG,-27.91149,-20.35813
TOPSIN_ET_R114,direct,positive,0.9512,5/5,5/5,STRONG,7.508314,14.491779
TOPSIN_ET_DC_RF_Vbgs_0p1,direct,negative,0.9375,5/5,5/5,STRONG,22.239419,32.834652
MEASURE_ET_DC_RF_Vbgs_0p1,direct,negative,0.8904,5/5,5/5,STRONG,21.797969,32.761628
MEASURE_ET_DC_Big_Vg_max_Vd,direct,negative,0.8807,5/5,5/5,STRONG,33.261992,40.067813
Version_V1.1,threshold,positive,0.8661,5/5,5/5,STRONG,0.0,1.0
MaskSetName_MS_D,threshold,positive,0.8438,5/5,5/5,STRONG,0.0,1.0
THIN_ET_DC_RF_Vbgs1,direct,negative,0.8294,5/5,5/5,STRONG,22.214378,33.187508
MEASURE_ET_Vbpin,direct,negative,0.7877,5/5,5/5,STRONG,22.873413,32.777832
TOPSIN_ET_DC_SMALL_Vbgs_0p01,direct,negative,0.7871,5/5,5/5,STRONG,22.270207,33.277701
MEASURE_ET_DC_Big_Gm_max,direct,negative,0.7787,5/5,5/5,STRONG,440.268872,630.62548
TOPSIN_ET_CapPARCAP_0,direct,positive,0.7755,5/5,5/5,STRONG,0.154116,0.269548
FIC_ET_Ids_m2,direct,negative,0.7383,5/5,5/5,STRONG,62.841355,71.103699
THIN_ET_Ran_con_1,direct,negative,0.735,5/5,5/5,STRONG,43.25832,49.817726
MEASURE_ET_DC_RF_S11ang_26GHz_W,direct,negative,0.7177,5/5,5/5,STRONG,-15.466682,-8.933344
FIC_ET_Gate_res,direct,negative,0.716,5/5,5/5,STRONG,-0.08252,6.650151
MEASURE_ET_DC_SEC_X_Id_at_Vboff_mA_mm_SD3p5,direct,positive,0.7136,5/5,5/5,STRONG,8.082879,15.118846
TOPSIN_ET_Rc_f_tn_23,direct,positive,0.6876,5/5,5/5,STRONG,0.154368,0.268885
MESA_Height_Mesa_Height,direct,positive,0.6822,5/5,5/5,STRONG,0.133758,0.156197
MEASURE_ET_LT_SEC_Vbgd1_Vd7,direct,negative,0.653,5/5,5/5,STRONG,21.844723,32.429871
MEASURE_ET_DC_SEC_S_Vp_1_mA_mm_second_FPSD3p2,direct,positive,0.5946,5/5,5/5,STRONG,-1.266742,-0.830421
MEASURE_ET_LT_SEC_Vd_Id_min_Vd8,direct,positive,0.5749,4/5,4/5,STRONG,39.190474,45.379984
MEASURE_ET_VIA_KLV,direct,positive,0.5668,5/5,5/5,STRONG,2.994165,9.206937
MEASURE_ET_RF_Modeling_Vp_1_W,direct,positive,0.5227,5/5,5/5,STRONG,-1.284039,-0.832484
MEASURE_ET_DC_SEC_X_Vp_0p7_mA_mm,direct,positive,0.5129,5/5,5/5,STRONG,-1.304962,-0.81897
BRGM_ET_i5021_2,direct,negative,0.4949,5/5,5/5,STRONG,432.540048,609.174011
SIN_ET_DC_RF_Vp_1,direct,positive,0.4891,5/5,5/5,STRONG,-1.257606,-0.814162
Customer_Customer_B,threshold,positive,0.4805,5/5,5/5,STRONG,0.0,1.0
TOPSIN_ET_DC_SMALL_Gm_max,direct,negative,0.47,5/5,5/5,STRONG,440.575155,610.961015
TOPSIN_ET_CapM1BRGM_0,direct,negative,0.4426,5/5,5/5,STRONG,440.183001,617.667229
MEASURE_ET_DC_SEC_X_Vp_1_mA_mm,direct,positive,0.4397,5/5,5/5,STRONG,-1.271038,-0.820826
MEASURE_ET_DC_RF_Gm_m0p2_W,direct,negative,0.4005,5/5,5/5,STRONG,438.227886,615.687256
TFRP_ET_Probe_Number,direct,negative,0.3902,5/5,5/5,STRONG,0.994228,5.038582
MEASURE_ET_RF_Modeling_Vg_gm_max_W,direct,negative,0.3816,5/5,5/5,STRONG,434.748099,622.696338
TOPSIN_ET_DC_SMALL_Gm_m0p2,direct,negative,0.3767,5/5,5/5,STRONG,436.528863,615.644488
FIC_ET_Vp_1,direct,positive,0.3671,5/5,5/5,STRONG,-1.271476,-0.846012
FIC_ET_Bad_Gates,direct,positive,0.3229,5/5,5/5,STRONG,12.282703,18.38218
MEASURE_ET_DC_RF_Vp_01_W,direct,positive,0.3127,5/5,5/5,STRONG,-1.271321,-0.818389
TOPSIN_ET_Vp_1,direct,positive,0.2836,5/5,5/5,STRONG,-1.262596,-0.818038
MEASURE_ET_DC_Big_Vp_01,direct,positive,0.2816,5/5,5/5,STRONG,-1.287614,-0.806401
MEASURE_ET_DC_SEC_X_Vp_1_mA_mm_first_SD3p5,direct,positive,0.2582,5/5,5/5,STRONG,-1.276941,-0.82224
MEASURE_ET_C100CapM1BRGM,direct,negative,0.2458,5/5,5/5,STRONG,433.34264,614.528365
TOPSIN_ET_DC_SMALL_Vp_01,direct,positive,0.241,5/5,4/5,STRONG,-1.288703,-0.792255
EBCR2_CD_Gate_Leg_Length,direct,negative,0.2067,5/5,5/5,STRONG,0.152671,0.353136
MEASURE_ET_DC_SEC_X_Vp_1_mA_mm_second_FPSD3p2,direct,positive,0.2035,5/5,5/5,STRONG,-1.291973,-0.810534
MEASURE_ET_DC_SEC_S_Vp_1_mA_mm_first_SD3p5,direct,positive,0.1906,4/5,4/5,STRONG,-1.283239,-0.815756
TOPSIN_ET_DC_SMALL_Vp_1,direct,positive,0.1773,4/5,4/5,STRONG,-1.266848,-0.811871
MEASURE_ET_DC_SEC_X_Vp_1_mA_mm_second_SD3p5,direct,negative,0.1615,4/5,4/5,STRONG,-1.275234,-0.807705
GATE2_CD_Gate_Leg_Length,direct,negative,0.1537,4/5,4/5,STRONG,0.152098,0.353856
MEASURE_ET_DC_Stress_Vp_after,direct,positive,0.1398,5/5,4/5,STRONG,-1.262756,-0.809766
MEASURE_ET_DC_SEC_S_Vp_1_mA_mm,direct,negative,0.0879,4/5,4/5,STRONG,-1.241512,-0.804673
MEASURE_ET_DC_SEC_Vp_1mA,direct,negative,0.0875,5/5,4/5,STRONG,-1.299242,-0.820574
MEASURE_ET_DC_SMALL_Gm_m0p2,direct,negative,0.0816,4/5,4/5,STRONG,439.89776,611.804647
MEASURE_ET_DC_SEC_S_Vp_1_mA_mm_second,direct,positive,0.0695,4/5,3/5,STRONG,-1.284437,-0.827924
MEASURE_ET_DC_RF_Vp_1,direct,positive,0.1502,3/5,2/5,MODERATE,-1.270633,-0.796121
TOPSIN_ET_DC_RF_Vp_01,direct,positive,0.1488,3/5,2/5,MODERATE,-1.294479,-0.822861
THIN_ET_DC_RF_Vp_1,direct,positive,0.1163,3/5,3/5,MODERATE,-1.276636,-0.836842
MEASURE_ET_DC_SEC_S_Vp_1_mA_mm_first_FPSD3p2,direct,positive,0.0934,3/5,2/5,MODERATE,-1.280618,-0.811791
MEASURE_ET_DC_Stress_Gm_max_after,direct,negative,0.0972,2/5,2/5,WEAK,434.207714,612.442556
FIC_ET_DC_RF_Vp_1,flat_no_clear_effect,see_pdp_curve,0.0421,1/5,1/5,INCONCLUSIVE,-1.270194,-0.816384
FIC_ET_DC_RF_Vp_01,flat_no_clear_effect,see_pdp_curve,0.0379,3/5,3/5,INCONCLUSIVE,-1.261838,-0.829344
MEASURE_ET_DC_RF_Vp_1_W,flat_no_clear_effect,see_pdp_curve,0.0201,2/5,2/5,INCONCLUSIVE,-1.245088,-0.839518
MEASURE_ET_DC_SEC_S_Vp_0p7_mA_mm,flat_no_clear_effect,see_pdp_curve,0.0025,2/5,2/5,INCONCLUSIVE,-1.295093,-0.794796
