relationship_type,parameter_A,parameter_B,parameter_C,mlp_evidence_label,mlp_shape,existing_spline_label,existing_v2_label,status
single_parameter,VendorName_EPI_B,,,STRONG,threshold,not_tested,not_tested,MLP_ONLY
single_parameter,Technology_PHEMT_0.25um,,,STRONG,threshold,not_tested,not_tested,MLP_ONLY
single_parameter,MEASURE_ET_DC_SEC_S_Id_mA_mm_at_Vg3_FPSD3p2,,,STRONG,direct,MODERATE,INCONCLUSIVE,SUPPORTED_BY_BOTH
single_parameter,THIN_ET_R_f_tn_1,,,STRONG,direct,WEAK,INCONCLUSIVE,MLP_ONLY
single_parameter,MEASURE_ET_DC_RD_MSG_18GHz,,,STRONG,direct,INCONCLUSIVE,WEAK,MLP_ONLY
single_parameter,VendorName_EPI_C,,,STRONG,threshold,not_tested,not_tested,MLP_ONLY
single_parameter,Technology_PHEMT_0.35um,,,STRONG,threshold,not_tested,not_tested,MLP_ONLY
single_parameter,THIN_ET_C_AN_2_OW_CR,,,STRONG,direct,MODERATE,INCONCLUSIVE,SUPPORTED_BY_BOTH
single_parameter,MEASURE_ET_LT_SEC_Id_min_mA_mm,,,STRONG,direct,STRONG,MODERATE,SUPPORTED_BY_BOTH
single_parameter,MEASURE_ET_R414,,,STRONG,direct,STRONG,INCONCLUSIVE,SUPPORTED_BY_BOTH
single_parameter,MEASURE_ET_DC_SEC_X_Id_mA_mm_at_Vg3_SD3p5,,,STRONG,direct,STRONG,MODERATE,SUPPORTED_BY_BOTH
single_parameter,MEASURE_ET_DC_RF_S22ang_10GHz,,,STRONG,direct,MODERATE,WEAK,SUPPORTED_BY_BOTH
single_parameter,Version_V2.0,,,STRONG,threshold,not_tested,not_tested,MLP_ONLY
single_parameter,MEASURE_ET_RF_Modeling_K,,,STRONG,direct,INCONCLUSIVE,WEAK,MLP_ONLY
single_parameter,SIN_ET_DC_RF_Vg_optt3,,,STRONG,direct,STRONG,INCONCLUSIVE,SUPPORTED_BY_BOTH
single_parameter,MEASURE_ET_DC_RD_Ft,,,STRONG,direct,STRONG,STRONG,SUPPORTED_BY_BOTH
single_parameter,MEASURE_ET_DC_SEC_S_Id_mA_mm_at_Vg2_SD3p5,,,STRONG,direct,INCONCLUSIVE,MODERATE,SUPPORTED_BY_BOTH
single_parameter,Sort_Yield_target[%]_90,,,STRONG,threshold,not_tested,not_tested,MLP_ONLY
single_parameter,FMESA_ET_Probe_Number,,,STRONG,direct,INCONCLUSIVE,WEAK,MLP_ONLY
single_parameter,Technology_PHEMT_0.15um,,,STRONG,threshold,not_tested,not_tested,MLP_ONLY
single_parameter,MEASURE_ET_DC_SEC_S_Ig_cut1_mAmm_pos,,,STRONG,direct,MODERATE,INCONCLUSIVE,SUPPORTED_BY_BOTH
single_parameter,Sort_Yield_target[%]_88,,,STRONG,threshold,not_tested,not_tested,MLP_ONLY
single_parameter,MEASURE_ET_RF_Modeling_Rgs,,,STRONG,direct,STRONG,MODERATE,SUPPORTED_BY_BOTH
single_parameter,VendorName_EPI_A,,,STRONG,threshold,not_tested,not_tested,MLP_ONLY
single_parameter,MEASURE_ET_DC_SMALL_Vbgd1,,,STRONG,direct,STRONG,WEAK,SUPPORTED_BY_BOTH
single_parameter,FIC_ET_DC_PIV_Ids1_QP3,,,STRONG,direct,STRONG,INCONCLUSIVE,SUPPORTED_BY_BOTH
single_parameter,MEASURE_ET_DC_RF_CF_S22_Ph_L1002,,,STRONG,direct,STRONG,INCONCLUSIVE,SUPPORTED_BY_BOTH
single_parameter,MEASURE_ET_i5021_1,,,STRONG,direct,STRONG,WEAK,SUPPORTED_BY_BOTH
single_parameter,FIC_ET_DC_RF_Vds_max_0p1,,,STRONG,direct,STRONG,INCONCLUSIVE,SUPPORTED_BY_BOTH
single_parameter,MEASURE_ET_DC_SMALL_Vbgd_0p01,,,STRONG,direct,STRONG,INCONCLUSIVE,SUPPORTED_BY_BOTH
single_parameter,SIN_GATE_ET_Rsh_an_ct2,,,STRONG,direct,INCONCLUSIVE,STRONG,SUPPORTED_BY_BOTH
single_parameter,MEASURE_ET_Ran_con_1,,,STRONG,direct,MODERATE,INCONCLUSIVE,SUPPORTED_BY_BOTH
single_parameter,MEASURE_ET_DC_RD_S12dB_18GHz,,,STRONG,direct,WEAK,INCONCLUSIVE,MLP_ONLY
single_parameter,SIN_ET_DC_RF_Vdg_max_0p1mA,,,STRONG,direct,STRONG,MODERATE,SUPPORTED_BY_BOTH
single_parameter,MEASURE_ET_LT_SEC_Id_min_mA_mm_Vd8,,,STRONG,direct,STRONG,INCONCLUSIVE,SUPPORTED_BY_BOTH
single_parameter,MEASURE_ET_Load_Pull_IG_comp_Last_uA,,,STRONG,direct,STRONG,WEAK,SUPPORTED_BY_BOTH
single_parameter,MEASURE_ET_DC_SEC_X_Vg_at_I2_pos,,,STRONG,direct,STRONG,INCONCLUSIVE,SUPPORTED_BY_BOTH
single_parameter,MEASURE_ET_DC_RF_S12dB_26GHz,,,STRONG,direct,WEAK,STRONG,SUPPORTED_BY_BOTH
single_parameter,TOPSIN_ET_R114,,,STRONG,direct,STRONG,MODERATE,SUPPORTED_BY_BOTH
single_parameter,TOPSIN_ET_DC_RF_Vbgs_0p1,,,STRONG,direct,STRONG,STRONG,SUPPORTED_BY_BOTH
single_parameter,MEASURE_ET_DC_RF_Vbgs_0p1,,,STRONG,direct,STRONG,INCONCLUSIVE,SUPPORTED_BY_BOTH
single_parameter,MEASURE_ET_DC_Big_Vg_max_Vd,,,STRONG,direct,STRONG,WEAK,SUPPORTED_BY_BOTH
single_parameter,Version_V1.1,,,STRONG,threshold,not_tested,not_tested,MLP_ONLY
single_parameter,MaskSetName_MS_D,,,STRONG,threshold,not_tested,not_tested,MLP_ONLY
single_parameter,THIN_ET_DC_RF_Vbgs1,,,STRONG,direct,STRONG,WEAK,SUPPORTED_BY_BOTH
single_parameter,MEASURE_ET_Vbpin,,,STRONG,direct,STRONG,MODERATE,SUPPORTED_BY_BOTH
single_parameter,TOPSIN_ET_DC_SMALL_Vbgs_0p01,,,STRONG,direct,MODERATE,WEAK,SUPPORTED_BY_BOTH
single_parameter,MEASURE_ET_DC_Big_Gm_max,,,STRONG,direct,STRONG,INCONCLUSIVE,SUPPORTED_BY_BOTH
single_parameter,TOPSIN_ET_CapPARCAP_0,,,STRONG,direct,STRONG,INCONCLUSIVE,SUPPORTED_BY_BOTH
single_parameter,FIC_ET_Ids_m2,,,STRONG,direct,INCONCLUSIVE,MODERATE,SUPPORTED_BY_BOTH
single_parameter,THIN_ET_Ran_con_1,,,STRONG,direct,STRONG,STRONG,SUPPORTED_BY_BOTH
single_parameter,MEASURE_ET_DC_RF_S11ang_26GHz_W,,,STRONG,direct,STRONG,INCONCLUSIVE,SUPPORTED_BY_BOTH
single_parameter,FIC_ET_Gate_res,,,STRONG,direct,MODERATE,INCONCLUSIVE,SUPPORTED_BY_BOTH
single_parameter,MEASURE_ET_DC_SEC_X_Id_at_Vboff_mA_mm_SD3p5,,,STRONG,direct,STRONG,INCONCLUSIVE,SUPPORTED_BY_BOTH
single_parameter,TOPSIN_ET_Rc_f_tn_23,,,STRONG,direct,STRONG,MODERATE,SUPPORTED_BY_BOTH
single_parameter,MESA_Height_Mesa_Height,,,STRONG,direct,WEAK,MODERATE,SUPPORTED_BY_BOTH
single_parameter,MEASURE_ET_LT_SEC_Vbgd1_Vd7,,,STRONG,direct,WEAK,WEAK,MLP_ONLY
single_parameter,MEASURE_ET_DC_SEC_S_Vp_1_mA_mm_second_FPSD3p2,,,STRONG,direct,WEAK,WEAK,MLP_ONLY
single_parameter,MEASURE_ET_LT_SEC_Vd_Id_min_Vd8,,,STRONG,direct,WEAK,INCONCLUSIVE,MLP_ONLY
single_parameter,MEASURE_ET_VIA_KLV,,,STRONG,direct,STRONG,MODERATE,SUPPORTED_BY_BOTH
single_parameter,MEASURE_ET_RF_Modeling_Vp_1_W,,,STRONG,direct,WEAK,INCONCLUSIVE,MLP_ONLY
single_parameter,MEASURE_ET_DC_SEC_X_Vp_0p7_mA_mm,,,STRONG,direct,STRONG,WEAK,SUPPORTED_BY_BOTH
single_parameter,BRGM_ET_i5021_2,,,STRONG,direct,WEAK,INCONCLUSIVE,MLP_ONLY
single_parameter,SIN_ET_DC_RF_Vp_1,,,STRONG,direct,STRONG,MODERATE,SUPPORTED_BY_BOTH
single_parameter,Customer_Customer_B,,,STRONG,threshold,not_tested,not_tested,MLP_ONLY
single_parameter,TOPSIN_ET_DC_SMALL_Gm_max,,,STRONG,direct,STRONG,STRONG,SUPPORTED_BY_BOTH
single_parameter,TOPSIN_ET_CapM1BRGM_0,,,STRONG,direct,STRONG,INCONCLUSIVE,SUPPORTED_BY_BOTH
single_parameter,MEASURE_ET_DC_SEC_X_Vp_1_mA_mm,,,STRONG,direct,STRONG,WEAK,SUPPORTED_BY_BOTH
single_parameter,MEASURE_ET_DC_RF_Gm_m0p2_W,,,STRONG,direct,STRONG,STRONG,SUPPORTED_BY_BOTH
single_parameter,TFRP_ET_Probe_Number,,,STRONG,direct,WEAK,INCONCLUSIVE,MLP_ONLY
