raw_csv_parameter_name,relationship_class,direction,turning_point_1,turning_point_2,beneficial_range,harmful_range,effect_size_yield_pct,shape_fold_consistency,n_fold_curves_used,linear_cv_rmse,spline_cv_rmse,rmse_improvement_pct,linear_cv_r2,spline_cv_r2,folds_spline_better,nonlinear_advantage,evidence_label,reason,n_train_rows_used
THIN_ET_lkg_10,THRESHOLD,positive,0.045618,,0.01781 to 0.2085,0.2164 to 0.3277,8.015,5/5,5,1.9285,1.8379,4.698,0.2551,0.3201,5/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.3201).,1200
MEASURE_ET_lkg_50_at20V,SATURATION,negative,0.224711,,0.02594 to 0.1963,0.2026 to 0.272,7.8556,5/5,5,1.9053,1.8153,4.723,0.2679,0.3323,5/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.3323).,1200
TOPSIN_ET_lkg_C175pf,COMPLEX_NONLINEAR,n/a,0.046881,0.094835,0.0229 to 0.1599,0.1668 to 0.2901,7.6981,5/5,5,1.9957,1.8944,5.08,0.2069,0.277,5/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.2770).,1200
TOPSIN_ET_lkg_C300,COMPLEX_NONLINEAR,n/a,0.055237,0.083515,0.02343 to 0.1224,0.2426 to 0.2991,7.6197,5/5,5,2.0462,1.97,3.721,0.1674,0.2215,4/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.2215).,1200
MEASURE_ET_LT_SEC_Ileak_m9V_mA_mm,PROCESS_WINDOW,n/a,0.096233,,0.02104 to 0.1786,0.1857 to 0.3003,7.4699,5/5,5,2.018,1.9668,2.536,0.1881,0.2188,2/5,False,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.2188).,1200
MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm,MONOTONIC_NEGATIVE,negative,,,0.02697 to 0.1947,0.202 to 0.3114,7.1623,5/5,5,1.9149,1.8533,3.221,0.2643,0.3046,4/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.3046).,1200
MEASURE_ET_lkg_PAD_10,THRESHOLD,negative,0.21051,,0.02487 to 0.1957,0.2031 to 0.3145,7.033,5/5,5,1.948,1.8973,2.607,0.2384,0.2716,4/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.2716).,1200
MEASURE_ET_lkg_Cap3,THRESHOLD,positive,0.060629,,0.0268 to 0.1997,0.2072 to 0.32,7.0053,5/5,5,2.0189,2.0001,0.934,0.1878,0.1965,2/5,False,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.1965).,1200
THIN_ET_lkg_50_at20V,THRESHOLD,negative,0.116885,,0.02355 to 0.1667,0.1729 to 0.2662,6.9657,5/5,5,2.0016,1.9592,2.119,0.1987,0.2187,3/5,False,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.2187).,1200
FIC_ET_lkg_SY8_80,SATURATION,negative,0.223278,,0.02303 to 0.1375,0.1947 to 0.271,6.8749,5/5,5,1.9815,1.9537,1.403,0.2146,0.2315,4/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.2315).,1200
TOPSIN_ET_lkg_CapFICM1,THRESHOLD,negative,0.141185,,0.02622 to 0.1586,0.1656 to 0.298,6.6956,4/5,5,2.0165,2.0056,0.543,0.1881,0.1907,2/5,False,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.1907).,1200
THIN_ET_lkg_C20,THRESHOLD,negative,0.147363,,0.0275 to 0.1919,0.1987 to 0.2946,6.6759,5/5,5,2.016,1.9422,3.664,0.1913,0.2437,5/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.2437).,1200
TOPSIN_ET_lkg_Cap3,SATURATION,negative,0.053062,,0.02281 to 0.227,0.2346 to 0.3178,6.6562,4/5,5,1.9797,1.8837,4.852,0.2156,0.2816,5/5,True,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.2816).,1200
MEASURE_ET_lkg_100,THRESHOLD,negative,0.24977,,0.02673 to 0.2006,0.2082 to 0.3216,6.6274,5/5,5,1.9798,1.9611,0.946,0.2172,0.229,4/5,False,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.2290).,1200
MEASURE_ET_lkg_C300FB,SATURATION,negative,0.293546,,0.02216 to 0.1658,0.2696 to 0.3335,6.5979,5/5,5,1.9765,1.8719,5.293,0.2136,0.2905,5/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.2905).,1200
MEASURE_ET_LT_SEC_Ileak_m5V_mA_mm,COMPLEX_NONLINEAR,n/a,0.230923,0.284705,0.01964 to 0.1426,0.1503 to 0.2424,6.2716,5/5,5,2.0634,2.0228,1.968,0.1473,0.1763,4/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.1763).,1200
MEASURE_ET_lkg_70,SATURATION,negative,0.250248,,0.02226 to 0.1534,0.1597 to 0.2659,6.2471,5/5,5,1.9909,1.8937,4.882,0.2034,0.2705,5/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.2705).,1200
TOPSIN_ET_lkg_C500pf,PROCESS_WINDOW,n/a,0.08185,,0.02237 to 0.1476,0.1539 to 0.2665,6.1196,5/5,5,2.0155,1.9427,3.613,0.187,0.2329,3/5,False,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.2329).,1200
MEASURE_ET_LT_SEC_Ileak_m16p5V_mA_mm,SATURATION,negative,0.043287,,0.02296 to 0.1652,0.172 to 0.2872,5.9976,4/5,5,1.9972,1.9453,2.595,0.2026,0.2384,4/5,True,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.2384).,1200
OHMIC_ET_lkg_5,THRESHOLD,negative,0.162539,,0.02433 to 0.1764,0.1833 to 0.2938,5.9605,4/5,5,1.9657,1.9338,1.627,0.2222,0.2399,2/5,False,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.2399).,1200
MEASURE_ET_lkg_C200,THRESHOLD,negative,0.305938,,0.02404 to 0.1762,0.1851 to 0.3731,5.9473,4/5,5,1.9593,1.8876,3.662,0.2293,0.2794,5/5,True,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.2794).,1200
MEASURE_ET_lkg_C175pf,SATURATION,negative,0.285799,,0.02568 to 0.1765,0.184 to 0.3197,5.8112,5/5,5,2.0339,2.0104,1.154,0.1726,0.1884,4/5,True,STRONG,Shape reproduced in 5/5 fold curves; positive out-of-fold R^2 (0.1884).,1200
MEASURE_ET_lkg_USV_Cap,COMPLEX_NONLINEAR,n/a,0.160993,0.257152,0.02415 to 0.1351,0.2461 to 0.3126,5.7918,4/5,5,1.9503,1.8712,4.057,0.2398,0.2933,4/5,True,STRONG,Shape reproduced in 4/5 fold curves; positive out-of-fold R^2 (0.2933).,1200
