raw_csv_parameter_name,spline_relationship_class,spline_evidence_label,spline_nonlinear_advantage,v1_relationship_type,v1_evidence_label,v2_shape,v2_evidence_label,vs_v1_lightgbm,vs_v2_binned
THIN_ET_lkg_10,THRESHOLD,STRONG,True,threshold,WEAK,complex_nonmonotonic,WEAK,SPLINE_ONLY,SPLINE_ONLY
MEASURE_ET_lkg_50_at20V,SATURATION,STRONG,True,threshold,MODERATE,complex_nonmonotonic,INCONCLUSIVE,BOTH_AGREE_SHAPE,SPLINE_ONLY
TOPSIN_ET_lkg_C175pf,COMPLEX_NONLINEAR,STRONG,True,,not_screened_by_v1,inverted_U,MODERATE,SPLINE_ONLY_NOT_SCREENED_BY_OTHER,BOTH_FOUND_DIFFERENT_SHAPE
TOPSIN_ET_lkg_C300,COMPLEX_NONLINEAR,STRONG,True,,not_screened_by_v1,complex_nonmonotonic,WEAK,SPLINE_ONLY_NOT_SCREENED_BY_OTHER,SPLINE_ONLY
MEASURE_ET_LT_SEC_Ileak_m9V_mA_mm,PROCESS_WINDOW,STRONG,False,,not_screened_by_v1,inverted_U,MODERATE,SPLINE_ONLY_NOT_SCREENED_BY_OTHER,BOTH_AGREE_SHAPE
MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm,MONOTONIC_NEGATIVE,STRONG,True,threshold,WEAK,complex_nonmonotonic,INCONCLUSIVE,SPLINE_ONLY,SPLINE_ONLY
MEASURE_ET_lkg_PAD_10,THRESHOLD,STRONG,True,,not_screened_by_v1,complex_nonmonotonic,INCONCLUSIVE,SPLINE_ONLY_NOT_SCREENED_BY_OTHER,SPLINE_ONLY
MEASURE_ET_lkg_Cap3,THRESHOLD,STRONG,False,,not_screened_by_v1,complex_nonmonotonic,WEAK,SPLINE_ONLY_NOT_SCREENED_BY_OTHER,SPLINE_ONLY
THIN_ET_lkg_50_at20V,THRESHOLD,STRONG,False,,not_screened_by_v1,complex_nonmonotonic,WEAK,SPLINE_ONLY_NOT_SCREENED_BY_OTHER,SPLINE_ONLY
FIC_ET_lkg_SY8_80,SATURATION,STRONG,True,flat_no_clear_effect,INCONCLUSIVE,complex_nonmonotonic,MODERATE,SPLINE_ONLY,BOTH_FOUND_DIFFERENT_SHAPE
TOPSIN_ET_lkg_CapFICM1,THRESHOLD,STRONG,False,,not_screened_by_v1,complex_nonmonotonic,INCONCLUSIVE,SPLINE_ONLY_NOT_SCREENED_BY_OTHER,SPLINE_ONLY
THIN_ET_lkg_C20,THRESHOLD,STRONG,True,,not_screened_by_v1,complex_nonmonotonic,INCONCLUSIVE,SPLINE_ONLY_NOT_SCREENED_BY_OTHER,SPLINE_ONLY
TOPSIN_ET_lkg_Cap3,SATURATION,STRONG,True,,not_screened_by_v1,complex_nonmonotonic,WEAK,SPLINE_ONLY_NOT_SCREENED_BY_OTHER,SPLINE_ONLY
MEASURE_ET_lkg_100,THRESHOLD,STRONG,False,,not_screened_by_v1,complex_nonmonotonic,MODERATE,SPLINE_ONLY_NOT_SCREENED_BY_OTHER,BOTH_FOUND_DIFFERENT_SHAPE
MEASURE_ET_lkg_C300FB,SATURATION,STRONG,True,,not_screened_by_v1,complex_nonmonotonic,INCONCLUSIVE,SPLINE_ONLY_NOT_SCREENED_BY_OTHER,SPLINE_ONLY
MEASURE_ET_LT_SEC_Ileak_m5V_mA_mm,COMPLEX_NONLINEAR,STRONG,True,,not_screened_by_v1,complex_nonmonotonic,INCONCLUSIVE,SPLINE_ONLY_NOT_SCREENED_BY_OTHER,SPLINE_ONLY
MEASURE_ET_lkg_70,SATURATION,STRONG,True,,not_screened_by_v1,complex_nonmonotonic,MODERATE,SPLINE_ONLY_NOT_SCREENED_BY_OTHER,BOTH_FOUND_DIFFERENT_SHAPE
TOPSIN_ET_lkg_C500pf,PROCESS_WINDOW,STRONG,False,,not_screened_by_v1,complex_nonmonotonic,INCONCLUSIVE,SPLINE_ONLY_NOT_SCREENED_BY_OTHER,SPLINE_ONLY
MEASURE_ET_LT_SEC_Ileak_m16p5V_mA_mm,SATURATION,STRONG,True,,not_screened_by_v1,monotonic,MODERATE,SPLINE_ONLY_NOT_SCREENED_BY_OTHER,BOTH_FOUND_DIFFERENT_SHAPE
OHMIC_ET_lkg_5,THRESHOLD,STRONG,False,,not_screened_by_v1,threshold,MODERATE,SPLINE_ONLY_NOT_SCREENED_BY_OTHER,BOTH_AGREE_SHAPE
MEASURE_ET_lkg_C200,THRESHOLD,STRONG,True,,not_screened_by_v1,complex_nonmonotonic,INCONCLUSIVE,SPLINE_ONLY_NOT_SCREENED_BY_OTHER,SPLINE_ONLY
MEASURE_ET_lkg_C175pf,SATURATION,STRONG,True,,not_screened_by_v1,complex_nonmonotonic,INCONCLUSIVE,SPLINE_ONLY_NOT_SCREENED_BY_OTHER,SPLINE_ONLY
MEASURE_ET_lkg_USV_Cap,COMPLEX_NONLINEAR,STRONG,True,,not_screened_by_v1,monotonic,MODERATE,SPLINE_ONLY_NOT_SCREENED_BY_OTHER,BOTH_FOUND_DIFFERENT_SHAPE
THIN_ET_lkg_70_at20V,THRESHOLD,STRONG,True,,not_screened_by_v1,complex_nonmonotonic,INCONCLUSIVE,SPLINE_ONLY_NOT_SCREENED_BY_OTHER,SPLINE_ONLY
MEASURE_ET_lkg_Cap1,THRESHOLD,STRONG,False,,not_screened_by_v1,complex_nonmonotonic,INCONCLUSIVE,SPLINE_ONLY_NOT_SCREENED_BY_OTHER,SPLINE_ONLY
FIC_ET_lkg_5,THRESHOLD,STRONG,True,,not_screened_by_v1,complex_nonmonotonic,INCONCLUSIVE,SPLINE_ONLY_NOT_SCREENED_BY_OTHER,SPLINE_ONLY
GATE2_CD_Gate_Leg_Length,COMPLEX_NONLINEAR,STRONG,True,,not_screened_by_v1,complex_nonmonotonic,MODERATE,SPLINE_ONLY_NOT_SCREENED_BY_OTHER,BOTH_AGREE_SHAPE
SIN_GATE_ET_lkg_5,SATURATION,STRONG,True,,not_screened_by_v1,complex_nonmonotonic,MODERATE,SPLINE_ONLY_NOT_SCREENED_BY_OTHER,BOTH_FOUND_DIFFERENT_SHAPE
TOPSIN_ET_DC_PIV_Gate_Lag_1,SATURATION,STRONG,True,,not_screened_by_v1,complex_nonmonotonic,WEAK,SPLINE_ONLY_NOT_SCREENED_BY_OTHER,SPLINE_ONLY
MEASURE_ET_lkg_Cap2,THRESHOLD,STRONG,True,,not_screened_by_v1,complex_nonmonotonic,WEAK,SPLINE_ONLY_NOT_SCREENED_BY_OTHER,SPLINE_ONLY
SIN_GATE_ET_lkg_SY8_80,SATURATION,STRONG,True,,not_screened_by_v1,complex_nonmonotonic,MODERATE,SPLINE_ONLY_NOT_SCREENED_BY_OTHER,BOTH_FOUND_DIFFERENT_SHAPE
MEASURE_ET_Rc_an_ct2_OW_CR,COMPLEX_NONLINEAR,STRONG,True,U_shaped_process_window,MODERATE,inverted_U,INCONCLUSIVE,BOTH_FOUND_DIFFERENT_SHAPE,SPLINE_ONLY
