raw_csv_parameter_name,relationship_type,evidence_label,observed_range_low,observed_range_high,approx_threshold,preferred_window_low,preferred_window_high,shap_rank
MEASURE_ET_lkg_50_at20V,threshold,MODERATE,0.0282,0.235,0.2276,,,1
MEASURE_ET_DC_Stress_Id_stress_before,threshold,INCONCLUSIVE,-1.8396,4.4732,3.346,,,2
TOPSIN_ET_C100Cap1pf,threshold,STRONG,0.5883,0.964,0.8701,,,3
THIN_ET_lkg_10,threshold,WEAK,0.0301,0.2412,0.2185,,,4
TOPSIN_ET_DC_PIV_Drain_Lag_0,threshold,STRONG,3.04,10.1612,8.8895,,,5
MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm,threshold,WEAK,0.033,0.2682,0.1926,,,7
MEASURE_ET_DC_Big_S12dB_10GHz,threshold,MODERATE,-29.3273,-21.3318,-22.7596,,,8
FIC_ET_DC_RF_Vbgs_0p01,threshold,MODERATE,21.3444,32.2259,26.3965,,,11
MEASURE_ET_DC_RF2_S22dB_26GHz,threshold,MODERATE,-16.0038,-8.2405,-15.172,,,12
ANODE_ET_Rc_an_ct2_OW_CR,threshold,STRONG,0.1562,0.269,0.2569,,,13
OHMIC_ET_Rsh_an_ct2,threshold,STRONG,105.3753,133.5094,124.4663,,,15
MEASURE_ET_CapPARCAP_0,threshold,STRONG,0.1454,0.2646,0.2348,,,16
MEASURE_ET_Rc_an_ct2_OW_CR,U_shaped_process_window,MODERATE,0.1533,0.2581,,0.1533,0.2281,17
TOPSIN_ET_C100Cap2pf,threshold,MODERATE,0.6242,0.9615,0.9254,,,18
TOPSIN_ET_lkg_5,threshold,STRONG,0.0333,0.2437,0.1159,,,20
MEASURE_ET_DC_RF_K_W,threshold,STRONG,7.1673,13.8642,8.8415,,,21
MEASURE_ET_DC_RF_CF_S12_Mag_L1002,U_shaped_process_window,WEAK,13.3398,16.5712,,15.1863,16.5712,23
MEASURE_ET_LT_SEC_Ileak_m10p5V_mA_mm,threshold,INCONCLUSIVE,0.0271,0.2594,0.2013,,,24
TOPSIN_ET_Cap3pf_0,U_shaped_process_window,WEAK,0.611,0.9727,,0.611,0.8952,25
MEASURE_ET_DC_Big_Vg_optt2,threshold,INCONCLUSIVE,4.2099,11.2176,10.9673,,,26
MEASURE_ET_DC_RF2_S21ang_26GHz,threshold,MODERATE,13.3319,16.6879,15.6092,,,27
MEASURE_ET_DC_RF_Min_S21_Freq_L1018,threshold,INCONCLUSIVE,13.3437,16.8123,14.7064,,,29
FIC_ET_G_per_25,U_shaped_process_window,MODERATE,53.4015,61.2298,,60.6706,61.2298,31
TOPSIN_ET_Cap3pf,threshold,WEAK,0.5896,0.9923,0.9492,,,32
CATHODE_ET_Rcat_cn_2,threshold,MODERATE,0.1336,0.2556,0.2338,,,33
THIN_ET_lkg_100_at20V,threshold,INCONCLUSIVE,0.0325,0.2334,0.0971,,,34
THIN_ET_Rcat_cn_1,U_shaped_process_window,MODERATE,0.1378,0.2638,,0.1378,0.2188,36
MEASURE_ET_DC_Diode_S11_dB_forw,threshold,INCONCLUSIVE,-15.576,-9.0911,-9.7859,,,41
SIN_ET_lkg_SY07_10,U_shaped_process_window,MODERATE,0.0307,0.2411,,0.0307,0.211,43
MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos,threshold,INCONCLUSIVE,7.7256,13.2603,12.6673,,,46
MEASURE_ET_Cap3pf_0,threshold,MODERATE,0.6072,0.975,0.6466,,,51
FIC_ET_Bad_Gates,U_shaped_process_window,MODERATE,12.5163,18.1287,,17.7278,18.1287,55
FIC_ET_DC_RF_Vbgs1,threshold,INCONCLUSIVE,21.6361,32.2398,24.287,,,74
