feature_a,feature_b,strength
MEASURE_ET_ABVIETCH,MEASURE_ET_DC_Big_S12dB_10GHz,0.031868028779476476
TOPSIN_ET_DC_PIV_Drain_Lag_0,TOPSIN_ET_R_f_hr_3,0.023096750629038237
MEASURE_ET_DC_Stress_Id_stress_before,MEASURE_ET_ABVIETCH,0.021982430131260517
MEASURE_ET_lkg_50_at20V,MaskSetSupplyChipsCount,0.019214412223129113
MEASURE_ET_ABVIETCH,MEASURE_ET_DC_RF2_S22dB_26GHz,0.017275976497477114
MEASURE_ET_ABVIETCH,FIC_ET_DC_RF_Vbgs_0p01,0.015351669487865599
MEASURE_ET_DC_Big_S12dB_10GHz,THIN_ET_TF_AB_1,0.014822397644262152
TOPSIN_ET_DC_PIV_Drain_Lag_0,THIN_ET_lkg_100_at20V,0.01473305276180541
TOPSIN_ET_C100Cap1pf,THIN_ET_TF_AB_1,0.014482915834773645
TOPSIN_ET_C100Cap1pf,MEASURE_ET_ABVIETCH,0.014313209270962968
MEASURE_ET_lkg_50_at20V,MEASURE_ET_VIA_KLV,0.014074021923241632
MEASURE_ET_ABVIETCH,THIN_ET_TF_AB_1,0.013186521812097429
TOPSIN_ET_C100Cap1pf,FIC_ET_G_per_25,0.010985139129526849
MEASURE_ET_DC_Big_S12dB_10GHz,TOPSIN_ET_lkg_5,0.00978341339324575
MEASURE_ET_DC_Big_S12dB_10GHz,THIN_ET_lkg_100_at20V,0.009691231477522846
MEASURE_ET_lkg_50_at20V,TOPSIN_ET_C100Cap1pf,0.009359701663233496
TOPSIN_ET_lkg_5,MaskSetSupplyChipsCount,0.009097011350768914
MEASURE_ET_DC_Stress_Id_stress_before,TOPSIN_ET_DC_PIV_Drain_Lag_0,0.009045434060386649
TOPSIN_ET_DC_PIV_Drain_Lag_0,THIN_ET_TF_AB_1,0.00842964649846683
TOPSIN_ET_lkg_5,THIN_ET_TF_AB_1,0.008058820248199086
