parameter_A,parameter_B,broad_screen_score,shap_interaction_strength,h_statistic_strength,fold_reproducibility,fold_count,evidence_label
MEASURE_ET_DC_RF_S11ang_10GHz,SIN_GATE_ET_lkg_SY8_80,0.4335519179754847,0.04287792939336515,0.22182989031126607,5/5,5,STRONG
THIN_ET_lkg_100_at20V,EBCR2_Ali_Litho_Gate_to_ohmic_alignment,0.438390033981063,0.03858961869821969,0.4095574708927176,5/5,5,STRONG
MEASURE_ET_Rc_OG142_GN,THIN_ET_lkg_100_at20V,0.4552202447962422,0.024064368952585454,0.3770345477118931,5/5,5,STRONG
MEASURE_ET_Rc_OG142_GN,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4571835723539963,0.013320005579870156,0.20445717777154424,5/5,5,STRONG
TOPSIN_ET_lkg_C450pf,EBCR2_Ali_Litho_Gate_to_ohmic_alignment,0.4297957046810276,0.013114857399432191,0.25142299354660835,5/5,5,STRONG
MEASURE_ET_DC_SMALL_Ids_m0p2,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4314953414100726,0.010031688215311819,0.11279338346735568,5/5,5,STRONG
THIN_ET_sh_f_hr_23,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4252298189134094,0.007891501124217593,0.11230746553337105,5/5,5,STRONG
MEASURE_ET_DC_RF2_S22dB_26GHz,THIN_ET_lkg_100_at20V,0.4281553776852261,0.007802734541017622,0.14151356104818583,5/5,5,STRONG
MEASURE_ET_Rcat_cn_2,THIN_ET_lkg_100_at20V,0.4534581036619543,0.006160622214510191,0.09104328782203493,5/5,5,STRONG
SIN_GATE_ET_Rc_an_ct2,THIN_ET_lkg_100_at20V,0.455559278735874,0.005767907352477631,0.07008371370345978,5/5,5,STRONG
TOPSIN_ET_DC_PIV_Drain_Lag_1,TOPSIN_ET_DC_SMALL_Vdg_max,0.4253527513287832,0.005734246159670162,0.08659524913425982,5/5,5,STRONG
MEASURE_ET_DC_SEC_X_Bin,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4305853862318913,0.005711596154589629,0.12519282292108666,5/5,5,STRONG
FIC_ET_Bad_Gates,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4324012777990064,0.005337027099256224,0.1219138597794543,5/5,5,STRONG
THIN_ET_Rcat_cn_3,TOPSIN_ET_lkg_C450pf,0.4332514200071496,0.005222718692529834,0.15473817674620305,5/5,5,STRONG
SIN_GATE_ET_lkg_SY8_80,THIN_ET_Rcat_cn_3,0.4244063698450513,0.004793805688840801,0.02037983953962291,5/5,5,STRONG
MEASURE_ET_Rc_cat_ct2_OW_ST,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4477159264508348,0.0046784259901755075,0.09135579933149326,5/5,5,STRONG
THIN_ET_lkg_100_at20V,THIN_ET_Rcat_cn_1,0.4283005873995341,0.0046740030211461095,0.08185297375331663,4/5,4,STRONG
THIN_ET_lkg_100_at20V,TOPSIN_ET_CapFICM1,0.450511117152403,0.004648777545139652,0.11891110203344174,5/5,5,STRONG
THIN_ET_lkg_100_at20V,THIN_ET_DC_RF_Vg_optt3,0.4299770735520177,0.004260599348042615,0.09447344650479533,5/5,5,STRONG
MaskSetSupplyChipsCount,THIN_ET_lkg_100_at20V,0.4255856101199628,0.004242213037257089,0.06252670252294205,5/5,5,STRONG
MEASURE_ET_Rcat_cn_2,TOPSIN_ET_lkg_C450pf,0.4366413025049691,0.004135324330143872,0.11131422271019485,5/5,5,STRONG
THIN_ET_lkg_100_at20V,TOPSIN_ET_DC_SMALL_Vdg_max,0.4248819590378807,0.00411919428647748,0.054261909894234676,4/5,4,STRONG
MEASURE_ET_DC_SEC_S_Ig_cut1_mAmm_neg_SD3p5,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4344582840747644,0.003992870388484986,0.06264359065493491,5/5,5,STRONG
MEASURE_ET_C300pf,THIN_ET_lkg_100_at20V,0.4348078581529616,0.00391356995741814,0.1035482820461209,5/5,5,STRONG
MEASURE_ET_DC_RF2_S11ang_26GHz,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.430976399574844,0.003694859524666791,0.05300327916861361,5/5,5,STRONG
MEASURE_ET_DC_RF2_S22dB_26GHz,TOPSIN_ET_lkg_C450pf,0.4340837946108695,0.003467158635341785,0.07879915070998705,5/5,5,STRONG
THIN_ET_lkg_100_at20V,THIN_ET_Rcat_cn_3,0.4394934243854387,0.00334470611620394,0.028433274899210388,4/5,4,STRONG
SIN_GATE_ET_Rc_OG142_GN,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4260435954488356,0.0030500186775925084,0.05392041552488912,5/5,5,STRONG
MEASURE_ET_DC_RF_Id_Vbon_min,TOPSIN_ET_lkg_C450pf,0.428327650070161,0.0030373642211953765,0.07329023654422583,4/5,4,STRONG
SIN_GATE_ET_Rc_an_ct2,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4697423855377051,0.0030142201875766905,0.06644685206945007,5/5,5,STRONG
SIN_GATE_ET_lkg_SY8_80,TOPSIN_ET_CapFICM1,0.4243145013817468,0.0029517848515623144,0.027605381374586936,5/5,5,STRONG
MEASURE_ET_Rc_OG144,TOPSIN_ET_lkg_C450pf,0.431971472414017,0.0025768045008710758,0.04913793692802355,5/5,5,STRONG
TFRP_ET_Rc_TF_AB_2,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4389227630370845,0.0024440000222196857,0.04821545893026075,5/5,5,STRONG
CATHODE_ET_Rcat_cn_3,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4287343212615601,0.00241473203163508,0.03517845799756849,5/5,5,STRONG
THIN_ET_lkg_100_at20V,TOPSIN_ET_Load_Pull_Gain_comp_Last,0.4256819870651118,0.0023260378483396173,0.015923666576322278,4/5,4,STRONG
CATHODE_ET_Rcat_cn_2,TOPSIN_ET_lkg_C450pf,0.4357851248749398,0.0020869997745274387,0.05119029453760707,4/5,4,STRONG
TFRP_ET_Rc_TF_AB_2,THIN_ET_lkg_100_at20V,0.4464723691164708,0.0019279159881303847,0.03579030399933506,5/5,5,STRONG
THIN_ET_DC_RF_Vg_optt3,TOPSIN_ET_lkg_C450pf,0.4260658442579198,0.001892207563276539,0.08402516549658384,5/5,5,STRONG
MEASURE_ET_DC_RF_S22dB_26GHz_W,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4276005479843456,0.0018843999328509845,0.04071319058910879,5/5,5,STRONG
MEASURE_ET_DC_RF_Gm_m0p2,THIN_ET_lkg_100_at20V,0.4296483818260229,0.0018581267541988096,0.02807069041568659,5/5,5,STRONG
FIC_ET_DC_RF_Ids_m0p2,THIN_ET_lkg_100_at20V,0.4367223375726622,0.001850531269500572,0.022990299325963862,4/5,4,STRONG
THIN_ET_Rc_OG142,TOPSIN_ET_lkg_C450pf,0.44092794264748,0.0018345625700968773,0.033199968966297635,5/5,5,STRONG
SIN_GATE_ET_Rc_an_ct2,TOPSIN_ET_lkg_C450pf,0.4561844110324668,0.001815865151597098,0.028596369889464877,5/5,5,STRONG
