parameter_A,parameter_B,broad_screen_score
SIN_GATE_ET_Rc_an_ct2,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.46974238553770514
THIN_ET_lkg_100_at20V,THIN_ET_Rc_cat_ct2,0.45834666046947886
CATHODE_ET_Rcat_cn_2,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.45818811525898584
MEASURE_ET_Rc_OG142_GN,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4571835723539963
SIN_GATE_ET_Rc_an_ct2,TOPSIN_ET_lkg_C450pf,0.4561844110324668
TOPSIN_ET_CapPARCAP_0,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.45599633670525974
TOPSIN_ET_CapPARCAP_0,TOPSIN_ET_lkg_C450pf,0.45578615865427186
THIN_ET_Rc_cat_ct2,TOPSIN_ET_lkg_C450pf,0.455678224483102
SIN_GATE_ET_Rc_an_ct2,THIN_ET_lkg_100_at20V,0.45555927873587404
MEASURE_ET_Rc_OG142_GN,THIN_ET_lkg_100_at20V,0.4552202447962422
MEASURE_ET_Rcat_cn_2,THIN_ET_lkg_100_at20V,0.4534581036619543
THIN_ET_Rc_cat_ct2,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4523364264554336
THIN_ET_lkg_100_at20V,TOPSIN_ET_CapFICM1,0.45051111715240305
OHMIC_ET_Rc_an_ct2,THIN_ET_lkg_100_at20V,0.45032427882503046
THIN_ET_Rc_TF_AB_2,TOPSIN_ET_lkg_C450pf,0.44992377889571356
MEASURE_ET_C100CapPARCAP,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4492234163230466
TOPSIN_ET_Rc_OG144,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4483523706399195
MEASURE_ET_Rcat_cn_1_OW_ST,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4480864077802186
MEASURE_ET_Rc_cat_ct2_OW_ST,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4477159264508348
THIN_ET_Rc_OG142,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.44719692019599117
MEASURE_ET_Rc_an_ct2,THIN_ET_lkg_100_at20V,0.4465949198825434
OHMIC_ET_Rc_an_ct2,TOPSIN_ET_lkg_C450pf,0.4465419019200753
TFRP_ET_Rc_TF_AB_2,THIN_ET_lkg_100_at20V,0.4464723691164708
THIN_ET_Rc_f_hr_23,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.446330365225393
MEASURE_ET_C100CapPARCAP,THIN_ET_lkg_100_at20V,0.44317664981979166
THIN_ET_lkg_100_at20V,TOPSIN_ET_CapPARCAP_0,0.44306329520936233
FIC_ET_Rc_f_tn_23,TOPSIN_ET_lkg_C450pf,0.4429845675658884
MEASURE_ET_Rc_an_ct2,TOPSIN_ET_lkg_C450pf,0.4416558747564635
