parameter_A,parameter_B,parameter_C,contrast_3way,max_2way_contrast_in_cube,adds_beyond_lower_order,"high_yield_region_(A,B,C)_bins",high_yield_mean,"low_yield_region_(A,B,C)_bins",low_yield_mean,min_cell_count,fold_sign_reproducibility,evidence_label,reason
ANODE_ET_Rsh_an_ct2,FIC_ET_Bad_Gates,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.0301,0.1356,False,"(0, 0, 0)",93.236,"(1, 0, 1)",90.331,112.0,5/5,MODERATE,
ANODE_ET_Rsh_an_ct2,MEASURE_ET_DC_SEC_X_Bin,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.0013,0.3907,False,"(0, 0, 0)",93.613,"(0, 1, 1)",90.3,106.0,4/5,MODERATE,
ANODE_ET_Rsh_an_ct2,MEASURE_ET_DC_SMALL_Ids_m0p2,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.0007,0.0491,False,"(0, 0, 0)",93.607,"(1, 1, 1)",90.326,119.0,2/5,WEAK,
ANODE_ET_Rsh_an_ct2,MEASURE_ET_Rc_OG142_GN,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.1049,0.2471,False,"(0, 0, 0)",93.257,"(1, 1, 1)",90.144,77.0,1/2,WEAK,
ANODE_ET_Rsh_an_ct2,THIN_ET_sh_f_hr_23,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.2444,0.1425,True,"(0, 0, 0)",93.275,"(1, 0, 1)",90.364,110.0,5/5,STRONG,
ANODE_ET_Rsh_an_ct2,TOPSIN_ET_DC_PIV_Drain_Lag_1,TOPSIN_ET_DC_SMALL_Vdg_max,-0.0709,0.0172,True,"(0, 0, 0)",93.73,"(1, 1, 1)",90.359,77.0,3/4,MODERATE,
BMETAL1_Height_Metal1_metal_thickness,FIC_ET_Bad_Gates,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.3286,0.2674,True,"(0, 1, 0)",93.092,"(1, 1, 1)",90.705,116.0,2/4,WEAK,
BMETAL1_Height_Metal1_metal_thickness,MEASURE_ET_DC_SEC_X_Bin,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.1528,0.4478,False,"(0, 0, 0)",93.498,"(0, 1, 1)",90.156,98.0,4/4,MODERATE,
BMETAL1_Height_Metal1_metal_thickness,MEASURE_ET_DC_SMALL_Ids_m0p2,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.1272,0.1089,True,"(0, 0, 0)",93.42,"(1, 1, 1)",90.944,113.0,3/5,MODERATE,
BMETAL1_Height_Metal1_metal_thickness,MEASURE_ET_Rc_OG142_GN,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.1862,0.2535,False,"(0, 0, 0)",93.219,"(0, 1, 1)",90.092,94.0,3/5,MODERATE,
BMETAL1_Height_Metal1_metal_thickness,THIN_ET_sh_f_hr_23,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.1385,0.1271,True,"(0, 0, 0)",93.076,"(1, 0, 1)",90.879,119.0,4/5,STRONG,
BMETAL1_Height_Metal1_metal_thickness,TOPSIN_ET_DC_PIV_Drain_Lag_1,TOPSIN_ET_DC_SMALL_Vdg_max,-0.1314,0.2238,False,"(0, 0, 0)",93.736,"(1, 1, 1)",90.953,96.0,3/3,MODERATE,
BRGM_ET_Probe_Number,FIC_ET_Bad_Gates,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.0117,0.3684,False,"(0, 0, 0)",92.893,"(0, 1, 1)",90.469,111.0,3/5,MODERATE,
BRGM_ET_Probe_Number,MEASURE_ET_DC_SEC_X_Bin,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.4587,0.5374,False,"(0, 1, 0)",93.276,"(0, 1, 1)",88.782,116.0,5/5,MODERATE,
BRGM_ET_Probe_Number,MEASURE_ET_DC_SMALL_Ids_m0p2,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.2984,0.2864,True,"(1, 0, 0)",93.216,"(0, 1, 1)",90.137,104.0,5/5,STRONG,
BRGM_ET_Probe_Number,MEASURE_ET_Rc_OG142_GN,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.0766,0.3406,False,"(0, 0, 0)",93.245,"(0, 1, 1)",89.866,98.0,3/5,MODERATE,
BRGM_ET_Probe_Number,THIN_ET_sh_f_hr_23,TOPSIN_ET_DC_PIV_Drain_Lag_1,-0.0312,0.3599,False,"(0, 0, 0)",92.873,"(0, 1, 1)",90.64,128.0,2/5,WEAK,
