raw_csv_parameter_name,shape,direction,effect_range_yield_pct,shape_fold_consistency,direction_fold_consistency,evidence_label,reason,observed_x_min,observed_x_max
MEASURE_ET_lkg_50,complex_nonmonotonic,n/a,3.6843,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",0.007264,0.555432
SIN_ET_DC_RF_Vbin_gs,complex_nonmonotonic,n/a,3.6701,5/5,5/5,STRONG,"Shape consistent in 5/5 folds, direction in 5/5.",18.952559,34.756312
MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm,complex_nonmonotonic,n/a,3.4634,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",0.013781,0.485599
THIN_ET_DC_RF_Vbgs_0p1,threshold,n/a,3.0198,5/5,5/5,STRONG,"Shape consistent in 5/5 folds, direction in 5/5.",19.264303,36.988731
FIC_ET_lkg_SY07_10,complex_nonmonotonic,n/a,2.968,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",0.005372,0.414162
TOPSIN_ET_DC_RF_Vbgs_0p1,complex_nonmonotonic,n/a,2.8018,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",17.883046,40.458742
TOPSIN_ET_DC_RF_Imax,complex_nonmonotonic,n/a,2.7395,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",510.468366,839.484126
TOPSIN_ET_DC_PIV_Ids1_QP1,complex_nonmonotonic,n/a,2.6966,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",8.96494,20.253029
MEASURE_ET_DC_SEC_X_Ids_max_FPSD3p2,threshold,n/a,2.692,5/5,5/5,STRONG,"Shape consistent in 5/5 folds, direction in 5/5.",53.418479,66.495465
MEASURE_ET_DC_Big_Idss,complex_nonmonotonic,n/a,2.4943,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",239.178305,469.047762
MEASURE_ET_DC_Stress_Id_stress_before,complex_nonmonotonic,n/a,2.4577,5/5,5/5,STRONG,"Shape consistent in 5/5 folds, direction in 5/5.",-3.937764,5.859766
MEASURE_ET_DC_SEC_X_Vp_1_mA_mm_first,complex_nonmonotonic,n/a,2.4383,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",-1.507131,-0.757295
MEASURE_ET_DC_SEC_S_Id_at_Vboff_mA_mm_FPSD3p2,threshold,n/a,2.4018,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",85.657883,100.90224
MEASURE_ET_DC_SEC_S_Ig_cut2_mAmm_pos_FPSD3p2,threshold,n/a,2.3473,5/5,5/5,STRONG,"Shape consistent in 5/5 folds, direction in 5/5.",61.323938,74.875824
TOPSIN_ET_Rc_f_hr_23,complex_nonmonotonic,n/a,2.3395,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",0.082799,0.290432
MEASURE_ET_DC_RF_Vds_max,threshold,n/a,2.3107,5/5,5/5,STRONG,"Shape consistent in 5/5 folds, direction in 5/5.",57.927529,70.80219
MEASURE_ET_RF_Modeling_Tau,complex_nonmonotonic,n/a,2.2959,5/5,5/5,STRONG,"Shape consistent in 5/5 folds, direction in 5/5.",5.743541,15.931851
MEASURE_ET_DC_RF_Vg_max_Vd_0p1,monotonic,positive,2.2631,4/5,5/5,STRONG,"Shape consistent in 4/5 folds, direction in 5/5.",62.317231,78.877831
MEASURE_ET_DC_PIV_Drain_Lag_Imax,complex_nonmonotonic,n/a,2.2469,5/5,5/5,STRONG,"Shape consistent in 5/5 folds, direction in 5/5.",470.691709,852.535846
CATHODE_ET_Rc_cat_ct2,complex_nonmonotonic,n/a,2.2455,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",0.093243,0.322389
TOPSIN_ET_I_5,threshold,n/a,2.2354,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",29.688477,38.800814
TOPSIN_ET_Load_Pull_Gss,threshold,positive,2.2133,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",51.539349,66.05909
MEASURE_ET_DC_Stress_Vg_gm_max_before,complex_nonmonotonic,n/a,2.2083,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",389.437075,652.480487
SIN_ET_DC_RF_Imax,complex_nonmonotonic,n/a,2.1942,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",482.70867,829.915928
MEASURE_ET_CapM1BRGM,complex_nonmonotonic,n/a,2.1925,5/5,5/5,STRONG,"Shape consistent in 5/5 folds, direction in 5/5.",392.533868,675.573567
MEASURE_ET_DC_SEC_Imax,complex_nonmonotonic,n/a,2.1733,4/5,4/5,STRONG,"Shape consistent in 4/5 folds, direction in 4/5.",496.481106,839.932027
