parameter_A,parameter_B,channels,additive_cv_rmse,joint_cv_rmse,interaction_rmse_improvement_pct,additive_cv_r2,joint_cv_r2,interaction_incremental_r2,shap_interaction_strength,h_statistic_strength,fold_reproducibility,high_yield_region,low_yield_region,conditional_effect_description,evidence_label,reason
TOPSIN_ET_C100CapUSV,TOPSIN_ET_lkg_CapFICM1,A_top_score2_nonadditivity+E_weak_marginal_strong_conditional,2.0849,1.7181,17.594,0.1423,0.4133,0.271,2e-05,0.0081,5/5,"TOPSIN_ET_C100CapUSV in [-inf, 0.6985] AND TOPSIN_ET_lkg_CapFICM1 in [0.06414, 0.0964]","TOPSIN_ET_C100CapUSV in [-inf, 0.6985] AND TOPSIN_ET_lkg_CapFICM1 in [0.1347, +inf]","Effect of TOPSIN_ET_C100CapUSV (low->high) on Yield: when TOPSIN_ET_lkg_CapFICM1 is low = -0.261 pt, medium = -2.094 pt, high = +2.196 pt. The effect of TOPSIN_ET_C100CapUSV is largest when TOPSIN_ET_lkg_CapFICM1 is high (an increase of 2.196 pt) and smallest when TOPSIN_ET_lkg_CapFICM1 is low (0.261 pt).",STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2710."
MEASURE_ET_C100USV_Cappf,TOPSIN_ET_lkg_CapFICM1,A_top_score2_nonadditivity+E_weak_marginal_strong_conditional,2.0674,1.7166,16.965,0.1575,0.4159,0.2584,0.0,0.0067,5/5,"MEASURE_ET_C100USV_Cappf in [-inf, 0.6984] AND TOPSIN_ET_lkg_CapFICM1 in [0.06414, 0.0964]","MEASURE_ET_C100USV_Cappf in [-inf, 0.6984] AND TOPSIN_ET_lkg_CapFICM1 in [0.1347, +inf]","Effect of MEASURE_ET_C100USV_Cappf (low->high) on Yield: when TOPSIN_ET_lkg_CapFICM1 is low = -0.539 pt, medium = -2.244 pt, high = +2.334 pt. The effect of MEASURE_ET_C100USV_Cappf is largest when TOPSIN_ET_lkg_CapFICM1 is high (an increase of 2.334 pt) and smallest when TOPSIN_ET_lkg_CapFICM1 is low (0.539 pt).",STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2584."
MEASURE_ET_C300pf,TOPSIN_ET_lkg_CapFICM1,A_top_score2_nonadditivity+E_weak_marginal_strong_conditional,2.0669,1.721,16.734,0.155,0.4069,0.252,0.0,0.0,5/5,"MEASURE_ET_C300pf in [-inf, 0.7164] AND TOPSIN_ET_lkg_CapFICM1 in [0.06414, 0.0964]","MEASURE_ET_C300pf in [-inf, 0.7164] AND TOPSIN_ET_lkg_CapFICM1 in [0.1347, +inf]","Effect of MEASURE_ET_C300pf (low->high) on Yield: when TOPSIN_ET_lkg_CapFICM1 is low = -0.359 pt, medium = -2.284 pt, high = +2.878 pt. The effect of MEASURE_ET_C300pf is largest when TOPSIN_ET_lkg_CapFICM1 is high (an increase of 2.878 pt) and smallest when TOPSIN_ET_lkg_CapFICM1 is low (0.359 pt).",STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2520."
TOPSIN_ET_CapFICM1,TOPSIN_ET_lkg_CapFICM1,A_top_score2_nonadditivity,2.0212,1.6811,16.826,0.1907,0.4335,0.2428,0.0,0.0,5/5,"TOPSIN_ET_CapFICM1 in [0.7636, 0.8287] AND TOPSIN_ET_lkg_CapFICM1 in [-inf, 0.04576]","TOPSIN_ET_CapFICM1 in [-inf, 0.702] AND TOPSIN_ET_lkg_CapFICM1 in [0.1347, +inf]","Effect of TOPSIN_ET_CapFICM1 (low->high) on Yield: when TOPSIN_ET_lkg_CapFICM1 is low = -0.035 pt, medium = -2.119 pt, high = +1.630 pt. The effect of TOPSIN_ET_CapFICM1 is largest when TOPSIN_ET_lkg_CapFICM1 is medium (a decrease of 2.119 pt) and smallest when TOPSIN_ET_lkg_CapFICM1 is low (0.035 pt).",STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2428."
TOPSIN_ET_CapFICM1,TOPSIN_ET_Load_Pull_Id_ini,A_top_score2_nonadditivity,2.2163,1.9135,13.662,0.0235,0.2643,0.2408,0.0,0.0,5/5,"TOPSIN_ET_CapFICM1 in [0.7636, 0.8287] AND TOPSIN_ET_Load_Pull_Id_ini in [23.48, +inf]","TOPSIN_ET_CapFICM1 in [-inf, 0.702] AND TOPSIN_ET_Load_Pull_Id_ini in [-inf, 20.24]","Effect of TOPSIN_ET_CapFICM1 (low->high) on Yield: when TOPSIN_ET_Load_Pull_Id_ini is low = +1.625 pt, medium = +0.751 pt, high = -3.102 pt. The effect of TOPSIN_ET_CapFICM1 is largest when TOPSIN_ET_Load_Pull_Id_ini is high (a decrease of 3.102 pt) and smallest when TOPSIN_ET_Load_Pull_Id_ini is medium (0.751 pt).",STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2408."
THIN_ET_TF_AB_2,THIN_ET_lkg_5,A_top_score2_nonadditivity,2.1098,1.8094,14.237,0.1147,0.3551,0.2404,0.00021,0.0214,5/5,"THIN_ET_TF_AB_2 in [4.837, +inf] AND THIN_ET_lkg_5 in [0.08601, 0.1182]","THIN_ET_TF_AB_2 in [4.837, +inf] AND THIN_ET_lkg_5 in [0.1182, +inf]","Effect of THIN_ET_TF_AB_2 (low->high) on Yield: when THIN_ET_lkg_5 is low = -1.229 pt, medium = +1.505 pt, high = -0.627 pt. The effect of THIN_ET_TF_AB_2 is largest when THIN_ET_lkg_5 is medium (an increase of 1.505 pt) and smallest when THIN_ET_lkg_5 is high (0.627 pt).",STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2404."
MEASURE_ET_Cap2pf,MEASURE_ET_DC_RF_Max_S11_Ph_L2180,A_top_score2_nonadditivity,2.2319,1.9306,13.502,0.0161,0.2543,0.2383,0.0,0.0,5/5,"MEASURE_ET_Cap2pf in [-inf, 0.7052] AND MEASURE_ET_DC_RF_Max_S11_Ph_L2180 in [-13.28, -12.09]","MEASURE_ET_Cap2pf in [-inf, 0.7052] AND MEASURE_ET_DC_RF_Max_S11_Ph_L2180 in [-10.36, +inf]","Effect of MEASURE_ET_Cap2pf (low->high) on Yield: when MEASURE_ET_DC_RF_Max_S11_Ph_L2180 is low = -0.916 pt, medium = -0.469 pt, high = +2.334 pt. The effect of MEASURE_ET_Cap2pf is largest when MEASURE_ET_DC_RF_Max_S11_Ph_L2180 is high (an increase of 2.334 pt) and smallest when MEASURE_ET_DC_RF_Max_S11_Ph_L2180 is medium (0.469 pt).",STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2383."
THIN_ET_TF_AB_2,MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm,A_top_score2_nonadditivity+E_weak_marginal_strong_conditional,2.1109,1.8105,14.231,0.1166,0.3524,0.2358,0.0,0.0,5/5,"THIN_ET_TF_AB_2 in [3.421, 4.837] AND MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm in [0.06096, 0.08692]","THIN_ET_TF_AB_2 in [4.837, +inf] AND MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm in [0.138, +inf]","Effect of THIN_ET_TF_AB_2 (low->high) on Yield: when MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm is low = -0.120 pt, medium = +1.219 pt, high = -1.158 pt. The effect of THIN_ET_TF_AB_2 is largest when MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm is medium (an increase of 1.219 pt) and smallest when MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm is low (0.120 pt).",STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2358."
THIN_ET_lkg_100_at20V,TOPSIN_ET_lkg_Cap3,A_top_score2_nonadditivity+E_weak_marginal_strong_conditional,2.1154,1.8335,13.323,0.0942,0.3241,0.2299,5e-05,0.0085,5/5,"THIN_ET_lkg_100_at20V in [0.08743, 0.1194] AND TOPSIN_ET_lkg_Cap3 in [0.04768, 0.06504]","THIN_ET_lkg_100_at20V in [0.1194, +inf] AND TOPSIN_ET_lkg_Cap3 in [0.1266, +inf]","Effect of THIN_ET_lkg_100_at20V (low->high) on Yield: when TOPSIN_ET_lkg_Cap3 is low = +0.504 pt, medium = -0.619 pt, high = -2.353 pt. The effect of THIN_ET_lkg_100_at20V is largest when TOPSIN_ET_lkg_Cap3 is high (a decrease of 2.353 pt) and smallest when TOPSIN_ET_lkg_Cap3 is low (0.504 pt).",STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2299."
THIN_ET_TF_AB_2,TOPSIN_ET_lkg_SY07_10,A_top_score2_nonadditivity,2.0206,1.7151,15.119,0.1811,0.4088,0.2277,0.0,0.0,5/5,"THIN_ET_TF_AB_2 in [1.653, 2.612] AND TOPSIN_ET_lkg_SY07_10 in [0.04465, 0.06229]","THIN_ET_TF_AB_2 in [4.837, +inf] AND TOPSIN_ET_lkg_SY07_10 in [0.1283, +inf]","Effect of THIN_ET_TF_AB_2 (low->high) on Yield: when TOPSIN_ET_lkg_SY07_10 is low = -0.901 pt, medium = +0.927 pt, high = -1.424 pt. The effect of THIN_ET_TF_AB_2 is largest when TOPSIN_ET_lkg_SY07_10 is high (a decrease of 1.424 pt) and smallest when TOPSIN_ET_lkg_SY07_10 is low (0.901 pt).",STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2277."
