parameter_A,parameter_B,channels,n_channels
THIN_ET_lkg_100_at20V,MEASURE_ET_Rc_OG142_GN,A_top_score1_nonadditivity+B_existing_shap_interaction+C_existing_h_statistic,3
THIN_ET_lkg_100_at20V,MEASURE_ET_Rcat_cn_2,A_top_score1_nonadditivity+B_existing_shap_interaction+C_existing_h_statistic,3
MEASURE_ET_Rc_OG142_GN,TOPSIN_ET_DC_PIV_Drain_Lag_1,A_top_score1_nonadditivity+B_existing_shap_interaction+C_existing_h_statistic,3
THIN_ET_lkg_100_at20V,SIN_GATE_ET_Rc_an_ct2,A_top_score1_nonadditivity+B_existing_shap_interaction+C_existing_h_statistic,3
THIN_ET_lkg_100_at20V,TOPSIN_ET_CapFICM1,A_top_score1_nonadditivity+B_existing_shap_interaction+C_existing_h_statistic,3
MEASURE_ET_Rc_cat_ct2_OW_ST,TOPSIN_ET_DC_PIV_Drain_Lag_1,A_top_score1_nonadditivity+B_existing_shap_interaction+C_existing_h_statistic,3
THIN_ET_lkg_100_at20V,EBCR2_Ali_Litho_Gate_to_ohmic_alignment,A_top_score1_nonadditivity+B_existing_shap_interaction+C_existing_h_statistic,3
TOPSIN_ET_C100Cap1pf,MEASURE_ET_DC_RF_CF_S12_Mag_L1002,B_existing_shap_interaction+C_existing_h_statistic+D_tree_path_cooccurrence,3
TOPSIN_ET_DC_PIV_Drain_Lag_0,MEASURE_ET_RF_Modeling_S12ang_10GHz,B_existing_shap_interaction+C_existing_h_statistic+D_tree_path_cooccurrence,3
TOPSIN_ET_C100Cap1pf,MEASURE_ET_ABVIETCH,B_existing_shap_interaction+C_existing_h_statistic+D_tree_path_cooccurrence,3
TOPSIN_ET_lkg_CapPARCAP,MEASURE_ET_DC_SEC_Vp_1mA,A_top_score2_nonadditivity+E_weak_marginal_strong_conditional,2
MEASURE_ET_DC_SEC_Vp_1mA,MEASURE_ET_lkg_100,A_top_score2_nonadditivity+E_weak_marginal_strong_conditional,2
TOPSIN_ET_lkg_CapFICM1,TOPSIN_ET_C300,A_top_score2_nonadditivity+E_weak_marginal_strong_conditional,2
MEASURE_ET_DC_SEC_Vp_1mA,MEASURE_ET_lkg_100_at20V,A_top_score2_nonadditivity+E_weak_marginal_strong_conditional,2
THIN_ET_lkg_100_at20V,TOPSIN_ET_lkg_Cap3,A_top_score2_nonadditivity+E_weak_marginal_strong_conditional,2
MEASURE_ET_DC_SEC_Vp_1mA,MEASURE_ET_lkg_Cap1,A_top_score2_nonadditivity+E_weak_marginal_strong_conditional,2
TOPSIN_ET_CapFICM1_0,TOPSIN_ET_lkg_CapFICM1,A_top_score2_nonadditivity+E_weak_marginal_strong_conditional,2
