parameter_A,parameter_B,parameter_C,channels,lower_order_cv_rmse,full_3way_cv_rmse,incremental_rmse_improvement_pct,lower_order_cv_r2,full_3way_cv_r2,incremental_r2,fold_reproducibility,high_yield_joint_condition,low_yield_joint_condition,evidence_label,reason
TOPSIN_ET_Cap3pf,TOPSIN_ET_CapFICM1,TOPSIN_ET_Load_Pull_Id_ini,a_chaining_confirmed_pairs,2.2143,2.1532,2.758,0.0244,0.0808,0.0564,5/5,"TOPSIN_ET_Cap3pf=low, TOPSIN_ET_CapFICM1=low, TOPSIN_ET_Load_Pull_Id_ini=high","TOPSIN_ET_Cap3pf=low, TOPSIN_ET_CapFICM1=low, TOPSIN_ET_Load_Pull_Id_ini=low",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0564."
ANODE_ET_Rc_an_ct2_OW_CR,MEASURE_ET_Vbkdn_Cap100,TOPSIN_ET_C100Cap1pf,a_chaining_confirmed_pairs,2.1477,2.1117,1.677,0.0823,0.1169,0.0346,5/5,"ANODE_ET_Rc_an_ct2_OW_CR=low, MEASURE_ET_Vbkdn_Cap100=low, TOPSIN_ET_C100Cap1pf=low","ANODE_ET_Rc_an_ct2_OW_CR=high, MEASURE_ET_Vbkdn_Cap100=low, TOPSIN_ET_C100Cap1pf=low",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0346."
ANODE_ET_Rc_an_ct2_OW_CR,THIN_ET_R_4000_HOR,TOPSIN_ET_C100Cap1pf,a_chaining_confirmed_pairs,2.1185,2.097,1.018,0.1129,0.1306,0.0177,5/5,"ANODE_ET_Rc_an_ct2_OW_CR=low, THIN_ET_R_4000_HOR=high, TOPSIN_ET_C100Cap1pf=low","ANODE_ET_Rc_an_ct2_OW_CR=low, THIN_ET_R_4000_HOR=high, TOPSIN_ET_C100Cap1pf=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0177."
ANODE_ET_Rc_an_ct2_OW_CR,TOPSIN_ET_C100Cap1pf,TOPSIN_ET_R_f_hr_3,a_chaining_confirmed_pairs,2.1088,2.0864,1.065,0.1221,0.1413,0.0192,5/5,"ANODE_ET_Rc_an_ct2_OW_CR=low, TOPSIN_ET_C100Cap1pf=low, TOPSIN_ET_R_f_hr_3=high","ANODE_ET_Rc_an_ct2_OW_CR=high, TOPSIN_ET_C100Cap1pf=low, TOPSIN_ET_R_f_hr_3=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0192."
CATHODE_ET_Rcat_cn_3_OW_ST,MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm,THIN_ET_lkg_100_at20V,a_chaining_confirmed_pairs,2.1047,2.0837,0.999,0.1261,0.1448,0.0187,5/5,"CATHODE_ET_Rcat_cn_3_OW_ST=low, MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm=high, THIN_ET_lkg_100_at20V=low","CATHODE_ET_Rcat_cn_3_OW_ST=high, MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm=high, THIN_ET_lkg_100_at20V=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0187."
THIN_ET_DC_RF_Vg_optt3,THIN_ET_lkg_100_at20V,TOPSIN_ET_lkg_Cap3,a_chaining_confirmed_pairs,2.0877,2.0611,1.276,0.1393,0.161,0.0218,5/5,"THIN_ET_DC_RF_Vg_optt3=high, THIN_ET_lkg_100_at20V=low, TOPSIN_ET_lkg_Cap3=high","THIN_ET_DC_RF_Vg_optt3=high, THIN_ET_lkg_100_at20V=high, TOPSIN_ET_lkg_Cap3=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0218."
THIN_ET_Rc_TF_AB_2,THIN_ET_lkg_100_at20V,TOPSIN_ET_lkg_SY8_80,a_chaining_confirmed_pairs,2.1015,2.0828,0.891,0.1247,0.1404,0.0157,5/5,"THIN_ET_Rc_TF_AB_2=low, THIN_ET_lkg_100_at20V=low, TOPSIN_ET_lkg_SY8_80=high","THIN_ET_Rc_TF_AB_2=high, THIN_ET_lkg_100_at20V=high, TOPSIN_ET_lkg_SY8_80=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0157."
THIN_ET_Rcat_cn_1,THIN_ET_lkg_100_at20V,TOPSIN_ET_lkg_SY8_80,a_chaining_confirmed_pairs,2.1224,2.1077,0.692,0.1132,0.1257,0.0125,5/5,"THIN_ET_Rcat_cn_1=high, THIN_ET_lkg_100_at20V=low, TOPSIN_ET_lkg_SY8_80=high","THIN_ET_Rcat_cn_1=high, THIN_ET_lkg_100_at20V=high, TOPSIN_ET_lkg_SY8_80=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0125."
THIN_ET_Rcat_cn_3,THIN_ET_lkg_100_at20V,TOPSIN_ET_lkg_SY8_80,a_chaining_confirmed_pairs,2.0815,2.0619,0.942,0.1382,0.156,0.0178,5/5,"THIN_ET_Rcat_cn_3=high, THIN_ET_lkg_100_at20V=low, TOPSIN_ET_lkg_SY8_80=high","THIN_ET_Rcat_cn_3=high, THIN_ET_lkg_100_at20V=high, TOPSIN_ET_lkg_SY8_80=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0178."
THIN_ET_lkg_100_at20V,TOPSIN_ET_CapFICM1,TOPSIN_ET_lkg_Cap3,a_chaining_confirmed_pairs,2.1046,2.0831,1.021,0.1228,0.1407,0.018,5/5,"THIN_ET_lkg_100_at20V=low, TOPSIN_ET_CapFICM1=high, TOPSIN_ET_lkg_Cap3=high","THIN_ET_lkg_100_at20V=high, TOPSIN_ET_CapFICM1=low, TOPSIN_ET_lkg_Cap3=high",STRONG,"Full 3-way model beat lower-order in 5/5 folds (unanimous), incremental R^2=0.0180."
