parameter_A,parameter_B,channels,additive_cv_rmse,joint_cv_rmse,interaction_rmse_improvement_pct,additive_cv_r2,joint_cv_r2,interaction_incremental_r2,fold_reproducibility,evidence_label,reason
TOPSIN_ET_lkg_CapFICM1,TOPSIN_ET_C100CapUSV,A_high_x_high+D_v3_multichannel_corroborated,2.0849,1.7181,17.594,0.1423,0.4133,0.271,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2710."
MEASURE_ET_C20_0,MEASURE_ET_Cap2pf,A_high_x_high,2.236,1.9076,14.691,0.0132,0.2814,0.2682,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2682."
MEASURE_ET_lkg_Cap1,TOPSIN_ET_C100CapUSV,A_high_x_high,2.0729,1.7102,17.496,0.1464,0.4095,0.2631,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2631."
THIN_ET_Cap_C300,TOPSIN_ET_Load_Pull_Id_ini,B_high_x_special_evidence,2.2064,1.8745,15.044,0.0377,0.2985,0.2608,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2608."
TOPSIN_ET_lkg_CapFICM1,MEASURE_ET_C100USV_Cappf,A_high_x_high+D_v3_multichannel_corroborated,2.0674,1.7166,16.965,0.1575,0.4159,0.2584,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2584."
OHMIC_ET_R114,TOPSIN_ET_DC_PIV_Ids0_QP3,A_high_x_high+E_spline_strong_v3_underrepresented,2.2403,1.916,14.478,0.0076,0.2655,0.2579,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2579."
FIC_ET_DC_PIV_Drain_Lag_0,MEASURE_ET_DC_Diode_S11_dB_rev_9p5,C_broadscreen_outlier_neither_high,2.1391,1.8051,15.618,0.0948,0.3525,0.2577,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2577."
THIN_ET_lkg_100_at20V,SIN_ET_lkg_SY07_10,A_high_x_high,2.0948,1.7787,15.088,0.1019,0.359,0.2571,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2571."
TOPSIN_ET_R_f_hr_3,MEASURE_ET_DC_RF2_S11ang_26GHz,A_high_x_high,2.2101,1.8988,14.086,0.0355,0.2923,0.2568,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2568."
MEASURE_ET_Rcat_cn_3_OW_ST,MEASURE_ET_DC_Stress_Id_max_Ig_after,B_high_x_special_evidence,2.132,1.7934,15.881,0.1016,0.3568,0.2552,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2552."
TOPSIN_ET_lkg_5,THIN_ET_TF_AB_2,A_high_x_high,2.0612,1.7316,15.991,0.1479,0.4026,0.2547,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2547."
TOPSIN_ET_lkg_C450pf,MEASURE_ET_lkg_C175pf,B_high_x_special_evidence,2.1607,1.8801,12.988,0.0415,0.295,0.2536,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2536."
MEASURE_ET_lkg_50_at20V,EBCR2_Ali_Litho_Gate_to_ohmic_alignment,A_high_x_high,2.0434,1.6912,17.239,0.1718,0.4249,0.253,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2530."
MEASURE_ET_C300pf,TOPSIN_ET_lkg_CapFICM1,A_high_x_high+D_v3_multichannel_corroborated,2.0669,1.721,16.734,0.155,0.4069,0.252,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2520."
TOPSIN_ET_lkg_Cap1,THIN_ET_lkg_5,B_high_x_special_evidence,2.1794,1.8974,12.937,0.0333,0.2819,0.2486,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2486."
MEASURE_ET_C300pf,MEASURE_ET_lkg_Cap1,A_high_x_high,2.0721,1.7358,16.232,0.1444,0.3928,0.2484,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2484."
TOPSIN_ET_CapUSV_0,MEASURE_ET_DC_RF_Max_S11_Ph_L2180,A_high_x_high,2.2014,1.8937,13.976,0.0478,0.2927,0.2449,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2449."
MEASURE_ET_lkg_Cap1,TOPSIN_ET_DC_SMALL_Vp_1,B_high_x_special_evidence,2.1036,1.7927,14.781,0.1143,0.358,0.2437,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2437."
TOPSIN_ET_lkg_CapFICM1,TOPSIN_ET_CapFICM1,A_high_x_high,2.0212,1.6811,16.826,0.1907,0.4335,0.2428,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2428."
TOPSIN_ET_Load_Pull_Id_ini,TOPSIN_ET_CapFICM1,A_high_x_high,2.2163,1.9135,13.662,0.0235,0.2643,0.2408,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2408."
THIN_ET_TF_AB_2,THIN_ET_lkg_5,A_high_x_high,2.1098,1.8094,14.237,0.1147,0.3551,0.2404,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2404."
TOPSIN_ET_lkg_C175pf,MEASURE_ET_DC_Stress_Vp_after,E_spline_strong_v3_underrepresented,2.091,1.7815,14.8,0.1267,0.3669,0.2402,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2402."
TOPSIN_ET_Cap2pf,MEASURE_ET_DC_RF_Max_S11_Ph_L2180,A_high_x_high,2.1363,1.824,14.618,0.0994,0.3395,0.24,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2400."
THIN_ET_Rcat_cn_3,MEASURE_ET_DC_Stress_Id_stress_before,A_high_x_high,2.1813,1.8663,14.441,0.0592,0.2983,0.2391,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2391."
MEASURE_ET_Cap2pf,MEASURE_ET_DC_RF_Max_S11_Ph_L2180,A_high_x_high,2.2319,1.9306,13.502,0.0161,0.2543,0.2383,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2383."
MEASURE_ET_DC_RF_S11ang_10GHz,FIC_ET_lkg_5,A_high_x_high,2.1024,1.7857,15.067,0.1229,0.3612,0.2382,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2382."
THIN_ET_TF_AB_2,MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm,A_high_x_high+D_v3_multichannel_corroborated,2.1109,1.8105,14.231,0.1166,0.3524,0.2358,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2358."
TOPSIN_ET_lkg_C385pf,THIN_ET_lkg_100_at20V,B_high_x_special_evidence,2.1409,1.8747,12.434,0.0542,0.2893,0.235,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2350."
MEASURE_ET_lkg_Cap2,TOPSIN_ET_lkg_C450pf,B_high_x_special_evidence,2.1906,1.9356,11.641,0.0168,0.2513,0.2344,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2344."
MEASURE_ET_C300M1B_0,MEASURE_ET_DC_RF_Max_S11_Ph_L2180,A_high_x_high,2.2061,1.9146,13.216,0.0415,0.2757,0.2342,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2342."
TOPSIN_ET_Load_Pull_Id_ini,TOPSIN_ET_Cap1pf_0,B_high_x_special_evidence,2.262,1.9838,12.299,-0.0152,0.2183,0.2335,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2335."
MEASURE_ET_lkg_CapPARCAP,THIN_ET_TF_AB_2,A_high_x_high,2.0904,1.7921,14.268,0.1286,0.3614,0.2328,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2328."
MEASURE_ET_Cap3pf_0,FIC_ET_DC_RF_Vg_max_Vd,A_high_x_high,2.2434,1.9679,12.278,0.0081,0.2407,0.2326,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2326."
MEASURE_ET_DC_SMALL_Vbgs_0p01,OHMIC_ET_lkg_5,A_high_x_high+E_spline_strong_v3_underrepresented,2.1293,1.8524,13.003,0.0873,0.3196,0.2324,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2324."
MEASURE_ET_C300pf,SIN_GATE_ET_lkg_SY07_10,B_high_x_special_evidence,2.0872,1.7748,14.969,0.1346,0.3669,0.2323,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2323."
MEASURE_ET_LT_SEC_Ileak_m9V_mA_mm,MEASURE_ET_DC_SEC_S_Vp_1_mA_mm_first_SD3p5,E_spline_strong_v3_underrepresented,2.0483,1.7418,14.964,0.1615,0.3934,0.232,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2320."
THIN_ET_lkg_70_at20V,THIN_ET_lkg_100_at20V,E_spline_strong_v3_underrepresented,2.1247,1.8438,13.219,0.0803,0.3122,0.2319,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2319."
MEASURE_ET_lkg_C300FB,SIN_GATE_ET_lkg_SY8_80,B_high_x_special_evidence,2.1892,1.9524,10.818,0.0081,0.2397,0.2316,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2316."
MEASURE_ET_lkg_70_at20V,MEASURE_ET_DC_RF_CF_S22_Ph_L2180,A_high_x_high,2.1563,1.8572,13.872,0.079,0.3103,0.2313,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2313."
TOPSIN_ET_lkg_5,THIN_ET_lkg_100_at20V,A_high_x_high,2.1401,1.883,12.012,0.0492,0.2798,0.2306,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2306."
MEASURE_ET_LT_SEC_Ileak_m10p5V_mA_mm,MEASURE_ET_LT_SEC_Ileak_m9V_mA_mm,E_spline_strong_v3_underrepresented,2.1662,1.91,11.828,0.046,0.2762,0.2302,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2302."
SIN_ET_DC_PIV_Idss_QP1,MEASURE_ET_DC_SMALL_Vbin_gd,C_broadscreen_outlier_neither_high,2.1914,1.8949,13.527,0.0507,0.2808,0.2301,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2301."
THIN_ET_lkg_100_at20V,TOPSIN_ET_lkg_Cap3,A_high_x_high+D_v3_multichannel_corroborated,2.1154,1.8335,13.323,0.0942,0.3241,0.2299,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2299."
TOPSIN_ET_DC_RF_Vds_max,TOPSIN_ET_DC_PIV_Ids0_QP3,A_high_x_high,2.242,1.9719,12.046,0.0038,0.2332,0.2294,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2294."
THIN_ET_TF_AB_2,MEASURE_ET_HIRS,A_high_x_high+E_spline_strong_v3_underrepresented,2.2239,1.9385,12.833,0.025,0.2535,0.2285,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2285."
FIC_ET_lkg_SY8_80,TOPSIN_ET_lkg_C450pf,A_high_x_high,2.1731,1.9302,11.179,0.0288,0.2573,0.2285,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2285."
TOPSIN_ET_C100CapUSV,THIN_ET_Rc_TF_AB_2,A_high_x_high,2.1618,1.8735,13.339,0.0758,0.3041,0.2284,5/5,STRONG,"Joint model beat additive in 5/5 folds (unanimous), incremental R^2=0.2284."
