parameter_A,parameter_B,parameter_C,channels,n_channels
MEASURE_ET_C300pf,MEASURE_ET_lkg_C300,SIN_GATE_ET_lkg_SY07_10,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_C300pf,MEASURE_ET_lkg_C300,TOPSIN_ET_lkg_CapFICM1,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
FIC_ET_lkg_SY07_10,THIN_ET_lkg_5,TOPSIN_ET_lkg_Cap1,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,MEASURE_ET_lkg_C300FB,SIN_GATE_ET_lkg_SY8_80,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_C300pf,MEASURE_ET_DC_SEC_X_Vp_1_mA_mm,SIN_GATE_ET_lkg_SY07_10,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm,THIN_ET_lkg_100_at20V,TOPSIN_ET_lkg_5,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_DC_Stress_Id_max_Ig_after,MEASURE_ET_DC_Stress_Id_stress_before,MEASURE_ET_Rcat_cn_3_OW_ST,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm,THIN_ET_lkg_100_at20V,TOPSIN_ET_lkg_C385pf,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm,THIN_ET_lkg_100_at20V,THIN_ET_lkg_70_at20V,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_DC_Stress_Vp_after,MEASURE_ET_lkg_10,TOPSIN_ET_lkg_C175pf,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_lkg_100,MEASURE_ET_lkg_C300FB,SIN_GATE_ET_lkg_SY8_80,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_lkg_100,TOPSIN_ET_C100CapUSV,TOPSIN_ET_lkg_CapFICM1,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_C300pf,MEASURE_ET_lkg_C300pf,SIN_GATE_ET_lkg_SY07_10,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm,MaskSetSupplyChipsCount,THIN_ET_TF_AB_2,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm,THIN_ET_TF_AB_2,TOPSIN_ET_lkg_SY07_10,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_DC_SEC_Vp_1mA,MEASURE_ET_lkg_C175pf,TOPSIN_ET_lkg_C450pf,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
FIC_ET_lkg_SY07_10,SIN_ET_lkg_SY07_10,THIN_ET_lkg_100_at20V,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_C300pf,MEASURE_ET_lkg_C300pf,TOPSIN_ET_lkg_CapFICM1,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_DC_SEC_X_Bin,MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm,THIN_ET_TF_AB_2,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm,THIN_ET_TF_AB_2,TOPSIN_ET_lkg_5,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_C300pf,TOPSIN_ET_lkg_5,TOPSIN_ET_lkg_CapFICM1,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm,SIN_ET_lkg_SY07_10,THIN_ET_lkg_100_at20V,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_C300pf,THIN_ET_lkg_5,TOPSIN_ET_lkg_Cap1,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_DC_Stress_Vp_after,TOPSIN_ET_lkg_C175pf,TOPSIN_ET_lkg_CapFICM1,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm,MEASURE_ET_lkg_50_at20V,THIN_ET_TF_AB_2,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_C300pf,MEASURE_ET_lkg_Cap1,TOPSIN_ET_lkg_SY07_10,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_lkg_10,SIN_ET_lkg_SY07_10,THIN_ET_lkg_100_at20V,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_C300pf,MEASURE_ET_lkg_Cap1,TOPSIN_ET_lkg_Cap3,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_LT_SEC_Ileak_m16p5V_mA_mm,MEASURE_ET_lkg_C175pf,TOPSIN_ET_lkg_C450pf,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_DC_SEC_Vp_1mA,MEASURE_ET_lkg_Cap2,TOPSIN_ET_lkg_C450pf,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_DC_Stress_Vp_after,THIN_ET_lkg_5,TOPSIN_ET_lkg_C175pf,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_C300pf,MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm,SIN_GATE_ET_lkg_SY07_10,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_LT_SEC_Ileak_m16p5V_mA_mm,SIN_ET_lkg_SY07_10,THIN_ET_lkg_100_at20V,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm,MEASURE_ET_lkg_USV_Cap,THIN_ET_TF_AB_2,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_C100USV_Cappf,TOPSIN_ET_lkg_5,TOPSIN_ET_lkg_CapFICM1,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_lkg_100,MEASURE_ET_lkg_Cap2,TOPSIN_ET_lkg_C450pf,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_C300pf,MEASURE_ET_lkg_C385pf,TOPSIN_ET_lkg_CapFICM1,1_triangle+2_shared_node_chaining+5_residual_conditional_structure,3
MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm,THIN_ET_TF_AB_2,THIN_ET_lkg_5,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_C300pf,MEASURE_ET_lkg_100,TOPSIN_ET_lkg_CapFICM1,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm,THIN_ET_TF_AB_2,TOPSIN_ET_lkg_CapPARCAP,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm,THIN_ET_TF_AB_2,TOPSIN_ET_lkg_SY8_80,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_DC_SEC_X_Bin,MEASURE_ET_lkg_CapPARCAP,THIN_ET_TF_AB_2,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_DC_SEC_S_Vp_1_mA_mm_first_SD3p5,MEASURE_ET_LT_SEC_Ileak_m9V_mA_mm,SIN_ET_lkg_SY8_80,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_DC_SEC_S_Vp_1_mA_mm_first_SD3p5,MEASURE_ET_LT_SEC_Ileak_m9V_mA_mm,THIN_ET_lkg_C200,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_DC_SEC_S_Vp_1_mA_mm_first_SD3p5,MEASURE_ET_LT_SEC_Ileak_m9V_mA_mm,TOPSIN_ET_lkg_C450pf,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
FIC_ET_lkg_SY07_10,MEASURE_ET_lkg_C175pf,TOPSIN_ET_lkg_C450pf,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm,THIN_ET_TF_AB_2,TOPSIN_ET_lkg_C450pf,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm,THIN_ET_TF_AB_2,TOPSIN_ET_lkg_Cap_USV,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_C100USV_Cappf,MEASURE_ET_lkg_C300FM1,TOPSIN_ET_lkg_CapFICM1,1_triangle+2_shared_node_chaining+5_residual_conditional_structure,3
MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm,THIN_ET_TF_AB_2,THIN_ET_lkg_5,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm,MEASURE_ET_lkg_Cap_USV,THIN_ET_TF_AB_2,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_lkg_5,MEASURE_ET_lkg_C300FB,SIN_GATE_ET_lkg_SY8_80,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_C100USV_Cappf,MEASURE_ET_lkg_C300,TOPSIN_ET_lkg_CapFICM1,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_lkg_100,THIN_ET_lkg_100_at20V,TOPSIN_ET_lkg_C385pf,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_lkg_10,MEASURE_ET_lkg_C300FB,SIN_GATE_ET_lkg_SY8_80,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
FIC_ET_lkg_SY07_10,MEASURE_ET_lkg_C300FB,SIN_GATE_ET_lkg_SY8_80,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm,THIN_ET_lkg_5,TOPSIN_ET_lkg_Cap1,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_C300pf,MEASURE_ET_LT_SEC_Ileak_m16p5V_mA_mm,TOPSIN_ET_lkg_CapFICM1,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm,SIN_GATE_ET_lkg_SY8_80,THIN_ET_TF_AB_2,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_DC_Stress_Vp_after,MEASURE_ET_lkg_5,TOPSIN_ET_lkg_C175pf,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_C300pf,SIN_GATE_ET_lkg_SY07_10,TOPSIN_ET_lkg_SY07_10,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm,MEASURE_ET_lkg_C300,THIN_ET_TF_AB_2,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_DC_SEC_X_Vp_1_mA_mm,MEASURE_ET_lkg_C175pf,TOPSIN_ET_lkg_C450pf,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_lkg_5,THIN_ET_lkg_100_at20V,TOPSIN_ET_lkg_C385pf,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_lkg_100,THIN_ET_lkg_5,TOPSIN_ET_lkg_Cap1,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_DC_SEC_X_Vp_1_mA_mm,MEASURE_ET_lkg_Cap2,TOPSIN_ET_lkg_C450pf,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_DC_SMALL_Vbgs_0p01,MEASURE_ET_LT_SEC_Ileak_m7V_mA_mm,OHMIC_ET_lkg_5,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_lkg_5,MEASURE_ET_lkg_Cap2,TOPSIN_ET_lkg_C450pf,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_C300pf,MEASURE_ET_lkg_70_at20V,TOPSIN_ET_lkg_CapFICM1,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_lkg_5,SIN_ET_lkg_SY07_10,THIN_ET_lkg_100_at20V,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_lkg_50_at20V,THIN_ET_lkg_100_at20V,THIN_ET_lkg_70_at20V,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_lkg_70_at20V,TOPSIN_ET_C100CapUSV,TOPSIN_ET_lkg_CapFICM1,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_lkg_C175pf,SIN_GATE_ET_lkg_SY8_80,TOPSIN_ET_lkg_C450pf,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_lkg_C175pf,THIN_ET_lkg_100_at20V,TOPSIN_ET_lkg_C450pf,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_lkg_C175pf,MEASURE_ET_lkg_PAD_10,TOPSIN_ET_lkg_C450pf,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_lkg_C175pf,THIN_ET_TF_AB_2,TOPSIN_ET_lkg_C450pf,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_lkg_C300,THIN_ET_lkg_100_at20V,TOPSIN_ET_lkg_C385pf,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_lkg_C300,THIN_ET_lkg_100_at20V,TOPSIN_ET_lkg_5,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_lkg_C300,TOPSIN_ET_CapFICM1,TOPSIN_ET_lkg_CapFICM1,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_lkg_C300,TOPSIN_ET_C100CapUSV,TOPSIN_ET_lkg_CapFICM1,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_lkg_C300,THIN_ET_TF_AB_2,TOPSIN_ET_lkg_5,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_lkg_C300FB,SIN_GATE_ET_lkg_SY8_80,THIN_ET_lkg_5,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_lkg_C300FB,SIN_GATE_ET_lkg_SY8_80,THIN_ET_lkg_PAD_10,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_lkg_C300FB,SIN_GATE_ET_lkg_SY8_80,TOPSIN_ET_lkg_C450pf,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_lkg_C300FB,SIN_GATE_ET_lkg_SY8_80,THIN_ET_TF_AB_2,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_lkg_C300FB,SIN_GATE_ET_lkg_SY8_80,TOPSIN_ET_lkg_SY07_10,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_lkg_C300FB,MEASURE_ET_lkg_CapFICM1,SIN_GATE_ET_lkg_SY8_80,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_lkg_C300FB,MEASURE_ET_lkg_PAD_10,SIN_GATE_ET_lkg_SY8_80,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
MEASURE_ET_lkg_C300pf,MEASURE_ET_lkg_Cap2,TOPSIN_ET_lkg_C450pf,1_triangle+2_shared_node_chaining+3_edge_plus_high_conditional,3
