feature_a,feature_b,strength
MEASURE_ET_ABVIETCH,MEASURE_ET_DC_Big_S12dB_10GHz,0.03364551878741571
MEASURE_ET_DC_Stress_Id_stress_before,MEASURE_ET_ABVIETCH,0.021288410225679778
MEASURE_ET_lkg_50_at20V,MEASURE_ET_VIA_KLV,0.017501423962608554
TOPSIN_ET_DC_PIV_Drain_Lag_0,TOPSIN_ET_R_f_hr_3,0.016407404249028274
TOPSIN_ET_C100Cap1pf,MEASURE_ET_RF_Modeling_S21_25G_Before,0.01491056867671308
TOPSIN_ET_C100Cap1pf,MEASURE_ET_DC_RF2_S22dB_26GHz,0.013896096797059476
MEASURE_ET_DC_Big_S12dB_10GHz,THIN_ET_lkg_100_at20V,0.012046848353374346
TOPSIN_ET_C100Cap1pf,MEASURE_ET_CapPARCAP_0,0.011853676686331343
MEASURE_ET_DC_Big_S12dB_10GHz,THIN_ET_TF_AB_1,0.010202995702722482
MEASURE_ET_DC_Stress_Id_stress_before,TOPSIN_ET_C100Cap1pf,0.009887586839232208
THIN_ET_lkg_10,SIN_ET_DC_RF_Vbin_gs,0.008934318376081095
TOPSIN_ET_lkg_5,MaskSetSupplyChipsCount,0.00872502407359858
TOPSIN_ET_C100Cap1pf,FIC_ET_DC_RF_Vg_max_Vd_0p1mA,0.008474791822676138
MEASURE_ET_ABVIETCH,THIN_ET_TF_AB_1,0.008459953901220832
MEASURE_ET_ABVIETCH,MEASURE_ET_DC_RF2_S22dB_26GHz,0.008454118154375159
TOPSIN_ET_C100Cap1pf,THIN_ET_TF_AB_1,0.008432161324620107
TOPSIN_ET_C100Cap1pf,OHMIC_ET_Rc_an_ct2,0.008363057054523658
MEASURE_ET_DC_SMALL_Ids_m0p2,FIC_ET_DC_RF_Vg_max_Vd_0p1mA,0.00821364036185251
MEASURE_ET_DC_Stress_Id_stress_before,MEASURE_ET_DC_RF2_MAG_26GHz,0.008183406332063475
MEASURE_ET_LT_SEC_Ileak_m10p5V_mA_mm,TOPSIN_ET_DC_PIV_Drain_Lag_1,0.008049346412240421
MEASURE_ET_DC_RF2_MAG_26GHz,MEASURE_ET_DC_RF_K_W,0.007866295701245857
TOPSIN_ET_C100Cap1pf,MEASURE_ET_ABVIETCH,0.00781034462542078
MEASURE_ET_lkg_50_at20V,TOPSIN_ET_C100Cap1pf,0.0075873413884500595
TOPSIN_ET_C100Cap1pf,MEASURE_ET_C200_0,0.007478849625864708
OHMIC_ET_Rsh_an_ct2,THIN_ET_Rcat_cn_3,0.007406706986585357
